step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.0,15.008715833807598,-0.0,0.0,15.008715833807598,-0.0,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.34,2.0,0.0,4.0,5.88235294117647,3.0303030303030307,15.00871753692627,15.008712768554688,15.008715629577637,15.008715629577637,0.04470989853143692,0.04573050141334534,7.1666693687438965,7.5337233543396,0.0,0.0,0.0,0.0,nan,nan,46.87507629394531,46.87507629394531,93.75015258789062,0.0,-5.916073799133301,2.426856517791748,0.0,0.0,0.0,2.426856517791748,0.0,-5.916073799133301,0.0,0.0,0.0,3.8696141242980957,0.511793315410614,-5.064949989318848,0.0,0.0,0.0,0.0,-5.916073799133301,2.426856517791748,0.0,0.0,0.0,2.426856517791748,0.0,-5.916073799133301,-0.0,-0.0,-0.0,3.8696141242980957,-0.5117920637130737,-5.064949989318848,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,0.0,0.05600005388259888,0.6000000238418579,-5.960464477539063e-08,-0.055999934673309326,0.6000000238418579,7.739228248596191,1.2516975402832031e-06,-10.129899978637695,0.0,0.0,0.0,-5.960464477539062e-07,-7.547363907178806e-07,-4.3213367462158203e-07,41.339725494384766,41.339725494384766,61.392704010009766,61.392704010009766,0.0,0.0,0.3217938542366028,0.3217938542366028,0.678206205368042,0.678206205368042,0.0,0.0,-5.916073799133301,-5.916073799133301,0.0,0.0,2.5459060668945312,2.5459060668945312,-0.05411999672651291,-0.05411999672651291,-0.0649295300245285,-0.0649295300245285,2.426856517791748,2.426856517791748,0.5686556100845337,0.5686556100845337,-0.44263169169425964,-0.44263169169425964,-0.18083228170871735,-0.18083228170871735,-86.69463348388672,-86.69463348388672,-56.727867126464844,-56.727867126464844,-41.727867126464844,-41.727867126464844,15.000000953674316,15.000000953674316,1.0,0.16,180.0
1,0.004166666666666667,0.062387517004591476,14.891496946658037,-56.12495073500919,0.062387517004591476,14.891496946658037,-56.12495073500919,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.34,2.0,0.0,4.0,5.88235294117647,3.0303030303030307,14.891493797302246,14.89148998260498,14.891496658325195,14.891496658325195,0.10477305203676224,0.10586463660001755,6.441481113433838,6.829538822174072,0.0,0.0,0.0,0.0,nan,nan,43.06633758544922,43.06633758544922,86.13267517089844,0.0,-5.311694145202637,2.5106606483459473,0.0,0.0,0.0,2.5106606483459473,0.0,-5.311694145202637,0.0,0.0,0.0,3.7994744777679443,0.12868839502334595,-4.479391098022461,0.0,0.0,0.0,0.0,-5.311694145202637,2.5106606483459473,0.0,0.0,0.0,2.5106606483459473,0.0,-5.311694145202637,-0.0,-0.0,-0.0,3.7994742393493652,-0.12868721783161163,-4.479391098022461,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.043081283569336e-07,0.0559999942779541,0.5999999642372131,-1.6391277313232422e-07,-0.055999934673309326,0.5999999642372131,7.5989484786987305,1.1771917343139648e-06,-8.958782196044922,0.0,0.0,0.0,-2.682209014892578e-07,-2.054887772828806e-06,-2.2351741790771484e-07,41.222068786621094,41.222068786621094,61.241668701171875,61.241668701171875,0.0,0.0,0.3217938542366028,0.3217938542366028,0.678206205368042,0.678206205368042,0.0,0.0,-6.0643110275268555,-6.0643110275268555,0.7526172399520874,0.7526172399520874,2.6310064792633057,2.6310064792633057,-0.05541641265153885,-0.05541641265153885,-0.0649295300245285,-0.0649295300245285,2.5106606483459473,2.5106606483459473,0.568268895149231,0.568268895149231,-0.44665560126304626,-0.44665560126304626,-0.18485617637634277,-0.18485617637634277,-86.01753997802734,-86.01753997802734,-56.42107009887695,-56.42107009887695,-41.42107009887695,-41.42107009887695,15.000000953674316,15.000000953674316,1.0,0.16,180.0
2,0.008333333333333333,0.1238022209439892,14.543008560634131,-110.73695449687354,0.1238022209439892,14.543008560634131,-110.73695449687354,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.34,2.0,0.0,4.0,5.88235294117647,3.0303030303030307,14.543008804321289,14.543006896972656,14.543008804321289,14.543008804321289,0.16314727067947388,0.1642933189868927,5.606998443603516,6.009847640991211,0.0,0.0,0.0,0.0,nan,nan,37.57231903076172,37.57231903076172,75.14463806152344,0.0,-4.5343122482299805,2.4778013229370117,0.0,0.0,0.0,2.4778013229370117,0.0,-4.5343122482299805,0.0,0.0,0.0,3.5661263465881348,-0.16856749355793,-3.735480785369873,0.0,0.0,0.0,0.0,-4.5343122482299805,2.4778013229370117,0.0,0.0,0.0,2.4778013229370117,0.0,-4.5343122482299805,-0.0,-0.0,-0.0,3.5661261081695557,0.1685684472322464,-3.735480785369873,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-7.450580596923828e-09,0.0559999942779541,0.6000000238418579,-4.470348358154297e-08,-0.055999964475631714,0.5999999642372131,7.1322526931762695,9.5367431640625e-07,-7.470961570739746,0.0,0.0,0.0,-8.940696716308594e-08,-7.413561888824916e-07,-1.1920928955078125e-07,40.81501388549805,40.81501388549805,60.750545501708984,60.750545501708984,0.0,0.0,0.3360842764377594,0.3360842764377594,0.663915753364563,0.663915753364563,0.0,0.0,-6.019258499145508,-6.019258499145508,1.4849462509155273,1.4849462509155273,2.5977532863616943,2.5977532863616943,-0.05502227321267128,-0.05502227321267128,-0.0649295300245285,-0.0649295300245285,2.4778013229370117,2.4778013229370117,0.5671162605285645,0.5671162605285645,-0.4455263912677765,-0.4455263912677765,-0.18372699618339539,-0.18372699618339539,-84.00457763671875,-84.00457763671875,-55.33837127685547,-55.33837127685547,-40.33837127685547,-40.33837127685547,15.000000953674316,15.000000953674316,1.0,0.16,180.0
3,0.0125,0.18329741281113915,13.97258288227841,-162.4055238438167,0.18329741281113915,13.97258288227841,-162.4055238438167,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.34,2.0,0.0,4.0,5.88235294117647,3.0303030303030307,13.972578048706055,13.972582817077637,13.972582817077637,13.972582817077637,0.21895045042037964,0.22013379633426666,4.678930759429932,5.090241432189941,0.0,0.0,0.0,0.0,nan,nan,30.8343505859375,30.8343505859375,61.668701171875,0.0,-3.606163740158081,2.3323583602905273,0.0,0.0,0.0,2.3323583602905273,0.0,-3.606163740158081,0.0,0.0,0.0,3.1818695068359375,-0.34810078144073486,-2.8633625507354736,0.0,0.0,0.0,0.0,-3.606163740158081,2.3323583602905273,0.0,0.0,0.0,2.3323583602905273,0.0,-3.606163740158081,-0.0,-0.0,-0.0,3.1818695068359375,0.34810158610343933,-2.8633625507354736,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.862645149230957e-07,0.05600002408027649,0.5999999642372131,-5.21540641784668e-08,-0.055999934673309326,0.6000000238418579,6.363739013671875,8.046627044677734e-07,-5.726725101470947,0.0,0.0,0.0,-2.682209014892578e-07,-1.1283375442872057e-06,-2.384185791015625e-07,40.115943908691406,40.115943908691406,59.902042388916016,59.902042388916016,0.0,0.0,0.35034558176994324,0.35034558176994324,0.6496544480323792,0.6496544480323792,0.0,0.0,-5.783968925476074,-5.783968925476074,2.177804946899414,2.177804946899414,2.4502522945404053,2.4502522945404053,-0.052964333444833755,-0.052964333444833755,-0.0649295300245285,-0.0649295300245285,2.3323583602905273,2.3323583602905273,0.565220296382904,0.565220296382904,-0.43929749727249146,-0.43929749727249146,-0.17749805748462677,-0.17749805748462677,-80.70963287353516,-80.70963287353516,-53.5087776184082,-53.5087776184082,-38.5087776184082,-38.5087776184082,15.000000953674316,15.000000953674316,1.0,0.16,180.0
4,0.016666666666666666,0.23997736330657096,13.195212069343503,-209.8574982579695,0.23997736330657096,13.195212069343503,-209.8574982579695,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.34,2.0,0.0,4.0,5.88235294117647,3.0303030303030307,13.195211410522461,13.195210456848145,13.195212364196777,13.195212364196777,0.27136942744255066,0.2725728154182434,3.67557954788208,4.089087009429932,0.0,0.0,0.0,0.0,nan,nan,23.406192779541016,23.406192779541016,46.81238555908203,0.0,-2.5555648803710938,2.0906217098236084,0.0,0.0,0.0,2.0906217098236084,0.0,-2.5555648803710938,0.0,0.0,0.0,2.673050880432129,-0.39038634300231934,-1.8984228372573853,0.0,0.0,0.0,0.0,-2.5555648803710938,2.0906217098236084,0.0,0.0,0.0,2.0906217098236084,0.0,-2.5555648803710938,-0.0,-0.0,-0.0,2.673050880432129,0.39038679003715515,-1.8984227180480957,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-6.705522537231445e-08,0.05600002408027649,0.6000000238418579,-5.960464477539063e-08,-0.055999964475631714,0.5999999642372131,5.346101760864258,4.470348358154297e-07,-3.7968454360961914,0.0,0.0,0.0,-9.685754776000977e-08,-5.695124514204508e-07,-1.6391277313232422e-07,39.12079620361328,39.12079620361328,58.666072845458984,58.666072845458984,0.0,0.0,0.36458078026771545,0.36458078026771545,0.6354192495346069,0.6354192495346069,0.0,0.0,-5.369685649871826,-5.369685649871826,2.814120292663574,2.814120292663574,2.204892158508301,2.204892158508301,-0.0493411049246788,-0.0493411049246788,-0.0649295300245285,-0.0649295300245285,2.0906217098236084,2.0906217098236084,0.5626174807548523,0.5626174807548523,-0.42815250158309937,-0.42815250158309937,-0.16635310649871826,-0.16635310649871826,-76.21931457519531,-76.21931457519531,-50.98051071166992,-50.98051071166992,-35.98051071166992,-35.98051071166992,15.000000953674316,15.000000953674316,1.0,0.16,180.0
5,0.020833333333333332,0.2930193685702944,12.230759931504872,-252.0374372089086,0.2930193685702944,12.230759931504872,-252.0374372089086,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.34,2.0,0.0,4.0,5.88235294117647,3.0303030303030307,12.230758666992188,12.230758666992188,12.230759620666504,12.230758666992188,0.3196781873703003,0.3208845555782318,2.6170825958251953,3.0267231464385986,0.0,0.0,0.0,0.0,nan,nan,15.886802673339844,15.886802673339844,31.773605346679688,0.0,-1.4147635698318481,1.7785284519195557,0.0,0.0,0.0,1.7785284519195557,0.0,-1.4147635698318481,0.0,0.0,0.0,2.076322078704834,-0.2899409532546997,-0.8772348165512085,0.0,0.0,0.0,0.0,-1.4147635698318481,1.7785284519195557,0.0,0.0,0.0,1.7785284519195557,0.0,-1.4147635698318481,-0.0,-0.0,-0.0,2.076322078704834,0.2899412214756012,-0.8772345781326294,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-9.685754776000977e-08,0.0559999942779541,0.5999999642372131,-1.4901161193847656e-08,-0.055999934673309326,0.6000000238418579,4.152644157409668,2.682209014892578e-07,-1.754469394683838,0.0,0.0,0.0,-8.195638656616211e-08,-3.002279527208884e-07,-8.940696716308594e-08,37.82453536987305,37.82453536987305,56.998634338378906,56.99863815307617,0.0,0.0,0.3929862082004547,0.3929862082004547,0.6070138216018677,0.6070138216018677,0.0,0.0,-4.794503211975098,-4.794503211975098,3.37973952293396,3.37973952293396,1.887769103050232,1.887769103050232,-0.044311169534921646,-0.044311169534921646,-0.0649295300245285,-0.0649295300245285,1.7785284519195557,1.7785284519195557,0.5593571066856384,0.5593571066856384,-0.4123948812484741,-0.4123948812484741,-0.15059545636177063,-0.15059545636177063,-70.64836120605469,-70.64836120605469,-47.81837844848633,-47.81837844848633,-32.81837844848633,-32.81837844848633,15.000000953674316,15.000000953674316,1.0,0.16,180.0
6,0.025,0.3416920393648581,11.102960327307583,-288.1489274672937,0.3416920393648581,11.102960327307583,-288.1489274672937,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.34,2.0,0.0,4.0,5.88235294117647,3.0303030303030307,11.102960586547852,11.102959632873535,11.102960586547852,11.102960586547852,0.3632510304450989,0.36444374918937683,1.5245155096054077,1.9245612621307373,0.0,0.0,0.0,0.0,nan,nan,8.849943161010742,8.849943161010742,17.699886322021484,0.0,-0.2173500508069992,1.4278883934020996,0.0,0.0,0.0,1.4278883934020996,0.0,-0.2173500508069992,0.0,0.0,0.0,1.433668613433838,-0.05484132468700409,0.1664130538702011,0.0,0.0,0.0,0.0,-0.2173500508069992,1.4278883934020996,0.0,0.0,0.0,1.4278883934020996,0.0,-0.2173500508069992,-0.0,-0.0,-0.0,1.433668613433838,0.054841335862874985,0.16641300916671753,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-4.470348358154297e-08,0.05600002408027649,0.5999999642372131,-3.725290298461914e-08,-0.055999934673309326,0.6000000238418579,2.867337226867676,1.1175870895385742e-08,0.33282607793807983,0.0,0.0,0.0,1.4901161193847656e-08,-5.6936212189384605e-08,-1.2665987014770508e-07,36.22200393676758,36.22200012207031,54.8405647277832,54.8405647277832,0.0,0.0,0.43548205494880676,0.43548205494880676,0.5645179748535156,0.5645179748535156,0.0,0.0,-4.081332683563232,-4.081332683563232,3.863982915878296,3.863982915878296,1.530893325805664,1.530893325805664,-0.038075368851423264,-0.038075368851423264,-0.0649295300245285,-0.0649295300245285,1.4278883934020996,1.4278883934020996,0.5554993152618408,0.5554993152618408,-0.39243102073669434,-0.39243102073669434,-0.13063159584999084,-0.13063159584999084,-64.13388061523438,-64.13388061523438,-44.100555419921875,-44.100555419921875,-29.100553512573242,-29.100553512573242,15.000000953674316,15.000000953674316,1.0,0.16,180.0
7,0.029166666666666667,0.38536910801389684,9.83828744382741,-317.67459975611297,0.38536910801389684,9.83828744382741,-317.67459975611297,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.34,2.0,0.0,4.0,5.88235294117647,3.0303030303030307,9.838286399841309,9.838284492492676,9.838287353515625,9.838287353515625,0.4015710949897766,0.402734637260437,0.4189525842666626,0.8041198253631592,0.0,0.0,0.0,0.0,nan,nan,2.783485174179077,2.783485174179077,5.566970348358154,0.0,1.0044224262237549,1.0722137689590454,0.0,0.0,0.0,1.0722137689590454,0.0,1.0044224262237549,0.0,0.0,0.0,0.7872309684753418,0.29562896490097046,1.2047314643859863,0.0,0.0,0.0,0.0,1.0044224262237549,1.0722137689590454,0.0,0.0,0.0,1.0722137689590454,0.0,1.0044224262237549,-0.0,-0.0,-0.0,0.7872309684753418,-0.2956291139125824,1.2047313451766968,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-8.940696716308594e-08,0.05600002408027649,0.5999999642372131,-1.2665987014770508e-07,-0.055999934673309326,0.5999999642372131,1.5744619369506836,-1.4901161193847656e-07,2.4094629287719727,0.0,0.0,0.0,1.1175870895385742e-07,2.7416862735663017e-07,-5.960464477539063e-08,34.30930709838867,34.30930709838867,52.116912841796875,52.116912841796875,0.0,0.0,0.4920608103275299,0.4920608103275299,0.5079392194747925,0.5079392194747925,0.0,0.0,-3.2554898262023926,-3.2554898262023926,4.259912490844727,4.259912490844727,1.167999029159546,1.167999029159546,-0.030855664983391762,-0.030855664983391762,-0.0649295300245285,-0.0649295300245285,1.0722137689590454,1.0722137689590454,0.5511131882667542,0.5511131882667542,-0.36875009536743164,-0.36875009536743164,-0.10695070773363113,-0.10695070773363113,-56.82876205444336,-56.82876205444336,-39.91476821899414,-39.91476821899414,-24.91476821899414,-24.91476821899414,15.000000953674316,15.000000953674316,1.0,0.16,180.0
8,0.03333333333333333,0.4235384055276876,8.46478697814394,-340.37518902597446,0.4235384055276876,8.46478697814394,-340.37518902597446,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.34,2.0,0.0,4.0,5.88235294117647,3.0303030303030307,8.464786529541016,8.464784622192383,8.464786529541016,8.464786529541016,0.43423423171043396,0.4353542923927307,-0.6793647408485413,-0.31383776664733887,0.0,0.0,0.0,0.0,nan,nan,-1.951755404472351,-1.951755404472351,-3.903510808944702,0.0,2.2220242023468018,0.7429726123809814,0.0,0.0,0.0,0.7429726123809814,0.0,2.2220242023468018,0.0,0.0,0.0,0.1748889982700348,0.734562873840332,2.2179338932037354,0.0,0.0,0.0,0.0,2.2220242023468018,0.7429726123809814,0.0,0.0,0.0,0.7429726123809814,0.0,2.2220242023468018,-0.0,-0.0,-0.0,0.1748889982700348,-0.734563410282135,2.2179336547851562,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-8.940696716308594e-08,0.05600005388259888,0.5999999642372131,-4.470348358154297e-08,-0.055999934673309326,0.6000000238418579,0.3497779965400696,-5.364418029785156e-07,4.4358673095703125,0.0,0.0,0.0,3.2782554626464844e-07,4.853226300838287e-07,-5.4016709327697754e-08,32.086021423339844,32.08602523803711,48.73835372924805,48.73836135864258,0.0,0.0,0.5769869089126587,0.5769869089126587,0.42301318049430847,0.42301318049430847,0.0,0.0,-2.3422956466674805,-2.3422956466674805,4.564320087432861,4.564320087432861,0.8307763338088989,0.8307763338088989,-0.022874144837260246,-0.022874144837260246,-0.0649295300245285,-0.0649295300245285,0.7429726123809814,0.7429726123809814,0.5462741851806641,0.5462741851806641,-0.3419013023376465,-0.3419013023376465,-0.08010192215442657,-0.08010192215442657,-48.89502716064453,-48.89502716064453,-35.35446548461914,-35.35446548461914,-20.35446548461914,-20.35446548461914,15.000000953674316,15.000000953674316,1.0,0.16,180.0
9,0.0375,0.4558060238687728,7.010951056770938,-356.27016881013196,0.4558060238687728,7.010951056770938,-356.27016881013196,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.34,2.0,0.0,4.0,5.88235294117647,3.0303030303030307,7.010950565338135,7.010950565338135,7.010951042175293,7.010951042175293,0.4609493911266327,0.4620129466056824,-1.751753807067871,-1.4100725650787354,0.0,0.0,0.0,0.0,nan,nan,-5.13897705078125,-5.13897705078125,-10.2779541015625,0.0,3.412437677383423,0.4668595790863037,0.0,0.0,0.0,0.4668595790863037,0.0,3.412437677383423,0.0,0.0,0.0,-0.37274113297462463,1.231408953666687,3.194899797439575,0.0,0.0,0.0,0.0,3.412437677383423,0.4668595790863037,0.0,0.0,0.0,0.4668595790863037,0.0,3.412437677383423,-0.0,-0.0,-0.0,-0.3727410137653351,-1.2314096689224243,3.194899559020996,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-2.9802322387695312e-08,0.05600002408027649,0.5999999642372131,7.450580596923828e-09,-0.055999934673309326,0.6000000238418579,-0.7454821467399597,-7.152557373046875e-07,6.389799118041992,0.0,0.0,0.0,3.725290298461914e-07,3.7927497942291666e-07,-3.725290298461914e-09,29.55849838256836,29.55849838256836,44.60741424560547,44.60741424560547,0.0,0.0,0.68990159034729,0.68990159034729,0.31009846925735474,0.31009846925735474,0.0,0.0,-1.365028738975525,-1.365028738975525,4.777466773986816,4.777466773986816,0.5461241006851196,0.5461241006851196,-0.014335041865706444,-0.014335041865706444,-0.0649295300245285,-0.0649295300245285,0.4668595790863037,0.4668595790863037,0.5410622358322144,0.5410622358322144,-0.31247028708457947,-0.31247028708457947,-0.050670888274908066,-0.050670888274908066,-40.497257232666016,-40.497257232666016,-30.514972686767578,-30.514972686767578,-15.514972686767578,-15.514972686767578,15.000000953674316,15.000000953674316,1.0,0.16,180.0
