amp,delta,rel_Tbar,rel_Lbar,rel_Pinbar,rel_eta,rel_sep_ratio,rel_peak_power,rel_peak_normal,rel_share_suction,rel_share_Na
0.000000,0.300000,12.523391,0.085635,0.336462,9.118800,nan,1.829098,0.726037,0.026676,1.378404
0.000000,0.320000,10.178293,0.068945,0.267499,7.819174,nan,1.463631,0.596929,0.022558,-3.168215
0.000000,0.340000,8.136820,0.053756,0.207779,6.564974,nan,1.166379,0.487218,0.018623,-2.265618
0.000000,0.360000,6.337236,0.042502,0.160110,5.324604,nan,0.921267,0.392870,0.015037,-1.520159
0.000000,0.380000,4.951050,0.030734,0.118040,4.322753,nan,0.716583,0.310897,0.011862,-4.512462
0.000000,0.400000,3.716851,0.022050,0.084409,3.349698,nan,0.544040,0.238998,0.009016,-5.109131
0.000000,0.420000,2.562707,0.015940,0.058062,2.367201,nan,0.396964,0.175382,0.006390,-2.763297
0.000000,0.440000,1.685095,0.009667,0.035687,1.592572,nan,0.270618,0.118664,0.004173,-2.754457
0.000000,0.460000,0.884625,0.005238,0.019006,0.849473,nan,0.161104,0.067806,0.002202,-1.036333
0.000000,0.480000,-0.004231,0.004204,0.009097,-0.013208,nan,0.076943,0.035111,0.000328,6.600866
0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000
0.000000,0.520000,0.087810,-0.004000,-0.005423,0.093741,nan,-0.068209,-0.031616,-0.000164,-6.380876
0.000000,0.540000,0.144095,-0.003384,-0.010433,0.156157,nan,-0.128953,-0.060251,0.000016,0.538009
0.000000,0.560000,0.444420,-0.005798,-0.009213,0.457850,nan,-0.183380,-0.086311,0.000417,2.972399
0.000000,0.580000,0.955801,-0.010160,-0.002606,0.960911,nan,-0.232351,-0.110136,0.001062,3.541417
0.000000,0.600000,1.544951,-0.013548,0.006761,1.527861,nan,-0.276595,-0.132011,0.001934,5.710448
0.000000,0.620000,2.318418,-0.017717,0.020673,2.251204,nan,-0.180022,-0.152168,0.003083,6.509077
0.000000,0.640000,3.450863,-0.026241,0.043500,3.265322,nan,-0.041341,-0.170813,0.004524,5.081123
0.000000,0.660000,4.627780,-0.031047,0.067859,4.270151,nan,0.128200,-0.188109,0.006312,6.451000
0.000000,0.680000,6.182092,-0.038106,0.100407,5.526758,nan,0.338210,-0.204208,0.008540,4.404251
0.000000,0.700000,8.065512,-0.047490,0.143666,6.926712,nan,0.601947,-0.182373,0.011062,6.345730
