modulation_profile,modulation_ff_amp,modulation_ff_shift_deg,amp,delta,f_eff_hz,f_down_hz,f_up_hz,mean_thrust_N,mean_lift_N,mean_pin_W,mean_eta,sep_ratio,peak_power_W,peak_normal_N,mean_Nc_N,mean_Na_N,mean_Fx_suction_N,mean_Fx_camber_N,mean_Fx_friction_N,mean_Fx_total_N,mean_k,mean_alpha_prime,mean_alpha_le,share_Na,share_Fx_suction,share_Fx_camber,share_Fx_friction,csv
phase_warp,0.000000,180.000000,0.000000,0.300000,4.000000,6.666667,2.857143,0.578084,11.520727,61.823162,0.064519,0.000000,411.745972,50.019958,11.698292,-0.000221,3.835895,0.000000,-0.295729,3.540167,0.504947,-0.110924,0.151045,-0.000019,0.928423,0.000000,0.071577,outputs_DeLaurier/modulation_scan_sep_off_twist_on/amp_0p0/delta_0p3/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.320000,4.000000,6.250000,2.941176,0.419416,11.408880,59.031942,0.049024,0.000000,357.724304,46.341656,11.560756,0.091232,3.653914,0.000000,-0.295958,3.357957,0.503563,-0.111086,0.150358,0.007830,0.925072,0.000000,0.074928,outputs_DeLaurier/modulation_scan_sep_off_twist_on/amp_0p0/delta_0p32/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.340000,4.000000,5.882353,3.030303,0.315457,11.257701,56.463331,0.038550,0.000000,314.652954,43.045994,11.466367,0.064653,3.514555,0.000000,-0.296143,3.218412,0.501652,-0.110937,0.150461,0.005607,0.922286,0.000000,0.077714,outputs_DeLaurier/modulation_scan_sep_off_twist_on/amp_0p0/delta_0p34/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.360000,4.000000,5.555556,3.125000,0.253084,10.995899,53.585542,0.032589,0.000000,279.794128,40.441895,11.281670,0.004466,3.386753,0.000000,-0.296348,3.090405,0.500145,-0.112175,0.152209,0.000396,0.919538,0.000000,0.080462,outputs_DeLaurier/modulation_scan_sep_off_twist_on/amp_0p0/delta_0p36000000000000004/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.380000,4.000000,5.263158,3.225806,0.159765,10.914050,51.982565,0.021207,0.000000,249.043335,38.063824,11.190427,0.050647,3.275616,0.000000,-0.296534,2.979081,0.498995,-0.112116,0.151724,0.004505,0.916987,0.000000,0.083013,outputs_DeLaurier/modulation_scan_sep_off_twist_on/amp_0p0/delta_0p38000000000000006/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.400000,4.000000,5.000000,3.333333,0.091481,10.818846,50.617331,0.012470,0.000000,224.998901,35.980583,11.151422,0.017532,3.185229,0.000000,-0.296745,2.888484,0.500335,-0.111351,0.150850,0.001570,0.914777,0.000000,0.085223,outputs_DeLaurier/modulation_scan_sep_off_twist_on/amp_0p0/delta_0p4000000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.420000,4.000000,4.761905,3.448276,0.055581,10.710268,49.368089,0.007768,0.000000,203.574982,34.197460,11.132429,-0.062775,3.122640,0.000000,-0.296935,2.825705,0.500370,-0.110490,0.150949,-0.005671,0.913166,0.000000,0.086834,outputs_DeLaurier/modulation_scan_sep_off_twist_on/amp_0p0/delta_0p4200000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.440000,4.000000,4.545455,3.571429,0.014529,10.582437,48.148891,0.002082,0.000000,185.053604,32.536396,11.015135,-0.056827,3.050077,0.000000,-0.297111,2.752967,0.499412,-0.111009,0.151710,-0.005186,0.911236,0.000000,0.088764,outputs_DeLaurier/modulation_scan_sep_off_twist_on/amp_0p0/delta_0p4400000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.460000,4.000000,4.347826,3.703704,-0.021862,10.518002,47.481392,-0.003177,0.000000,169.576050,31.111650,10.970729,-0.064799,2.998409,0.000000,-0.297271,2.701138,0.498740,-0.110550,0.151795,-0.005942,0.909800,0.000000,0.090200,outputs_DeLaurier/modulation_scan_sep_off_twist_on/amp_0p0/delta_0p46000000000000013/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.480000,4.000000,4.166667,3.846154,-0.045162,10.453816,46.990448,-0.006632,0.000000,155.437500,29.806396,10.939255,-0.090323,2.959433,0.000000,-0.297414,2.662020,0.498343,-0.109925,0.152033,-0.008326,0.908680,0.000000,0.091320,outputs_DeLaurier/modulation_scan_sep_off_twist_on/amp_0p0/delta_0p48000000000000015/windtunnel_v50.csv
