amp,delta,rel_Tbar,rel_Lbar,rel_Pinbar,rel_eta,rel_sep_ratio,rel_peak_power,rel_peak_normal,rel_share_suction,rel_share_Na
0.000000,0.300000,7.385537,0.103364,0.321071,5.833605,nan,1.856971,0.729955,0.023251,0.983477
0.000000,0.320000,5.632886,0.092652,0.261427,4.672734,nan,1.482132,0.602740,0.019557,7.859825
0.000000,0.340000,4.484551,0.078173,0.206540,3.888054,nan,1.183274,0.488758,0.016488,5.912293
0.000000,0.360000,3.795578,0.053100,0.145045,3.441456,nan,0.941400,0.398695,0.013459,1.346690
0.000000,0.380000,2.764767,0.045261,0.110792,2.588746,nan,0.728030,0.316448,0.010647,4.947357
0.000000,0.400000,2.010500,0.036143,0.081619,1.934248,nan,0.561194,0.244399,0.008211,2.375231
0.000000,0.420000,1.613950,0.025744,0.054924,1.581985,nan,0.412540,0.182729,0.006436,-3.968424
0.000000,0.440000,1.160489,0.013502,0.028872,1.155986,nan,0.284027,0.125281,0.004308,-3.543364
0.000000,0.460000,0.758509,0.007331,0.014609,0.761986,nan,0.176633,0.076006,0.002726,-4.205614
0.000000,0.480000,0.501136,0.001183,0.004118,0.503181,nan,0.078530,0.030863,0.001492,-6.294179
0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000
0.000000,0.520000,-0.047071,-0.000183,-0.006003,-0.053395,nan,-0.063629,-0.031998,-0.000128,6.487895
0.000000,0.540000,0.242358,-0.006750,-0.004187,0.239172,nan,-0.126255,-0.060611,0.000120,3.201585
0.000000,0.560000,0.637235,-0.013782,0.002363,0.638090,nan,-0.179357,-0.087549,0.000602,-0.304752
0.000000,0.580000,0.868170,-0.011966,0.005385,0.868876,nan,-0.228706,-0.111091,0.001363,2.017982
0.000000,0.600000,1.453891,-0.021546,0.023293,1.443559,nan,-0.273404,-0.133092,0.002107,-0.042318
0.000000,0.620000,2.145569,-0.028614,0.044095,2.097189,nan,-0.218857,-0.153752,0.003310,-2.140837
0.000000,0.640000,2.974863,-0.036019,0.070992,2.843957,nan,-0.085694,-0.172014,0.004792,-4.578979
0.000000,0.660000,3.626557,-0.032261,0.092033,3.405200,nan,0.078279,-0.189502,0.006626,-4.328475
0.000000,0.680000,5.021039,-0.046622,0.136116,4.539284,nan,0.288409,-0.205641,0.008801,-16.577576
0.000000,0.700000,6.065811,-0.049148,0.187333,5.266547,nan,0.536977,-0.220476,0.010902,0.050769
