modulation_profile,modulation_ff_amp,modulation_ff_shift_deg,amp,delta,f_eff_hz,f_down_hz,f_up_hz,mean_thrust_N,mean_lift_N,mean_pin_W,mean_eta,sep_ratio,peak_power_W,peak_normal_N,mean_Nc_N,mean_Na_N,mean_Fx_suction_N,mean_Fx_camber_N,mean_Fx_friction_N,mean_Fx_total_N,mean_k,mean_alpha_prime,mean_alpha_le,share_Na,share_Fx_suction,share_Fx_camber,share_Fx_friction,csv
phase_warp,0.000000,180.000000,0.000000,0.300000,4.000000,6.666667,2.857143,-2.203380,8.863633,66.935577,-0.227134,0.285819,433.493988,47.079849,10.458965,0.011552,4.443056,0.000000,-0.271415,0.165772,0.504947,-0.121250,0.140549,0.001103,0.942429,0.000000,0.057571,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p3/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.320000,4.000000,6.250000,2.941176,-2.138512,8.626999,62.073799,-0.237713,0.304837,371.976440,42.906471,10.439643,0.028625,4.314343,0.000000,-0.271415,0.167185,0.503563,-0.120091,0.141708,0.002734,0.940813,0.000000,0.059187,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p32/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.340000,4.000000,5.882353,3.030303,-2.084914,8.442471,58.090598,-0.247646,0.321969,319.035400,39.641884,10.424495,0.068741,4.207565,0.000000,-0.271415,0.171197,0.501652,-0.119033,0.142766,0.006551,0.939402,0.000000,0.060598,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p34/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.360000,4.000000,5.555556,3.125000,-2.034225,8.279858,54.823150,-0.256026,0.337388,278.877899,36.710056,10.417627,0.093668,4.120040,0.000000,-0.271415,0.178072,0.500145,-0.117984,0.143816,0.008911,0.938195,0.000000,0.061805,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p36000000000000004/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.380000,4.000000,5.263158,3.225806,-1.987744,8.136570,52.126046,-0.263121,0.352232,244.933701,34.359364,10.418260,0.106029,4.048743,0.000000,-0.271415,0.185883,0.498995,-0.116929,0.144871,0.010075,0.937175,0.000000,0.062825,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p38000000000000006/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.400000,4.000000,5.000000,3.333333,-1.937407,7.945554,49.910076,-0.267844,0.373107,216.789185,32.170975,10.438284,0.027330,3.994857,0.000000,-0.271415,0.185067,0.500335,-0.115673,0.146127,0.002611,0.936381,0.000000,0.063619,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p4000000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.420000,4.000000,4.761905,3.448276,-1.897748,7.814980,48.079304,-0.272351,0.389791,193.831055,30.341431,10.460116,-0.000022,3.952240,0.000000,-0.271415,0.189579,0.500370,-0.114461,0.147338,-0.000002,0.935739,0.000000,0.064261,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p4200000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.440000,4.000000,4.545455,3.571429,-1.861496,7.706227,46.580987,-0.275742,0.404455,173.497314,28.773399,10.478187,0.009961,3.917996,0.000000,-0.271415,0.196449,0.499412,-0.113360,0.148439,0.000950,0.935214,0.000000,0.064786,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p4400000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.460000,4.000000,4.347826,3.703704,-1.826094,7.599557,45.382420,-0.277642,0.419360,157.362000,27.323883,10.499939,0.009968,3.893316,0.000000,-0.271415,0.203036,0.498740,-0.112248,0.149551,0.000948,0.934830,0.000000,0.065170,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p46000000000000013/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.480000,4.000000,4.166667,3.846154,-1.796474,7.485669,44.455678,-0.278832,0.438805,142.740601,26.042917,10.525343,0.000463,3.877627,0.000000,-0.271415,0.202170,0.498343,-0.111116,0.150683,0.000044,0.934584,0.000000,0.065416,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p48000000000000015/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.500000,4.000000,4.000000,4.000000,-1.760916,7.374753,43.833791,-0.277191,0.453793,130.407471,24.954597,10.554413,-0.018453,3.870603,0.000000,-0.271415,0.207810,0.498211,-0.109955,0.151845,-0.001751,0.934473,0.000000,0.065527,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p5000000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.520000,4.000000,3.846154,4.166667,-1.732348,7.287542,43.428889,-0.275236,0.468828,119.632126,23.937820,10.582172,-0.023281,3.870739,0.000000,-0.271415,0.212833,0.497676,-0.108828,0.152972,-0.002205,0.934475,0.000000,0.065525,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p5200000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.540000,4.000000,3.703704,4.347826,-1.699492,7.193156,43.293040,-0.270863,0.482241,110.057693,22.974640,10.611618,-0.037981,3.878859,0.000000,-0.271415,0.220140,0.497400,-0.107682,0.154117,-0.003592,0.934603,0.000000,0.065397,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p5400000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.560000,4.000000,3.571429,4.545455,-1.668519,7.084450,43.409581,-0.265213,0.498992,101.908195,22.149326,10.642811,-0.063132,3.895239,0.000000,-0.271415,0.221923,0.497385,-0.106510,0.155290,-0.005967,0.934860,0.000000,0.065140,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p5600000000000002/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.580000,4.000000,3.448276,4.761905,-1.635626,6.975479,43.809291,-0.257612,0.514079,94.389397,21.426086,10.675824,-0.099731,3.920399,0.000000,-0.271415,0.225491,0.497637,-0.105299,0.156500,-0.009430,0.935251,0.000000,0.064749,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p5800000000000002/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.600000,4.000000,3.333333,5.000000,-1.614667,6.933539,44.493128,-0.250403,0.523890,105.863609,20.749512,10.690741,-0.020757,3.949672,0.000000,-0.271415,0.234881,0.494701,-0.104336,0.157463,-0.001945,0.935700,0.000000,0.064300,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p6000000000000002/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.620000,4.000000,3.225806,5.263158,-1.574319,6.800368,45.536502,-0.238552,0.537543,122.363129,20.100346,10.716590,-0.053852,3.991736,0.000000,-0.271415,0.239387,0.494757,-0.103178,0.158622,-0.005050,0.936335,0.000000,0.063665,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p6200000000000002/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.640000,4.000000,3.125000,5.555556,-1.529310,6.671603,46.959492,-0.224709,0.547551,143.774643,19.499847,10.741537,-0.101364,4.044912,0.000000,-0.271415,0.249535,0.495089,-0.101986,0.159813,-0.009527,0.937119,0.000000,0.062881,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p6400000000000002/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.660000,4.000000,3.030303,5.882353,-1.485803,6.511844,48.820440,-0.209995,0.563081,169.591797,20.764780,10.765267,-0.166216,4.111070,0.000000,-0.271415,0.250211,0.495719,-0.100750,0.161049,-0.015682,0.938068,0.000000,0.061932,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p6600000000000003/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.680000,4.000000,2.941176,6.250000,-1.435636,6.335113,51.245822,-0.193301,0.576547,201.637604,22.551483,10.787403,-0.252456,4.192803,0.000000,-0.271415,0.252928,0.496680,-0.099457,0.162343,-0.023964,0.939202,0.000000,0.060798,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p6800000000000003/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.700000,4.000000,2.857143,6.666667,-1.415814,6.317985,54.343639,-0.179766,0.579392,245.632462,24.726210,10.766987,-0.030030,4.282345,0.000000,-0.271415,0.267642,0.490088,-0.098683,0.163117,-0.002797,0.940398,0.000000,0.059602,outputs_DeLaurier/modulation_scan_sep_on_twist_off/amp_0p0/delta_0p7000000000000003/windtunnel_v50.csv
