step,t,wing_q,wing_qd,wing_qdd,airspeed,body_pitch_deg,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R
0,0.0,0.0,6.579736267392905,-0.0,5.0,15.0,0.0,-4.505010053890146e-08,0.0,-5.631251021043227e-10,0.0,-3.0031346298642347e-09,0.0,0.0,-4.505010053890146e-08,-3.0031346298642347e-09,-5.631251021043227e-10,0.0,1.1616097417288529e-08,3.897219880144576e-09,-4.3351924716716894e-08,-2.888197014883076e-09,-5.610140130229979e-10,-8.24322665682331e-10,0.0,5.12303195421282e-08,0.0,6.403799712728642e-10,0.0,3.415115079619113e-09,0.0,0.0,5.12303195421282e-08,3.415115079619113e-09,6.403799712728642e-10,0.0,-1.3209657367951877e-08,4.431851330366499e-09,4.929918162588365e-08,3.313086471834481e-09,6.379792250044147e-10,8.303850940194479e-10
1,0.004166666666666667,0.027403042608571532,6.570718967514373,-4.327315038924748,5.0,15.0,0.0,0.00020761703490279615,0.0,6.346601821860531e-07,0.0,1.4311725863080937e-05,0.0,0.0,0.00020761703490279615,1.4311725863080937e-05,6.346601821860531e-07,0.0,-5.3535022743744776e-05,-1.790247370081488e-05,0.00019979572971351445,1.3809903066430707e-05,6.322962917693076e-07,3.7570025597233325e-06,0.0,-0.00021254831517580897,0.0,-4.684592568082735e-06,0.0,-1.4610035577788949e-05,0.0,0.0,-0.00021254831517580897,-1.4610035577788949e-05,-4.684592568082735e-06,0.0,5.480656909639947e-05,-1.832796260714531e-05,-0.0002045412256848067,-1.4216761883290019e-05,-4.6671434574818704e-06,-3.3911637729033828e-06
2,0.008333333333333333,0.054730975382115105,6.543691783670959,-8.642769208115785,5.0,15.0,0.0,0.0014749369584023952,0.0,2.1140531316632405e-06,0.0,9.840972779784352e-05,0.0,0.0,0.0014749369584023952,9.840972779784352e-05,2.1140531316632405e-06,0.0,-0.00038035534089431167,-0.00012556825822684914,0.0014195074327290058,9.50099274632521e-05,2.106378133248654e-06,2.5644123525125906e-05,0.0,-0.001430573407560587,0.0,-1.9856352082570083e-06,0.0,-9.546472574584186e-05,0.0,0.0,-0.001430573407560587,-9.546472574584186e-05,-1.9856352082570083e-06,0.0,0.00036891395575366914,-0.0001218343386426568,-0.0013768075732514262,-9.225562098436058e-05,-1.9784206415351946e-06,-2.4544713596696965e-05
3,0.0125,0.08190889435643976,6.4987287954949435,-12.9345341476589,5.0,15.0,0.0,0.002503924537450075,0.0,6.635935278609395e-05,0.0,0.00016690665506757796,0.0,0.0,0.002503924537450075,0.00016690665506757796,6.635935278609395e-05,0.0,-0.000645847525447607,-0.00020684546325355768,0.002410338958725333,0.00015980064927134663,6.613253935938701e-05,4.8493631766177714e-05,0.0,-0.0024508144706487656,0.0,3.6551955417962745e-06,0.0,-0.00016333673556800932,0.0,0.0,-0.0024508144706487656,-0.00016333673556800932,3.6551955417962745e-06,0.0,0.0006321436376310885,-0.00020268898515496403,-0.002359195379540324,-0.00015769294986966997,3.6426754377316684e-06,-4.2566600313875824e-05
4,0.016666666666666666,0.10886230674475085,6.435953243411576,-17.190846428171724,5.0,15.0,0.0,0.003381130052730441,0.0,9.711460734251887e-05,0.0,0.00022546625405084342,0.0,0.0,0.003381130052730441,0.00022546625405084342,9.711460734251887e-05,0.0,-0.0008724038489162922,-0.0002651978575158864,0.0032558597158640623,0.0002158122370019555,9.681541996542364e-05,6.571249105036259e-05,0.0,-0.0033317687921226025,0.0,-9.554286225466058e-05,0.0,-0.00022216205252334476,0.0,0.0,-0.0033317687921226025,-0.00022216205252334476,-9.554286225466058e-05,0.0,0.0008596552652306855,-0.0002619275182951242,-0.003208281472325325,-0.0002165361074730754,-9.524716006126255e-05,-5.0244514568476006e-05
5,0.020833333333333332,0.13551733511720074,6.3555371908456415,-21.400039793546014,5.0,15.0,0.0,0.0041530258022248745,0.0,0.00012615154264494777,0.0,0.00027678313199430704,0.0,0.0,0.0041530258022248745,0.00027678313199430704,0.00012615154264494777,0.0,-0.0010720451828092337,-0.00030147915822453797,0.004000931512564421,0.0002649818197824061,0.00012581871123984456,8.0482306657359e-05,0.0,-0.004112742841243744,0.0,-0.00012468647037167102,0.0,-0.0002740955678746104,0.0,0.0,-0.004112742841243744,-0.0002740955678746104,-0.00012468647037167102,0.0,0.0010616251965984702,-0.0002996738476213068,-0.003962045069783926,-0.0002671074471436441,-0.00012435503595042974,-6.21653744019568e-05
6,0.025,0.16180091989378884,6.2577010526075725,-25.55057713734472,5.0,15.0,0.0,0.004832575097680092,0.0,0.00015271395386662334,0.0,0.00032223420566879213,0.0,0.0,0.004832575097680092,0.00032223420566879213,0.00015271395386662334,0.0,-0.001248103566467762,-0.0003148402029182762,0.004657992627471685,0.00030867932946421206,0.00015238950436469167,9.301047975895926e-05,0.0,-0.004804318770766258,0.0,-0.00015154641005210578,0.0,-0.0003202177758794278,0.0,0.0,-0.004804318770766258,-0.0003202177758794278,-0.00015154641005210578,0.0,0.0012407765025272965,-0.00031472722184844315,-0.004630647599697113,-0.00031187612330541015,-0.000151220869156532,-7.328893843805417e-05
7,0.029166666666666667,0.18764101959559215,6.142712990751774,-29.631082125208813,5.0,15.0,0.0,0.0054399799555540085,0.0,0.00017697796283755451,0.0,0.0003626254037953913,0.0,0.0,0.0054399799555540085,0.0003626254037953913,0.00017697796283755451,0.0,-0.0014057422522455454,-0.0003058052679989487,0.005246308632194996,0.0003476943529676646,0.0001766981149557978,0.0001034639572026208,0.0,-0.005418779328465462,0.0,4.05196042265743e-05,0.0,-0.0003612262080423534,0.0,0.0,-0.005418779328465462,-0.0003612262080423534,4.05196042265743e-05,0.0,0.001400229288265109,-0.00030697276815772057,-0.005225733853876591,-0.0003483236359898001,4.0454538975609466e-05,-9.570932161295786e-05
8,0.03333333333333333,0.21296680830545126,6.01088817956307,-33.63037037659897,5.0,15.0,0.0,0.005975544452667236,0.0,0.0001986914430744946,0.0,0.00039837497752159834,0.0,0.0,0.005975544452667236,0.00039837497752159834,0.0001986914430744946,0.0,-0.0015449519269168377,-0.0002743520017247647,0.005765846464782953,0.0003824396408163011,0.00019848191004712135,0.00011191848170710728,0.0,-0.005963509436696768,0.0,-0.0001980054657906294,0.0,-0.00039756210753694177,0.0,0.0,-0.005963509436696768,-0.00039756210753694177,-0.0001980054657906294,0.0,0.001541804987937212,-0.0002767631958704442,-0.0057541015557944775,-0.0003863939200527966,-0.00019779210560955107,-9.402030991623178e-05
9,0.0375,0.23770886979688646,5.862587941685898,-37.53748012040525,5.0,15.0,0.0,0.00644708564504981,0.0,0.0002180333831347525,0.0,0.00042982009472325444,0.0,0.0,0.00644708564504981,0.00042982009472325444,0.0002180333831347525,0.0,-0.0016676400555297732,-0.00022162329696584493,0.00622372655197978,0.0004132344911340624,0.00021790452592540532,0.00011848514259327203,0.0,-0.006442151498049498,0.0,5.6547090935055166e-05,0.0,-0.00042950693750754,0.0,0.0,-0.006442151498049498,-0.00042950693750754,5.6547090935055166e-05,0.0,0.0016663328278809786,-0.00022494634322356433,-0.006218846421688795,-0.00041436083847656846,5.6512617447879165e-05,-0.00011307167005725205
