step,t,phi,eta0,vfx_i,vfy_i,vfz_i,Fy_c,tau_x_c,tau_z_c
26,0.10833333333333334,0.5121568860986343,0.2617993877991494,5.0,0.0,0.0,0.04463007301092148,0.000739920069463551,0.0022053595166653395
27,0.1125,0.5171524058083297,0.2617993877991494,5.0,0.0,0.0,0.04606406390666962,0.0007637817761860788,0.002287050010636449
28,0.11666666666666667,0.5207304467205274,0.2617993877991494,5.0,0.0,0.0,0.04729050397872925,0.0007841950282454491,0.002358797937631607
29,0.12083333333333333,0.5228812016737937,0.2617993877991494,5.0,0.0,0.0,0.04829832911491394,0.0008009757148101926,0.0024199450854212046
30,0.125,0.5235987755982988,0.2617993877991494,5.0,0.0,0.0,0.049078114330768585,0.0008139665005728602,0.0024699093773961067
31,0.12916666666666665,0.5228812016737937,0.2617993877991494,5.0,0.0,0.0,0.049622248858213425,0.0004175153444521129,0.0025082004722207785
32,0.13333333333333333,0.5207304467205274,0.2617993877991494,5.0,0.0,0.0,0.04992485046386719,0.00042002054397016764,0.0025344090536236763
33,0.1375,0.5171524058083297,0.2617993877991494,5.0,0.0,0.0,0.04998192936182022,0.0004204688884783536,0.002548223128542304
34,0.14166666666666666,0.5121568860986343,0.2617993877991494,5.0,0.0,0.0,0.049791377037763596,0.00041884277015924454,0.002549422439187765
35,0.14583333333333334,0.5057575799637313,0.2617993877991494,5.0,0.0,0.0,0.04935310781002045,0.00041514160693623126,0.00253789103589952
36,0.15,0.497972027456926,0.2617993877991494,5.0,0.0,0.0,0.04866911098361015,0.00040938216261565685,0.0025136179756373167
37,0.15416666666666667,0.48882156823647244,0.2617993877991494,5.0,0.0,0.0,0.047743529081344604,0.00040159898344427347,0.002476702444255352
38,0.15833333333333333,0.4783312830750534,0.2617993877991494,5.0,0.0,0.0,0.04658278077840805,0.0003918458824045956,0.0024273633025586605
39,0.1625,0.4665299251151255,0.2617993877991494,5.0,0.0,0.0,0.045195650309324265,0.0003801962884608656,0.0023659414146095514
40,0.16666666666666666,0.45344984105855446,0.2617993877991494,5.0,0.0,0.0,0.043593280017375946,0.00036674324655905366,0.002292902208864689
41,0.17083333333333334,0.43912688250655385,0.2617993877991494,5.0,0.0,0.0,0.04178929701447487,0.00035160055267624557,0.002208842895925045
42,0.175,0.42360030769293827,0.2617993877991494,5.0,0.0,0.0,0.0397997684776783,0.0003349024918861687,0.0021144915372133255
43,0.17916666666666667,0.40691267388003277,0.2617993877991494,5.0,0.0,0.0,0.03764320909976959,0.0003168035764247179,0.002010706812143326
44,0.18333333333333332,0.3891097207121752,0.2617993877991494,5.0,0.0,0.0,0.035340502858161926,0.0002974783128593117,0.0018984779017046094
45,0.1875,0.3702402448465305,0.2617993877991494,5.0,0.0,0.0,0.03291479870676994,0.0002771198924165219,0.0017789173871278763
46,0.19166666666666665,0.3503559662048455,0.2617993877991494,5.0,0.0,0.0,0.03039132058620453,0.00025593891041353345,0.0016532542649656534
47,0.19583333333333333,0.32951138621273746,0.2617993877991494,5.0,0.0,0.0,0.027797184884548187,0.0002341617800993845,0.0015228257980197668
48,0.2,0.30776363841507615,0.2617993877991494,5.0,0.0,0.0,0.025161081925034523,0.0002120280551025644,0.0013890608679503202
49,0.20416666666666666,0.28517233187690727,0.2617993877991494,5.0,0.0,0.0,0.02251296490430832,0.0001897877227747813,0.0012534651905298233
50,0.20833333333333334,0.26179938779914935,0.2617993877991494,5.0,0.0,0.0,0.019883669912815094,0.00016769825015217066,0.0011176037369295955
51,0.2125,0.23770886979688655,0.2617993877991494,5.0,0.0,0.0,0.017304474487900734,0.00014602085866499692,0.000983077916316688
52,0.21666666666666667,0.2129668083054512,0.2617993877991494,5.0,0.0,0.0,0.014806654304265976,0.00012501658056862652,0.0008515023509971797
53,0.22083333333333333,0.18764101959559235,0.2617993877991494,5.0,0.0,0.0,0.01242096908390522,0.00010494230082258582,0.000724480370990932
54,0.225,0.16180091989378892,0.2617993877991494,5.0,0.0,0.0,0.010177182964980602,8.604656613897532e-05,0.0006035786354914308
55,0.22916666666666666,0.13551733511720088,0.2617993877991494,5.0,0.0,0.0,0.008103540167212486,6.856531399535015e-05,0.0004902997752651572
56,0.23333333333333334,0.10886230674475085,0.2617993877991494,5.0,0.0,0.0,0.006226282566785812,5.271776899462566e-05,0.0003860580618493259
57,0.2375,0.08190889435643982,0.2617993877991494,5.0,0.0,0.0,0.004569182638078928,3.870258660754189e-05,0.00029215411632321775
58,0.24166666666666667,0.05473097538211525,0.2617993877991494,5.0,0.0,0.0,0.00315311411395669,2.6694280677475035e-05,0.00020975225197616965
59,0.24583333333333332,0.027403042608571754,0.2617993877991494,5.0,0.0,0.0,0.001995687372982502,1.6840180251165293e-05,0.0001398608146701008
60,0.25,6.412235645739299e-17,0.2617993877991494,5.0,0.0,0.0,0.0011109374463558197,9.257812052965164e-06,8.331453136634082e-05
61,0.25416666666666665,-0.027403042608571394,0.2617993877991494,5.0,0.0,0.0,0.0004890394047833979,3.865874532493763e-06,4.065630855620839e-05
62,0.2583333333333333,-0.05473097538211489,0.2617993877991494,5.0,0.0,0.0,3.5981756809633225e-05,-1.1848442227346823e-07,1.0974252290907316e-05
63,0.2625,-0.0819088943564397,0.2617993877991494,5.0,0.0,0.0,-0.00036545429611578584,-3.6715173337142915e-06,-9.273475370719098e-06
64,0.26666666666666666,-0.10886230674475071,0.2617993877991494,5.0,0.0,0.0,-0.0008348490227945149,-7.789156370563433e-06,-2.641771425260231e-05
65,0.2708333333333333,-0.13551733511720054,0.2617993877991494,5.0,0.0,0.0,-0.0014929377939552069,-1.3476965250447392e-05,-4.9623529775999486e-05
66,0.275,-0.16180091989378903,0.2617993877991494,5.0,0.0,0.0,-0.0024160833563655615,-2.1370740796555765e-05,-8.620785956736654e-05
67,0.2791666666666667,-0.18764101959559223,0.2617993877991494,5.0,0.0,0.0,-0.003599101211875677,-3.142673085676506e-05,-0.00013639673124998808
68,0.2833333333333333,-0.21296680830545106,0.2617993877991494,5.0,0.0,0.0,-0.005025574471801519,-4.350758536020294e-05,-0.00019947567488998175
69,0.2875,-0.2377088697968862,0.2617993877991494,5.0,0.0,0.0,-0.006676240358501673,-5.7452245528111234e-05,-0.000274578167591244
70,0.2916666666666667,-0.26179938779914946,0.2617993877991494,5.0,0.0,0.0,-0.008529393002390862,-7.307931809918955e-05,-0.0003607046674005687
71,0.29583333333333334,-0.28517233187690716,0.2617993877991494,5.0,0.0,0.0,-0.010561284609138966,-9.019039862323552e-05,-0.00045674186549149454
72,0.3,-0.30776363841507604,0.2617993877991494,5.0,0.0,0.0,-0.012746565975248814,-0.00010857374581974,-0.0005614837864413857
73,0.30416666666666664,-0.32951138621273734,0.2617993877991494,5.0,0.0,0.0,-0.015058698132634163,-0.00012800774129573256,-0.0006736524519510567
74,0.30833333333333335,-0.35035596620484544,0.2617993877991494,5.0,0.0,0.0,-0.017470382153987885,-0.00014826442929916084,-0.0007919184281490743
75,0.3125,-0.37024024484653045,0.2617993877991494,5.0,0.0,0.0,-0.019953949376940727,-0.00016911282727960497,-0.0009149207035079598
76,0.31666666666666665,-0.389109720712175,0.2617993877991494,5.0,0.0,0.0,-0.022481698542833328,-0.00019032163254451007,-0.001041283831000328
77,0.3208333333333333,-0.4069126738800325,0.2617993877991494,5.0,0.0,0.0,-0.025026272982358932,-0.0002116624964401126,-0.0011696363799273968
78,0.325,-0.4236003076929382,0.2617993877991494,5.0,0.0,0.0,-0.02756091207265854,-0.00023291200341191143,-0.001298624323680997
79,0.32916666666666666,-0.4391268825065539,0.2617993877991494,5.0,0.0,0.0,-0.030059704557061195,-0.00025385397020727396,-0.0014269246021285653
80,0.3333333333333333,-0.4534498410585543,0.2617993877991494,5.0,0.0,0.0,-0.032497815787792206,-0.00027428101748228073,-0.001553255831822753
81,0.3375,-0.46652992511512537,0.2617993877991494,5.0,0.0,0.0,-0.034851644188165665,-0.00029399621416814625,-0.0016763887833803892
82,0.3416666666666667,-0.4783312830750534,0.2617993877991494,5.0,0.0,0.0,-0.03709891811013222,-0.0003128137032035738,-0.001795149757526815
83,0.3458333333333333,-0.4888215682364724,0.2617993877991494,5.0,0.0,0.0,-0.039218876510858536,-0.00033056020038202405,-0.0019084318773820996
84,0.35,-0.4979720274569259,0.2617993877991494,5.0,0.0,0.0,-0.04119223728775978,-0.000347074877936393,-0.0020151943899691105
85,0.3541666666666667,-0.5057575799637313,0.2617993877991494,5.0,0.0,0.0,-0.04300132021307945,-0.00036221009213477373,-0.0021144680213183165
86,0.35833333333333334,-0.5121568860986343,0.2617993877991494,5.0,0.0,0.0,-0.04463007301092148,-0.0003758319071494043,-0.0022053595166653395
87,0.3625,-0.5171524058083297,0.2617993877991494,5.0,0.0,0.0,-0.04606406390666962,-0.0003878199786413461,-0.002287050010636449
88,0.36666666666666664,-0.5207304467205274,0.2617993877991494,5.0,0.0,0.0,-0.04729050397872925,-0.0003980676701758057,-0.002358797937631607
89,0.37083333333333335,-0.5228812016737937,0.2617993877991494,5.0,0.0,0.0,-0.04829832911491394,-0.0004064826644025743,-0.0024199450854212046
90,0.375,-0.5235987755982988,0.2617993877991494,5.0,0.0,0.0,-0.049078114330768585,-0.00041298632277175784,-0.0024699093773961067
91,0.37916666666666665,-0.5228812016737937,0.2617993877991494,5.0,0.0,0.0,-0.049622248858213425,-0.0008230410749092698,-0.0025082004722207785
92,0.3833333333333333,-0.5207304467205274,0.2617993877991494,5.0,0.0,0.0,-0.04992485046386719,-0.000828100717626512,-0.0025344090536236763
93,0.3875,-0.5171524058083297,0.2617993877991494,5.0,0.0,0.0,-0.04998192936182022,-0.000829079479444772,-0.002548223128542304
94,0.39166666666666666,-0.5121568860986343,0.2617993877991494,5.0,0.0,0.0,-0.049791377037763596,-0.0008259418536908925,-0.002549422439187765
95,0.3958333333333333,-0.5057575799637313,0.2617993877991494,5.0,0.0,0.0,-0.04935310781002045,-0.0008186862105503678,-0.00253789103589952
96,0.4,-0.497972027456926,0.2617993877991494,5.0,0.0,0.0,-0.04866911098361015,-0.0008073457865975797,-0.0025136179756373167
97,0.4041666666666667,-0.48882156823647244,0.2617993877991494,5.0,0.0,0.0,-0.047743529081344604,-0.000791989266872406,-0.002476702444255352
98,0.4083333333333333,-0.47833128307505346,0.2617993877991494,5.0,0.0,0.0,-0.04658278077840805,-0.0007727236370556056,-0.0024273633025586605
99,0.4125,-0.46652992511512553,0.2617993877991494,5.0,0.0,0.0,-0.045195650309324265,-0.0007496950565837324,-0.0023659414146095514
100,0.4166666666666667,-0.4534498410585544,0.2617993877991494,5.0,0.0,0.0,-0.043593280017375946,-0.0007230888586491346,-0.002292902208864689
101,0.42083333333333334,-0.439126882506554,0.2617993877991494,5.0,0.0,0.0,-0.04178929701447487,-0.0006931318785063922,-0.002208842895925045
102,0.425,-0.4236003076929383,0.2617993877991494,5.0,0.0,0.0,-0.0397997684776783,-0.0006600918131880462,-0.0021144915372133255
103,0.42916666666666664,-0.40691267388003294,0.2617993877991494,5.0,0.0,0.0,-0.03764320909976959,-0.0006242766394279897,-0.002010706812143326
104,0.43333333333333335,-0.389109720712175,0.2617993877991494,5.0,0.0,0.0,-0.035340502858161926,-0.0005860343808308244,-0.0018984779017046094
105,0.4375,-0.37024024484653056,0.2617993877991494,5.0,0.0,0.0,-0.03291479870676994,-0.0005457501392811537,-0.0017789173871278763
106,0.44166666666666665,-0.3503559662048457,0.2617993877991494,5.0,0.0,0.0,-0.03039132058620453,-0.0005038441740907729,-0.0016532542649656534
107,0.4458333333333333,-0.3295113862127377,0.2617993877991494,5.0,0.0,0.0,-0.027797184884548187,-0.0004607678565662354,-0.0015228257980197668
108,0.45,-0.3077636384150762,0.2617993877991494,5.0,0.0,0.0,-0.025161081925034523,-0.00041699904249981046,-0.0013890608679503202
109,0.45416666666666666,-0.2851723318769071,0.2617993877991494,5.0,0.0,0.0,-0.02251296490430832,-0.0003730364260263741,-0.0012534651905298233
110,0.4583333333333333,-0.26179938779914963,0.2617993877991494,5.0,0.0,0.0,-0.019883669912815094,-0.0003293934278190136,-0.0011176037369295955
111,0.46249999999999997,-0.2377088697968866,0.2617993877991494,5.0,0.0,0.0,-0.017304474487900734,-0.00028659103554673493,-0.000983077916316688
112,0.4666666666666667,-0.21296680830545126,0.2617993877991494,5.0,0.0,0.0,-0.014806654304265976,-0.0002451498294249177,-0.0008515023509971797
113,0.4708333333333333,-0.1876410195955924,0.2617993877991494,5.0,0.0,0.0,-0.01242096908390522,-0.00020558196411002427,-0.000724480370990932
114,0.475,-0.16180091989378897,0.2617993877991494,5.0,0.0,0.0,-0.010177182964980602,-0.00016838301962707192,-0.0006035786354914308
115,0.4791666666666667,-0.1355173351172007,0.2617993877991494,5.0,0.0,0.0,-0.008103540167212486,-0.00013402319746091962,-0.0004902997752651572
116,0.48333333333333334,-0.10886230674475113,0.2617993877991494,5.0,0.0,0.0,-0.006226282566785812,-0.00010293930972693488,-0.0003860580618493259
117,0.4875,-0.0819088943564399,0.2617993877991494,5.0,0.0,0.0,-0.004569182638078928,-7.552699389634654e-05,-0.00029215411632321775
118,0.49166666666666664,-0.05473097538211555,0.2617993877991494,5.0,0.0,0.0,-0.00315311411395669,-5.2133575081825256e-05,-0.00020975225197616965
119,0.49583333333333335,-0.02740304260857135,0.2617993877991494,5.0,0.0,0.0,-0.001995687372982502,-3.30520051647909e-05,-0.0001398608146701008
120,0.5,-1.2824471291478598e-16,0.2617993877991494,5.0,0.0,0.0,-0.0011109374463558197,-1.8515627743909135e-05,-8.331453136634082e-05
121,0.5041666666666667,0.027403042608571095,0.2617993877991494,5.0,0.0,0.0,-0.0004890394047833979,-8.360110768990126e-06,-4.065630855620839e-05
122,0.5083333333333333,0.05473097538211483,0.2617993877991494,5.0,0.0,0.0,-3.5981756809633225e-05,-1.018028683574812e-06,-1.0974252290907316e-05
123,0.5125,0.08190889435643917,0.2617993877991494,5.0,0.0,0.0,0.00036545429611578584,5.464840796776116e-06,9.273475370719098e-06
124,0.5166666666666666,0.10886230674475042,0.2617993877991494,5.0,0.0,0.0,0.0008348490227945149,1.3082071745884605e-05,2.641771425260231e-05
125,0.5208333333333334,0.1355173351172009,0.2617993877991494,5.0,0.0,0.0,0.0014929377939552069,2.3846481781220064e-05,4.9623529775999486e-05
126,0.525,0.16180091989378872,0.2617993877991494,5.0,0.0,0.0,0.0024160833563655615,3.903134711435996e-05,8.620785956736654e-05
127,0.5291666666666667,0.18764101959559218,0.2617993877991494,5.0,0.0,0.0,0.003599101211875677,5.8550809626467526e-05,0.00013639673124998808
128,0.5333333333333333,0.212966808305451,0.2617993877991494,5.0,0.0,0.0,0.005025574471801519,8.213179535232484e-05,0.00019947567488998175
129,0.5375,0.23770886979688638,0.2617993877991494,5.0,0.0,0.0,0.006676240358501673,0.00010945377289317548,0.000274578167591244
130,0.5416666666666666,0.261799387799149,0.2617993877991494,5.0,0.0,0.0,0.008529393002390862,0.00014015550550539047,0.0003607046674005687
131,0.5458333333333333,0.28517233187690694,0.2617993877991494,5.0,0.0,0.0,0.010561284609138966,0.00017384174861945212,0.00045674186549149454
132,0.55,0.3077636384150763,0.2617993877991494,5.0,0.0,0.0,0.012746565975248814,0.00021009042393416166,0.0005614837864413857
133,0.5541666666666667,0.3295113862127375,0.2617993877991494,5.0,0.0,0.0,0.015058698132634163,0.0002484597498551011,0.0006736524519510567
134,0.5583333333333333,0.35035596620484555,0.2617993877991494,5.0,0.0,0.0,0.017470382153987885,0.00028849515365436673,0.0007919184281490743
135,0.5625,0.3702402448465304,0.2617993877991494,5.0,0.0,0.0,0.019953949376940727,0.0003297359507996589,0.0009149207035079598
136,0.5666666666666667,0.3891097207121748,0.2617993877991494,5.0,0.0,0.0,0.022481698542833328,0.0003717209037858993,0.001041283831000328
137,0.5708333333333333,0.4069126738800325,0.2617993877991494,5.0,0.0,0.0,0.025026272982358932,0.0004139944212511182,0.0011696363799273968
138,0.575,0.42360030769293794,0.2617993877991494,5.0,0.0,0.0,0.02756091207265854,0.00045611083623953164,0.001298624323680997
139,0.5791666666666666,0.4391268825065537,0.2617993877991494,5.0,0.0,0.0,0.030059704557061195,0.000497638713568449,0.0014269246021285653
140,0.5833333333333334,0.4534498410585545,0.2617993877991494,5.0,0.0,0.0,0.032497815787792206,0.0005381644004955888,0.001553255831822753
141,0.5875,0.4665299251151253,0.2617993877991494,5.0,0.0,0.0,0.034851644188165665,0.0005772949079982936,0.0016763887833803892
142,0.5916666666666667,0.47833128307505335,0.2617993877991494,5.0,0.0,0.0,0.03709891811013222,0.000614659336861223,0.001795149757526815
143,0.5958333333333333,0.4888215682364723,0.2617993877991494,5.0,0.0,0.0,0.039218876510858536,0.0006499117007479072,0.0019084318773820996
144,0.6,0.4979720274569259,0.2617993877991494,5.0,0.0,0.0,0.04119223728775978,0.0006827312172390521,0.0020151943899691105
145,0.6041666666666666,0.5057575799637312,0.2617993877991494,5.0,0.0,0.0,0.04300132021307945,0.0007128231227397919,0.0021144680213183165
146,0.6083333333333333,0.5121568860986342,0.2617993877991494,5.0,0.0,0.0,0.04463007301092148,0.000739920069463551,0.0022053595166653395
147,0.6125,0.5171524058083297,0.2617993877991494,5.0,0.0,0.0,0.04606406390666962,0.0007637817761860788,0.002287050010636449
148,0.6166666666666667,0.5207304467205274,0.2617993877991494,5.0,0.0,0.0,0.04729050397872925,0.0007841950282454491,0.002358797937631607
149,0.6208333333333333,0.5228812016737937,0.2617993877991494,5.0,0.0,0.0,0.04829832911491394,0.0008009757148101926,0.0024199450854212046
150,0.625,0.5235987755982988,0.2617993877991494,5.0,0.0,0.0,0.049078114330768585,0.0008139665005728602,0.0024699093773961067
151,0.6291666666666667,0.5228812016737937,0.2617993877991494,5.0,0.0,0.0,0.049622248858213425,0.0004175153444521129,0.0025082004722207785
152,0.6333333333333333,0.5207304467205274,0.2617993877991494,5.0,0.0,0.0,0.04992485046386719,0.00042002054397016764,0.0025344090536236763
153,0.6375,0.5171524058083298,0.2617993877991494,5.0,0.0,0.0,0.04998192936182022,0.0004204688884783536,0.002548223128542304
154,0.6416666666666666,0.5121568860986344,0.2617993877991494,5.0,0.0,0.0,0.049791377037763596,0.00041884277015924454,0.002549422439187765
155,0.6458333333333334,0.5057575799637313,0.2617993877991494,5.0,0.0,0.0,0.04935310781002045,0.00041514160693623126,0.00253789103589952
156,0.65,0.497972027456926,0.2617993877991494,5.0,0.0,0.0,0.04866911098361015,0.00040938216261565685,0.0025136179756373167
157,0.6541666666666667,0.48882156823647244,0.2617993877991494,5.0,0.0,0.0,0.047743529081344604,0.00040159898344427347,0.002476702444255352
158,0.6583333333333333,0.4783312830750533,0.2617993877991494,5.0,0.0,0.0,0.04658278077840805,0.0003918458824045956,0.0024273633025586605
159,0.6625,0.46652992511512575,0.2617993877991494,5.0,0.0,0.0,0.045195650309324265,0.0003801962884608656,0.0023659414146095514
160,0.6666666666666666,0.4534498410585547,0.2617993877991494,5.0,0.0,0.0,0.043593280017375946,0.00036674324655905366,0.002292902208864689
161,0.6708333333333333,0.4391268825065541,0.2617993877991494,5.0,0.0,0.0,0.04178929701447487,0.00035160055267624557,0.002208842895925045
162,0.675,0.4236003076929384,0.2617993877991494,5.0,0.0,0.0,0.0397997684776783,0.0003349024918861687,0.0021144915372133255
163,0.6791666666666667,0.40691267388003266,0.2617993877991494,5.0,0.0,0.0,0.03764320909976959,0.0003168035764247179,0.002010706812143326
164,0.6833333333333333,0.389109720712175,0.2617993877991494,5.0,0.0,0.0,0.035340502858161926,0.0002974783128593117,0.0018984779017046094
165,0.6875,0.3702402448465309,0.2617993877991494,5.0,0.0,0.0,0.03291479870676994,0.0002771198924165219,0.0017789173871278763
166,0.6916666666666667,0.35035596620484577,0.2617993877991494,5.0,0.0,0.0,0.03039132058620453,0.00025593891041353345,0.0016532542649656534
167,0.6958333333333333,0.32951138621273773,0.2617993877991494,5.0,0.0,0.0,0.027797184884548187,0.0002341617800993845,0.0015228257980197668
168,0.7,0.3077636384150762,0.2617993877991494,5.0,0.0,0.0,0.025161081925034523,0.0002120280551025644,0.0013890608679503202
169,0.7041666666666666,0.285172331876908,0.2617993877991494,5.0,0.0,0.0,0.02251296490430832,0.0001897877227747813,0.0012534651905298233
170,0.7083333333333334,0.2617993877991493,0.2617993877991494,5.0,0.0,0.0,0.019883669912815094,0.00016769825015217066,0.0011176037369295955
171,0.7125,0.23770886979688624,0.2617993877991494,5.0,0.0,0.0,0.017304474487900734,0.00014602085866499692,0.000983077916316688
172,0.7166666666666667,0.21296680830545173,0.2617993877991494,5.0,0.0,0.0,0.014806654304265976,0.00012501658056862652,0.0008515023509971797
173,0.7208333333333333,0.18764101959559246,0.2617993877991494,5.0,0.0,0.0,0.01242096908390522,0.00010494230082258582,0.000724480370990932
174,0.725,0.16180091989378906,0.2617993877991494,5.0,0.0,0.0,0.010177182964980602,8.604656613897532e-05,0.0006035786354914308
175,0.7291666666666666,0.13551733511720077,0.2617993877991494,5.0,0.0,0.0,0.008103540167212486,6.856531399535015e-05,0.0004902997752651572
176,0.7333333333333333,0.10886230674475164,0.2617993877991494,5.0,0.0,0.0,0.006226282566785812,5.271776899462566e-05,0.0003860580618493259
177,0.7375,0.08190889435643949,0.2617993877991494,5.0,0.0,0.0,0.004569182638078928,3.870258660754189e-05,0.00029215411632321775
178,0.7416666666666667,0.05473097538211468,0.2617993877991494,5.0,0.0,0.0,0.00315311411395669,2.6694280677475035e-05,0.00020975225197616965
179,0.7458333333333333,0.02740304260857188,0.2617993877991494,5.0,0.0,0.0,0.001995687372982502,1.6840180251165293e-05,0.0001398608146701008
180,0.75,1.9236706937217895e-16,0.2617993877991494,5.0,0.0,0.0,0.0011109374463558197,9.257812052965164e-06,8.331453136634082e-05
181,0.7541666666666667,-0.027403042608571494,0.2617993877991494,5.0,0.0,0.0,0.0004890394047833979,3.865874532493763e-06,4.065630855620839e-05
182,0.7583333333333333,-0.05473097538211431,0.2617993877991494,5.0,0.0,0.0,3.5981756809633225e-05,-1.1848442227346823e-07,1.0974252290907316e-05
183,0.7625,-0.08190889435643911,0.2617993877991494,5.0,0.0,0.0,-0.00036545429611578584,-3.6715173337142915e-06,-9.273475370719098e-06
184,0.7666666666666666,-0.10886230674475036,0.2617993877991494,5.0,0.0,0.0,-0.0008348490227945149,-7.789156370563433e-06,-2.641771425260231e-05
185,0.7708333333333334,-0.1355173351172004,0.2617993877991494,5.0,0.0,0.0,-0.0014929377939552069,-1.3476965250447392e-05,-4.9623529775999486e-05
186,0.775,-0.16180091989378867,0.2617993877991494,5.0,0.0,0.0,-0.0024160833563655615,-2.1370740796555765e-05,-8.620785956736654e-05
187,0.7791666666666667,-0.18764101959559212,0.2617993877991494,5.0,0.0,0.0,-0.003599101211875677,-3.142673085676506e-05,-0.00013639673124998808
188,0.7833333333333333,-0.21296680830545137,0.2617993877991494,5.0,0.0,0.0,-0.005025574471801519,-4.350758536020294e-05,-0.00019947567488998175
189,0.7875,-0.2377088697968859,0.2617993877991494,5.0,0.0,0.0,-0.006676240358501673,-5.7452245528111234e-05,-0.000274578167591244
190,0.7916666666666666,-0.26179938779914896,0.2617993877991494,5.0,0.0,0.0,-0.008529393002390862,-7.307931809918955e-05,-0.0003607046674005687
191,0.7958333333333333,-0.2851723318769069,0.2617993877991494,5.0,0.0,0.0,-0.010561284609138966,-9.019039862323552e-05,-0.00045674186549149454
192,0.8,-0.3077636384150759,0.2617993877991494,5.0,0.0,0.0,-0.012746565975248814,-0.00010857374581974,-0.0005614837864413857
193,0.8041666666666667,-0.32951138621273746,0.2617993877991494,5.0,0.0,0.0,-0.015058698132634163,-0.00012800774129573256,-0.0006736524519510567
194,0.8083333333333333,-0.3503559662048455,0.2617993877991494,5.0,0.0,0.0,-0.017470382153987885,-0.00014826442929916084,-0.0007919184281490743
195,0.8125,-0.3702402448465307,0.2617993877991494,5.0,0.0,0.0,-0.019953949376940727,-0.00016911282727960497,-0.0009149207035079598
196,0.8166666666666667,-0.38910972071217476,0.2617993877991494,5.0,0.0,0.0,-0.022481698542833328,-0.00019032163254451007,-0.001041283831000328
