f_hz,pitch_deg,airspeed,mean_Fx,mean_Fz,mean_Pin,mean_sep_ratio,csv
3.2,11.0,6.0,-0.30823698089242235,4.728232419098839,22.112995646567335,0.10463902801965472,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch11p000_U6p000/windtunnel_v50.csv
3.2,11.0,7.0,-0.4803957163136545,6.462166802992653,25.386236359966077,0.06972075522525356,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch11p000_U7p000/windtunnel_v50.csv
3.2,11.0,8.0,-0.7341192680059123,8.592743378225908,28.59430149110474,0.04567706489951072,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch11p000_U8p000/windtunnel_v50.csv
3.2,12.0,5.0,-0.31378053663500693,3.6289846033542275,18.972350752677176,0.1609329240632851,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch12p000_U5p000/windtunnel_v50.csv
3.2,12.0,6.0,-0.4599147625811918,5.135473149927776,21.927722247072424,0.11153092345107146,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch12p000_U6p000/windtunnel_v50.csv
3.2,12.0,7.0,-0.6727029577924211,7.027401011040534,25.121571056218134,0.07559072967528295,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch12p000_U7p000/windtunnel_v50.csv
3.2,12.0,8.0,-0.97628877549928,9.335456300130222,28.19345199924919,0.0515859594903031,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch12p000_U8p000/windtunnel_v50.csv
3.2,13.0,5.0,-0.42871534351710544,3.9159551355560076,18.903738026952432,0.16551965828168352,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch13p000_U5p000/windtunnel_v50.csv
3.2,13.0,6.0,-0.6179939080379705,5.540993010481361,21.773804963257227,0.11740034633089598,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch13p000_U6p000/windtunnel_v50.csv
3.2,13.0,7.0,-0.8816749112435572,7.5787666171151455,24.83303913673181,0.0822506620297607,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch13p000_U7p000/windtunnel_v50.csv
3.2,13.0,8.0,-1.2396645902467434,10.052475503348353,27.747969356857457,0.058606664781990454,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch13p000_U8p000/windtunnel_v50.csv
3.2,14.0,5.0,-0.5552846743318882,4.192370014673486,18.81361082202459,0.17207188759070063,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch14p000_U5p000/windtunnel_v50.csv
3.2,14.0,6.0,-0.7881766138812196,5.936933163903452,21.608056449379937,0.12396580278584213,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch14p000_U6p000/windtunnel_v50.csv
3.2,14.0,7.0,-1.1077912555451437,8.111357231330835,24.510196238880596,0.09010397329246468,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch14p000_U7p000/windtunnel_v50.csv
3.2,14.0,8.0,-1.5189495843004952,10.756130237357851,27.309346314822964,0.06576132966887921,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch14p000_U8p000/windtunnel_v50.csv
3.2,15.0,5.0,-0.689416337186677,4.466698077013463,18.725023020222185,0.17859134535119991,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch15p000_U5p000/windtunnel_v50.csv
3.2,15.0,6.0,-0.9703135161829778,6.315125188002815,21.425630001596197,0.1317899933943742,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch15p000_U6p000/windtunnel_v50.csv
