progress_s,x_ref,y_ref,z_ref
0.0,0.0,0.0,10.0
0.9979647019863559,0.9979647019863559,0.0,10.0
1.9959294039727118,1.9959294039727118,0.0,10.0
2.9938941059590674,2.9938941059590674,0.0,10.0
3.9918588079454236,3.9918588079454236,0.0,10.0
4.98982350993178,4.98982350993178,0.0,10.0
5.987788211918135,5.987788211918135,0.0,10.0
6.985752913904491,6.985752913904491,0.0,10.0
7.983717615890847,7.983717615890847,0.0,10.0
8.981682317877203,8.981682317877203,0.0,10.0
9.97964701986356,9.97964701986356,0.0,10.0
10.977611721849915,10.977611721849915,0.0,10.0
11.97557642383627,11.97557642383627,0.0,10.0
12.973541125822626,12.973541125822626,0.0,10.0
13.971505827808983,13.971505827808983,0.0,10.0
14.96947052979534,14.96947052979534,0.0,10.0
15.967435231781694,15.967435231781694,0.0,10.0
16.96539993376805,16.96539993376805,0.0,10.0
17.963364635754406,17.963364635754406,0.0,10.0
18.961329337740764,18.961329337740764,0.0,10.0
19.95929403972712,19.95929403972712,0.0,10.0
20.957258741713474,20.957258741713474,0.0,10.0
21.95522344369983,21.95522344369983,0.0,10.0
22.953188145686187,22.953188145686187,0.0,10.0
23.95115284767254,23.95115284767254,0.0,10.0
24.949117549658897,24.949117549658897,0.0,10.0
25.947082251645252,25.946728333231516,0.02241992975483953,10.0
26.945046953631607,26.9419823546932,0.09450566968857643,10.0
27.943011655617966,27.932402165877534,0.21614250108041233,10.0
28.94097635760432,28.91552229761145,0.38702763126130435,10.0
29.93894105959068,29.88889545194025,0.6067356729198892,10.0
30.93690576157703,30.850098594228736,0.8747197030264928,10.0
31.93487046356339,31.79673898486328,1.1903126242980946,10.0
32.93283516554975,32.72646013553988,1.5527288258151053,10.0
33.9307998675361,33.63694767531136,1.961066138656264,10.0
34.92876456952246,34.52593511179093,2.4143080816833127,10.0
35.92672927150881,35.391209473170946,2.9113263918851082,10.0
36.92469397349517,36.23061681701193,3.4508838329822282,10.0
37.92265867548153,37.04206759208872,4.0316372753006835,10.0
38.92062337746788,37.8235418399465,4.652141039247805,10.0
39.91858807945424,38.573094223218376,5.310850494067541,10.0
40.916552781440586,39.28885886818726,6.006125902916439,10.0
41.91451748342695,39.969054009537686,6.736236504689035,10.0
42.9124821854133,40.61198642573496,7.4993648224313265,10.0
43.91044688739966,41.21605565399089,8.293611187617678,10.0
44.90841158938601,41.77975797432347,9.116998469028506,10.0
45.906376291372375,42.30169015279304,9.967476994457263,10.0
46.90434099335872,42.78055293459682,10.84292965299488,10.0
47.90230569534508,43.21515427832638,11.74117716519066,10.0
48.90027039733144,43.60441232333694,12.659983507970255,10.0
49.898235099317795,43.947358082841774,13.597061480806614,10.0
50.89619980130416,44.24313785602783,14.550078399287854,10.0
51.894164503290504,44.49101535318785,15.516661901908869,10.0
52.89212920527686,44.6903735285792,16.49440585563197,10.0
53.890093907263214,44.8407161164464,17.48087634551539,10.0
54.888058609249576,44.941668866384134,18.473617733499935,10.0
55.88602331123593,44.99298047496519,19.470158771271223,10.0
56.88398801322228,44.9945232113145,20.468018751980935,10.0
57.88195271520864,44.94629323507178,21.4647136855133,10.0
58.879917417194996,44.84841060595139,22.4577624819246,10.0
59.87788211918136,44.70111898487568,23.44469312766337,10.0
60.87584682116771,44.50478502742553,24.423048839196454,10.0
61.87381152315406,44.25989747111836,25.3903941787228,10.0
62.87177622514042,43.96706591878534,26.34432111675092,10.0
63.86974092712678,43.62701932107652,27.282455026448304,10.0
64.86770562911313,43.24060416187133,28.202460594841167,10.0
65.8656703310995,42.80878235111168,29.102047636149408,10.0
66.86363503308584,42.33262883030284,29.978976792785666,10.0
67.8615997350722,41.83365923208463,30.84324693272854,10.0
68.85956443705855,41.334676881091454,31.707509716728882,10.0
69.85752913904491,40.83569453009827,32.57177250072924,10.0
70.85549384103128,40.33671217910509,33.4360352847296,10.0
71.85345854301762,39.83772982811192,34.30029806872994,10.0
72.85142324500397,39.338747477118744,35.16456085273028,10.0
73.84938794699033,38.83976512612556,36.028823636730635,10.0
74.8473526489767,38.34078277513238,36.893086420730995,10.0
75.84531735096306,37.8418004241392,37.757349204731355,10.0
76.8432820529494,37.34281807314603,38.62161198873169,10.0
77.84124675493575,36.84383572215285,39.48587477273204,10.0
78.83921145692211,36.34485337115967,40.35013755673239,10.0
79.83717615890848,35.84587102016649,41.21440034073275,10.0
80.83514086089482,35.34688866917332,42.0786631247331,10.0
81.83310556288117,34.84790631818015,42.94292590873344,10.0
82.83107026486753,34.34892396718696,43.807188692733796,10.0
83.8290349668539,33.84994161619379,44.67145147673415,10.0
84.82699966884026,33.3509592652006,45.53571426073451,10.0
85.8249643708266,32.85197691420743,46.399977044734854,10.0
86.82292907281295,32.35299456321425,47.2642398287352,10.0
87.82089377479932,31.85401221222108,48.12850261273555,10.0
88.81885847678568,31.355029861227898,48.992765396735905,10.0
89.81682317877203,30.856047510234724,49.85702818073625,10.0
90.81478788075839,30.357065159241543,50.72129096473661,10.0
91.81275258274475,29.858082808248362,51.58555374873696,10.0
92.8107172847311,29.359100457255188,52.44981653273731,10.0
93.80868198671745,28.860118106262014,53.31407931673765,10.0
94.80664668870381,28.361135755268833,54.17834210073801,10.0
95.80461139069016,27.86215340427566,55.04260488473835,10.0
96.80257609267653,27.36317105328247,55.90686766873872,10.0
97.80054079466288,26.864188702289297,56.771130452739065,10.0
98.79850549664923,26.365206351296123,57.635393236739404,10.0
99.79647019863559,25.866224000302942,58.499656020739764,10.0
100.79443490062194,25.36724164930977,59.36391880474011,10.0
101.79239960260831,24.86825929831658,60.228181588740476,10.0
102.79036430459466,24.369276947323407,61.09244437274082,10.0
103.78832900658101,23.870294596330233,61.95670715674116,10.0
104.78629370856737,23.37131224533705,62.82096994074152,10.0
105.78425841055372,22.872329894343878,63.685232724741866,10.0
106.78222311254008,22.373347543350697,64.54949550874223,10.0
107.78018781452643,21.874365192357526,65.41375829274257,10.0
108.77815251651278,21.375382841364353,66.2780210767429,10.0
109.77611721849915,20.876400490371164,67.14228386074328,10.0
110.7740819204855,20.37741813937799,68.00654664474362,10.0
111.77204662247186,19.87843578838481,68.87080942874398,10.0
112.77001132445821,19.379453437391636,69.73507221274433,10.0
113.76797602644456,18.88047108639846,70.59933499674466,10.0
114.76594072843093,18.381488735405274,71.46359778074503,10.0
115.76390543041728,17.8825063844121,72.32786056474538,10.0
116.76187013240364,17.38352403341892,73.19212334874574,10.0
117.75983483438999,16.884541682425745,74.05638613274608,10.0
