step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.0,11.505768934507259,-0.0,0.0,11.505768934507259,-0.0,5.0,-5.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.5,3.5,3.5,11.505769729614258,11.505765914916992,11.505769729614258,11.505769729614258,0.03309906646609306,0.03389044106006622,5.305537223815918,5.583171367645264,0.15271630883216858,0.15271630883216858,0.0,0.0,nan,nan,17.18041229248047,17.18041229248047,34.36082458496094,0.0,-2.7004995346069336,0.6422891020774841,0.0,0.0,0.0,0.6422891020774841,0.0,-2.7004995346069336,0.0,0.0,0.0,1.3167232275009155,0.23361736536026,-2.432466983795166,0.0,0.0,0.0,0.0,-2.7004995346069336,0.6422891020774841,0.0,0.0,0.0,0.6422891020774841,0.0,-2.7004995346069336,-0.0,-0.0,-0.0,1.3167232275009155,-0.23361678421497345,-2.432467222213745,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,0.0,0.05600005388259888,0.6000000238418579,-5.960464477539063e-08,-0.055999934673309326,0.6000000238418579,2.633446455001831,5.811452865600586e-07,-4.864933967590332,0.0,0.0,0.0,-2.682209014892578e-07,-3.62465868875006e-07,-1.4156103134155273e-07,33.57170867919922,33.57170867919922,53.79107666015625,53.79107666015625,0.11794667690992355,0.11794667690992355,0.3599705994129181,0.3599705994129181,0.5220827460289001,0.5220827460289001,0.0,0.0,-2.2150912284851074,-2.2150912284851074,-0.48540830612182617,-0.48540830612182617,0.7225131988525391,0.7225131988525391,0.0,0.0,-0.08022409677505493,-0.08022409677505493,0.6422891020774841,0.6422891020774841,0.6015899181365967,0.6015899181365967,-0.3672318458557129,-0.3672318458557129,-0.1054324358701706,-0.1054324358701706,-81.8982162475586,-81.8982162475586,-53.73371887207031,-53.73371887207031,-38.73371887207031,-38.73371887207031,23.75,23.75,0.0,0.0,180.0
1,0.004166666666666667,0.047873646884692124,11.457501400517794,-23.152203843478407,0.047873646884692124,11.457501400517794,-23.152203843478407,5.0,-5.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.5,3.5,3.5,11.457500457763672,11.457497596740723,11.457501411437988,11.457501411437988,0.07956480234861374,0.08041155338287354,4.8092803955078125,5.104852676391602,0.1520756483078003,0.1520756483078003,0.0,0.0,nan,nan,16.658714294433594,16.658714294433594,33.31742858886719,0.0,-2.625983953475952,0.6640794277191162,0.0,0.0,0.0,0.6640794277191162,0.0,-2.625983953475952,0.0,0.0,0.0,1.320595145225525,0.10171404480934143,-2.3627264499664307,0.0,0.0,0.0,0.0,-2.625983953475952,0.6640794277191162,0.0,0.0,0.0,0.6640794277191162,0.0,-2.625983953475952,-0.0,-0.0,-0.0,1.3205952644348145,-0.10171349346637726,-2.3627264499664307,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-9.685754776000977e-08,0.05600002408027649,0.6000000238418579,-7.450580596923828e-08,-0.055999964475631714,0.5999999642372131,2.641190528869629,5.513429641723633e-07,-4.725452899932861,0.0,0.0,0.0,-1.4901161193847656e-07,-6.94842583470745e-07,-7.450580596923828e-08,33.543251037597656,33.543251037597656,53.750762939453125,53.750762939453125,0.11794667690992355,0.11794667690992355,0.3599705994129181,0.3599705994129181,0.5220827460289001,0.5220827460289001,0.0,0.0,-2.3703010082244873,-2.3703010082244873,-0.25568264722824097,-0.25568264722824097,0.7441983819007874,0.7441983819007874,0.0,0.0,-0.08011902123689651,-0.08011902123689651,0.6640794277191162,0.6640794277191162,0.6015899181365967,0.6015899181365967,-0.3758477568626404,-0.3758477568626404,-0.10143861174583435,-0.10143861174583435,-81.59169006347656,-81.59169006347656,-53.614505767822266,-53.614505767822266,-38.58633804321289,-38.58633804321289,23.713293075561523,23.713293075561523,0.0,0.0,180.0
2,0.008333333333333333,0.09534562693749156,11.313103770151155,-46.11015734309765,0.09534562693749156,11.313103770151155,-46.11015734309765,5.0,-5.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.5,3.5,3.5,11.313104629516602,11.31309986114502,11.313103675842285,11.313103675842285,0.12534339725971222,0.12623858451843262,4.269532203674316,4.580504417419434,0.1501590609550476,0.1501590609550476,0.0,0.0,nan,nan,15.742318153381348,15.742318153381348,31.484636306762695,0.0,-2.497990608215332,0.6682811975479126,0.0,0.0,0.0,0.6682811975479126,0.0,-2.497990608215332,0.0,0.0,0.0,1.2920122146606445,-0.02180251106619835,-2.2398183345794678,0.0,0.0,0.0,0.0,-2.497990608215332,0.6682811975479126,0.0,0.0,0.0,0.6682811975479126,0.0,-2.497990608215332,-0.0,-0.0,-0.0,1.292012095451355,0.02180304005742073,-2.2398183345794678,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,5.960464477539063e-08,0.056000083684921265,0.6000000238418579,-5.960464477539063e-08,-0.0559999942779541,0.5999999642372131,2.584024429321289,5.289912223815918e-07,-4.4796366691589355,0.0,0.0,0.0,-2.086162567138672e-07,-2.772652862859104e-07,-1.1920928955078125e-07,33.434837341308594,33.43483352661133,53.60560607910156,53.60560607910156,0.11794667690992355,0.11794667690992355,0.3599705994129181,0.3599705994129181,0.5220827460289001,0.5220827460289001,0.0,0.0,-2.474712610244751,-2.474712610244751,-0.023277953267097473,-0.023277953267097473,0.7480897903442383,0.7480897903442383,0.0,0.0,-0.0798085555434227,-0.0798085555434227,0.6682811975479126,0.6682811975479126,0.6015899181365967,0.6015899181365967,-0.38230645656585693,-0.38230645656585693,-0.09539338946342468,-0.09539338946342468,-80.61770629882812,-80.61770629882812,-53.108394622802734,-53.108394622802734,-38.05229187011719,-38.05229187011719,23.60348129272461,23.60348129272461,0.0,0.0,180.0
3,0.0125,0.14201764336940687,11.073787560442213,-68.68123994352081,0.14201764336940687,11.073787560442213,-68.68123994352081,5.0,-5.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.5,3.5,3.5,11.073786735534668,11.073785781860352,11.073787689208984,11.073787689208984,0.17005059123039246,0.1709868162870407,3.690796136856079,4.014492034912109,0.1469826102256775,0.1469826102256775,0.0,0.0,nan,nan,14.462093353271484,14.462093353271484,28.92418670654297,0.0,-2.3172240257263184,0.6546571850776672,0.0,0.0,0.0,0.6546571850776672,0.0,-2.3172240257263184,0.0,0.0,0.0,1.2311711311340332,-0.12830908596515656,-2.0653953552246094,0.0,0.0,0.0,0.0,-2.3172240257263184,0.6546571850776672,0.0,0.0,0.0,0.6546571850776672,0.0,-2.3172240257263184,-0.0,-0.0,-0.0,1.2311712503433228,0.12830959260463715,-2.0653953552246094,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-2.9802322387695312e-08,0.05600002408027649,0.5999999642372131,-7.450580596923828e-09,-0.055999934673309326,0.6000000238418579,2.4623422622680664,5.066394805908203e-07,-4.130790710449219,0.0,0.0,0.0,-1.862645149230957e-07,-3.3498622542538214e-07,-1.043081283569336e-07,33.24294662475586,33.242950439453125,53.347984313964844,53.347984313964844,0.11794667690992355,0.11794667690992355,0.37411409616470337,0.37411409616470337,0.5079392194747925,0.5079392194747925,0.0,0.0,-2.527574062347412,-2.527574062347412,0.2103498876094818,0.2103498876094818,0.7339638471603394,0.7339638471603394,0.0,0.0,-0.0793066918849945,-0.0793066918849945,0.6546571850776672,0.6546571850776672,0.6015899181365967,0.6015899181365967,-0.38655418157577515,-0.38655418157577515,-0.0873478502035141,-0.0873478502035141,-78.98249053955078,-78.98249053955078,-52.218624114990234,-52.218624114990234,-37.13505935668945,-37.13505935668945,23.421483993530273,23.421483993530273,0.0,0.0,180.0
4,0.016666666666666666,0.1874981112021011,10.741560669055541,-90.67607699229374,0.1874981112021011,10.741560669055541,-90.67607699229374,5.0,-5.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.5,3.5,3.5,10.741558074951172,10.741559028625488,10.741560935974121,10.741560935974121,0.2133115828037262,0.21428118646144867,3.0779809951782227,3.411623477935791,0.14257295429706573,0.14257295429706573,0.0,0.0,nan,nan,12.867154121398926,12.867154121398926,25.73430824279785,0.0,-2.0857009887695312,0.6240078806877136,0.0,0.0,0.0,0.6240078806877136,0.0,-2.0857009887695312,0.0,0.0,0.0,1.1398192644119263,-0.21005035936832428,-1.842885136604309,0.0,0.0,0.0,0.0,-2.0857009887695312,0.6240078806877136,0.0,0.0,0.0,0.6240078806877136,0.0,-2.0857009887695312,-0.0,-0.0,-0.0,1.1398192644119263,0.2100508213043213,-1.8428850173950195,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-8.940696716308594e-08,0.05600005388259888,0.5999999642372131,-2.2351741790771484e-08,-0.0559999942779541,0.6000000238418579,2.2796385288238525,4.6193599700927734e-07,-3.685770034790039,0.0,0.0,0.0,-1.2665987014770508e-07,-4.3866373289347393e-07,-5.960464477539063e-08,32.96152877807617,32.96153259277344,52.96461486816406,52.96461486816406,0.11794667690992355,0.11794667690992355,0.37411409616470337,0.37411409616470337,0.5079392194747925,0.5079392194747925,0.0,0.0,-2.5293593406677246,-2.5293593406677246,0.4436582326889038,0.4436582326889038,0.702643871307373,0.702643871307373,0.0,0.0,-0.07863594591617584,-0.07863594591617584,0.6240078806877136,0.6240078806877136,0.6015899181365967,0.6015899181365967,-0.3885500729084015,-0.3885500729084015,-0.07736437767744064,-0.07736437767744064,-76.69666290283203,-76.69666290283203,-50.95094299316406,-50.95094299316406,-35.84061813354492,-35.84061813354492,23.1688289642334,23.1688289642334,0.0,0.0,180.0
5,0.020833333333333332,0.23140544272258146,10.319210527733164,-111.91012862061024,0.23140544272258146,10.319210527733164,-111.91012862061024,5.0,-5.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.5,3.5,3.5,10.319206237792969,10.319206237792969,10.319209098815918,10.319209098815918,0.25476446747779846,0.25575944781303406,2.4363832473754883,2.7771153450012207,0.13696709275245667,0.13696709275245667,0.0,0.0,nan,nan,11.022972106933594,11.022972106933594,22.045944213867188,0.0,-1.8066998720169067,0.5780983567237854,0.0,0.0,0.0,0.5780983567237854,0.0,-1.8066998720169067,0.0,0.0,0.0,1.0211150646209717,-0.26067501306533813,-1.5772554874420166,0.0,0.0,0.0,0.0,-1.8066998720169067,0.5780983567237854,0.0,0.0,0.0,0.5780983567237854,0.0,-1.8066998720169067,-0.0,-0.0,-0.0,1.0211150646209717,0.2606754004955292,-1.577255368232727,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-9.685754776000977e-08,0.0559999942779541,0.5999999642372131,-3.725290298461914e-08,-0.055999964475631714,0.6000000238418579,2.0422301292419434,3.8743019104003906e-07,-3.154510974884033,0.0,0.0,0.0,-6.705522537231445e-08,-4.134072355554963e-07,-1.4901161193847656e-08,32.58206558227539,32.582069396972656,52.43600845336914,52.43600845336914,0.11794667690992355,0.11794667690992355,0.3882598280906677,0.3882598280906677,0.4937935173511505,0.4937935173511505,0.0,0.0,-2.481698989868164,-2.481698989868164,0.6749988794326782,0.6749988794326782,0.6559244394302368,0.6559244394302368,0.0,0.0,-0.0778261199593544,-0.0778261199593544,0.5780983567237854,0.5780983567237854,0.6015899181365967,0.6015899181365967,-0.38826724886894226,-0.38826724886894226,-0.06551650911569595,-0.06551650911569595,-73.77542114257812,-73.77542114257812,-49.313751220703125,-49.313751220703125,-34.177589416503906,-34.177589416503906,22.847637176513672,22.847637176513672,0.0,0.0,180.0
6,0.025,0.2733712490593844,9.810280715338477,-132.20523805954198,0.2733712490593844,9.810280715338477,-132.20523805954198,5.0,-5.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.5,3.5,3.5,9.810279846191406,9.81027889251709,9.810280799865723,9.810280799865723,0.2940628230571747,0.2950749397277832,1.7716212272644043,2.1165335178375244,0.13021205365657806,0.13021205365657806,0.0,0.0,nan,nan,9.008468627929688,9.008468627929688,18.016937255859375,0.0,-1.4846463203430176,0.5195231437683105,0.0,0.0,0.0,0.5195231437683105,0.0,-1.4846463203430176,0.0,0.0,0.0,0.8793936967849731,-0.2756545841693878,-1.2746608257293701,0.0,0.0,0.0,0.0,-1.4846463203430176,0.5195231437683105,0.0,0.0,0.0,0.5195231437683105,0.0,-1.4846463203430176,-0.0,-0.0,-0.0,0.8793936967849731,0.2756548225879669,-1.2746608257293701,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-4.470348358154297e-08,0.05600002408027649,0.6000000238418579,-5.21540641784668e-08,-0.055999934673309326,0.6000000238418579,1.7587873935699463,2.384185791015625e-07,-2.5493216514587402,0.0,0.0,0.0,-1.1920928955078125e-07,-2.3742407506688323e-07,-7.82310962677002e-08,32.09368133544922,32.09368133544922,51.73568344116211,51.73568344116211,0.11794667690992355,0.11794667690992355,0.4165618121623993,0.4165618121623993,0.46549156308174133,0.46549156308174133,0.0,0.0,-2.3872551918029785,-2.3872551918029785,0.9026088714599609,0.9026088714599609,0.5964360237121582,0.5964360237121582,0.0,0.0,-0.07691294699907303,-0.07691294699907303,0.5195231437683105,0.5195231437683105,0.6015899181365967,0.6015899181365967,-0.3856935203075409,-0.3856935203075409,-0.05188916623592377,-0.05188916623592377,-70.23867797851562,-70.23867797851562,-47.31816482543945,-47.31816482543945,-32.157310485839844,-32.157310485839844,22.460601806640625,22.460601806640625,0.0,0.0,180.0
7,0.029166666666666667,0.31304343101856874,9.219041226716303,-151.39112640113598,0.31304343101856874,9.219041226716303,-151.39112640113598,5.0,-5.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.5,3.5,3.5,9.219038009643555,9.219038009643555,9.21904182434082,9.21904182434082,0.330878883600235,0.3318997919559479,1.0895817279815674,1.4357261657714844,0.12236452847719193,0.12236452847719193,0.0,0.0,nan,nan,6.912108421325684,6.912108421325684,13.824216842651367,0.0,-1.1249185800552368,0.45151978731155396,0.0,0.0,0.0,0.45151978731155396,0.0,-1.1249185800552368,0.0,0.0,0.0,0.7198529839515686,-0.25254014134407043,-0.9419910311698914,0.0,0.0,0.0,0.0,-1.1249185800552368,0.45151978731155396,0.0,0.0,0.0,0.45151978731155396,0.0,-1.1249185800552368,-0.0,-0.0,-0.0,0.7198529839515686,0.25254034996032715,-0.9419910311698914,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.7136335372924805e-07,0.0559999942779541,0.5999999642372131,-1.4901161193847656e-07,-0.055999934673309326,0.5999999642372131,1.4397059679031372,2.086162567138672e-07,-1.8839820623397827,0.0,0.0,0.0,-5.587935447692871e-08,-4.718240802503715e-07,-3.3527612686157227e-08,31.483198165893555,31.483196258544922,50.82893753051758,50.82893371582031,0.11794667690992355,0.11794667690992355,0.43071863055229187,0.43071863055229187,0.45133471488952637,0.45133471488952637,0.0,0.0,-2.2495312690734863,-2.2495312690734863,1.124612808227539,1.124612808227539,0.5274561047554016,0.5274561047554016,0.0,0.0,-0.07593629509210587,-0.07593629509210587,0.45151978731155396,0.45151978731155396,0.6015899181365967,0.6015899181365967,-0.3808327913284302,-0.3808327913284302,-0.0365789420902729,-0.0365789420902729,-66.11125183105469,-66.11125183105469,-44.97811508178711,-44.97811508178711,-29.793916702270508,-29.793916702270508,22.010971069335938,22.010971069335938,0.0,0.0,180.0
8,0.03333333333333333,0.3500891332469546,8.550452646817622,-169.3068212631174,0.3500891332469546,8.550452646817622,-169.3068212631174,5.0,-5.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.5,3.5,3.5,8.550451278686523,8.550450325012207,8.55045223236084,8.55045223236084,0.3649059236049652,0.3659271001815796,0.396323025226593,0.740760862827301,0.11349033564329147,0.11349033564329147,0.0,0.0,nan,nan,4.827292442321777,4.827292442321777,9.654584884643555,0.0,-0.7335972189903259,0.3777496814727783,0.0,0.0,0.0,0.3777496814727783,0.0,-0.7335972189903259,0.0,0.0,0.0,0.5481948852539062,-0.1910535842180252,-0.5863792300224304,0.0,0.0,0.0,0.0,-0.7335972189903259,0.3777496814727783,0.0,0.0,0.0,0.3777496814727783,0.0,-0.7335972189903259,-0.0,-0.0,-0.0,0.5481948256492615,0.19105367362499237,-0.5863792300224304,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-7.450580596923828e-08,0.05600005388259888,0.5999999642372131,-7.450580596923828e-08,-0.055999934673309326,0.6000000238418579,1.0963897705078125,8.940696716308594e-08,-1.1727584600448608,0.0,0.0,0.0,-8.195638656616211e-08,-1.7247866423986125e-07,-6.891787052154541e-08,30.735319137573242,30.73531723022461,49.671470642089844,49.671470642089844,0.11794667690992355,0.11794667690992355,0.45904016494750977,0.45904016494750977,0.42301318049430847,0.42301318049430847,0.0,0.0,-2.0726308822631836,-2.0726308822631836,1.339033603668213,1.339033603668213,0.4526880979537964,0.4526880979537964,0.0,0.0,-0.07493838667869568,-0.07493838667869568,0.3777496814727783,0.3777496814727783,0.6015899181365967,0.6015899181365967,-0.3737061321735382,-0.3737061321735382,-0.019694576039910316,-0.019694576039910316,-61.423004150390625,-61.423004150390625,-42.310462951660156,-42.310462951660156,-27.10447120666504,-27.10447120666504,21.502517700195312,21.502517700195312,0.0,0.0,180.0
9,0.0375,0.3841975369367507,7.8101245306732885,-185.80200737049364,0.3841975369367507,7.8101245306732885,-185.80200737049364,5.0,-5.0,0.0,0.0,15.0,0,0.5,0.0,0.0,3.5,3.5,3.5,7.810123920440674,7.810120582580566,7.810124397277832,7.810124397277832,0.39586058259010315,0.3968736231327057,-0.30196911096572876,0.0378338098526001,0.10366394370794296,0.10366394370794296,0.0,0.0,nan,nan,2.8472909927368164,2.8472909927368164,5.694581985473633,0.0,-0.3171551823616028,0.3020665645599365,0.0,0.0,0.0,0.3020665645599365,0.0,-0.3171551823616028,0.0,0.0,0.0,0.3702518343925476,-0.09299229085445404,-0.21470355987548828,0.0,0.0,0.0,0.0,-0.3171551823616028,0.3020665645599365,0.0,0.0,0.0,0.3020665645599365,0.0,-0.3171551823616028,-0.0,-0.0,-0.0,0.37025186419487,0.09299230575561523,-0.2147035449743271,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-2.9802322387695312e-08,0.05600002408027649,0.5999999642372131,-1.7881393432617188e-07,-0.05599990487098694,0.5999999642372131,0.7405036687850952,1.4901161193847656e-08,-0.42940711975097656,0.0,0.0,0.0,-2.60770320892334e-08,-1.0812409811933321e-07,-5.4016709327697754e-08,29.832895278930664,29.832895278930664,48.207763671875,48.207763671875,0.11794667690992355,0.11794667690992355,0.5015096664428711,0.5015096664428711,0.38054367899894714,0.38054367899894714,0.0,0.0,-1.8609745502471924,-1.8609745502471924,1.5438194274902344,1.5438194274902344,0.3760285973548889,0.3760285973548889,0.0,0.0,-0.07396206259727478,-0.07396206259727478,0.3020665645599365,0.3020665645599365,0.6015899181365967,0.6015899181365967,-0.364353209733963,-0.364353209733963,-0.0013576425844803452,-0.0013576425844803452,-56.20899963378906,-56.20899963378906,-39.335044860839844,-39.335044860839844,-24.10898208618164,-24.10898208618164,20.93950843811035,20.93950843811035,0.0,0.0,180.0
