step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R
0,0.0,0.0,14.793131487223619,-0.0,0.0,14.793131487223619,-0.0,6.9,-6.900000095367432,0.0,0.0,10.0,0,0.5,0.0,0.0,4.5,4.5,4.5,14.793131828308105,14.793126106262207,14.793131828308105,14.793131828308105,0.045323945581912994,0.046320319175720215,7.2650957107543945,7.630889892578125,0.0,0.0,0.0,0.0,nan,nan,54.750587463378906,54.750587463378906,109.50117492675781,0.0,-7.674045562744141,3.109123945236206,0.0,0.0,0.0,3.109123945236206,0.0,-7.674045562744141,0.0,0.0,0.0,4.389474391937256,0.6638736128807068,-6.9892354011535645,0.0,0.0,0.0,0.0,-7.674045562744141,3.109123945236206,0.0,0.0,0.0,3.109123945236206,0.0,-7.674045562744141,-0.0,-0.0,-0.0,4.389473915100098,-0.6638718247413635,-6.989235877990723,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-4.470348358154297e-08,0.05600002408027649,0.6000000238418579,-1.1920928955078125e-07,-0.055999934673309326,0.6000000834465027,8.778947830200195,1.7881393432617188e-06,-13.978471755981445,0.0,0.0,0.0,-5.364418029785156e-07,-1.4072580825086334e-06,-3.725290298461914e-07,37.68450927734375,37.68450927734375,59.38821029663086,59.38821029663086,0.07369963079690933,0.07369963079690933,0.33346351981163025,0.33346351981163025,0.592836856842041,0.592836856842041,0.0,0.0
1,0.004166666666666667,0.061495566349940654,14.690592259548493,-49.16188989588341,0.061495566349940654,14.690592259548493,-49.16188989588341,6.9,-6.900000095367432,0.0,0.0,10.0,0,0.5,0.0,0.0,4.5,4.5,4.5,14.690587997436523,14.690587997436523,14.690591812133789,14.690592765808105,0.10461392253637314,0.10568077117204666,6.5639872550964355,6.9509501457214355,0.0,0.0,0.0,0.0,nan,nan,51.44916534423828,51.44916534423828,102.89833068847656,0.0,-7.15291690826416,3.19819974899292,0.0,0.0,0.0,3.19819974899292,0.0,-7.15291690826416,0.0,0.0,0.0,4.391307830810547,0.17967277765274048,-6.486665725708008,0.0,0.0,0.0,0.0,-7.15291690826416,3.19819974899292,0.0,0.0,0.0,3.19819974899292,0.0,-7.15291690826416,-0.0,-0.0,-0.0,4.391307830810547,-0.1796713024377823,-6.486666202545166,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-8.195638656616211e-08,0.05600002408027649,0.6000000238418579,-5.960464477539063e-08,-0.055999964475631714,0.6000000834465027,8.782615661621094,1.475214958190918e-06,-12.973331451416016,0.0,0.0,0.0,-3.2782554626464844e-07,-1.1800015045082546e-06,-2.5331974029541016e-07,37.56930160522461,37.56930160522461,59.23966598510742,59.23966598510742,0.07369963079690933,0.07369963079690933,0.33346351981163025,0.33346351981163025,0.592836856842041,0.592836856842041,0.0,0.0
2,0.008333333333333333,0.1221386143694097,14.384396086663992,-97.64224427978584,0.1221386143694097,14.384396086663992,-97.64224427978584,6.9,-6.900000095367432,0.0,0.0,10.0,0,0.5,0.0,0.0,4.5,4.5,4.5,14.3843994140625,14.384395599365234,14.38439655303955,14.38439655303955,0.16240887343883514,0.16353179514408112,5.764705657958984,6.167335033416748,0.0,0.0,0.0,0.0,nan,nan,46.43151092529297,46.43151092529297,92.86302185058594,0.0,-6.462214469909668,3.1653237342834473,0.0,0.0,0.0,3.1653237342834473,0.0,-6.462214469909668,0.0,0.0,0.0,4.23867654800415,-0.22949615120887756,-5.8103742599487305,0.0,0.0,0.0,0.0,-6.462214469909668,3.1653237342834473,0.0,0.0,0.0,3.1653237342834473,0.0,-6.462214469909668,-0.0,-0.0,-0.0,4.23867654800415,0.22949755191802979,-5.8103742599487305,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-8.940696716308594e-08,0.05600005388259888,0.6000000238418579,1.4901161193847656e-08,-0.0559999942779541,0.6000000238418579,8.4773530960083,1.4007091522216797e-06,-11.620748519897461,0.0,0.0,0.0,-3.2782554626464844e-07,-9.381961945109651e-07,-2.384185791015625e-07,37.178565979003906,37.178565979003906,58.7625617980957,58.7625617980957,0.07369963079690933,0.07369963079690933,0.33346351981163025,0.33346351981163025,0.592836856842041,0.592836856842041,0.0,0.0
3,0.0125,0.18108844426294432,13.878787792475292,-144.7689758252024,0.18108844426294432,13.878787792475292,-144.7689758252024,6.9,-6.900000095367432,0.0,0.0,10.0,0,0.5,0.0,0.0,4.5,4.5,4.5,13.8787841796875,13.878788948059082,13.878787994384766,13.878787994384766,0.21790823340415955,0.21907192468643188,4.878438949584961,5.291005611419678,0.0,0.0,0.0,0.0,nan,nan,40.006038665771484,40.006038665771484,80.01207733154297,0.0,-5.61234188079834,3.013227939605713,0.0,0.0,0.0,3.013227939605713,0.0,-5.61234188079834,0.0,0.0,0.0,3.9376749992370605,-0.5294158458709717,-4.97919225692749,0.0,0.0,0.0,0.0,-5.61234188079834,3.013227939605713,0.0,0.0,0.0,3.013227939605713,0.0,-5.61234188079834,-0.0,-0.0,-0.0,3.9376749992370605,0.529417097568512,-4.979192733764648,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.1175870895385742e-07,0.05600002408027649,0.6000000238418579,6.705522537231445e-08,-0.055999964475631714,0.6000000834465027,7.875349998474121,1.2516975402832031e-06,-9.958385467529297,0.0,0.0,0.0,-2.980232238769531e-07,-4.572909233502287e-07,-1.4901161193847656e-07,36.506099700927734,36.506099700927734,57.9366569519043,57.9366569519043,0.07369963079690933,0.07369963079690933,0.347627729177475,0.347627729177475,0.5786726474761963,0.5786726474761963,0.0,0.0
4,0.016666666666666666,0.23752782946373086,13.180776668292618,-189.8887625955717,0.23752782946373086,13.180776668292618,-189.8887625955717,6.9,-6.900000095367432,0.0,0.0,10.0,0,0.5,0.0,0.0,4.5,4.5,4.5,13.180776596069336,13.180774688720703,13.180777549743652,13.180777549743652,0.2703452408313751,0.2715339660644531,3.917889356613159,4.334548473358154,0.0,0.0,0.0,0.0,nan,nan,32.593936920166016,32.593936920166016,65.18787384033203,0.0,-4.618813991546631,2.7543435096740723,0.0,0.0,0.0,2.7543435096740723,0.0,-4.618813991546631,0.0,0.0,0.0,3.505430221557617,-0.6943841576576233,-4.0186614990234375,0.0,0.0,0.0,0.0,-4.618813991546631,2.7543435096740723,0.0,0.0,0.0,2.7543435096740723,0.0,-4.618813991546631,-0.0,-0.0,-0.0,3.505429983139038,0.6943851113319397,-4.0186614990234375,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-5.960464477539063e-08,0.05600002408027649,0.6000000238418579,-6.705522537231445e-08,-0.0559999942779541,0.6000000834465027,7.010860443115234,9.5367431640625e-07,-8.037322998046875,0.0,0.0,0.0,-1.6391277313232422e-07,-7.179430667747511e-07,-1.1920928955078125e-07,35.54158401489258,35.54158020019531,56.72624588012695,56.72624206542969,0.07369963079690933,0.07369963079690933,0.3759305775165558,0.3759305775165558,0.5503698587417603,0.5503698587417603,0.0,0.0
5,0.020833333333333332,0.29067434591585584,12.300039302422396,-232.37610510252702,0.29067434591585584,12.300039302422396,-232.37610510252702,6.9,-6.900000095367432,0.0,0.0,10.0,0,0.5,0.0,0.0,4.5,4.5,4.5,12.300037384033203,12.300037384033203,12.300039291381836,12.300039291381836,0.3189972937107086,0.320194810628891,2.8970789909362793,3.3119354248046875,0.0,0.0,0.0,0.0,nan,nan,24.69601058959961,24.69601058959961,49.39202117919922,0.0,-3.501603126525879,2.4095304012298584,0.0,0.0,0.0,2.4095304012298584,0.0,-3.501603126525879,0.0,0.0,0.0,2.9683544635772705,-0.7095770835876465,-2.958451271057129,0.0,0.0,0.0,0.0,-3.501603126525879,2.4095304012298584,0.0,0.0,0.0,2.4095304012298584,0.0,-3.501603126525879,-0.0,-0.0,-0.0,2.9683544635772705,0.7095778584480286,-2.95845103263855,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.1920928955078125e-07,0.05600005388259888,0.6000000238418579,1.4901161193847656e-08,-0.055999934673309326,0.6000000238418579,5.936708927154541,7.748603820800781e-07,-5.916902542114258,0.0,0.0,0.0,-3.725290298461914e-07,-6.624459274462424e-07,-2.5331974029541016e-07,34.2706298828125,34.2706298828125,55.07763671875,55.07763671875,0.08843955397605896,0.08843955397605896,0.3894776999950409,0.3894776999950409,0.5220827460289001,0.5220827460289001,0.0,0.0
6,0.025,0.3397912188863521,11.248785432790497,-271.6419976591529,0.3397912188863521,11.248785432790497,-271.6419976591529,6.9,-6.900000095367432,0.0,0.0,10.0,0,0.5,0.0,0.0,4.5,4.5,4.5,11.24878215789795,11.248783111572266,11.248785018920898,11.248785018920898,0.3631954491138458,0.36438536643981934,1.8310356140136719,2.2382326126098633,0.0,0.0,0.0,0.0,nan,nan,16.851282119750977,16.851282119750977,33.70256423950195,0.0,-2.2841129302978516,2.0060181617736816,0.0,0.0,0.0,2.0060181617736816,0.0,-2.2841129302978516,0.0,0.0,0.0,2.359529733657837,-0.5721197724342346,-1.829365849494934,0.0,0.0,0.0,0.0,-2.2841129302978516,2.0060181617736816,0.0,0.0,0.0,2.0060181617736816,0.0,-2.2841129302978516,-0.0,-0.0,-0.0,2.359529733657837,0.5721201300621033,-1.8293657302856445,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.341104507446289e-07,0.0559999942779541,0.6000000238418579,-6.705522537231445e-08,-0.055999934673309326,0.6000000238418579,4.719059467315674,3.5762786865234375e-07,-3.658731460571289,0.0,0.0,0.0,-1.1920928955078125e-07,-6.492834927485092e-07,-1.043081283569336e-07,32.67515182495117,32.67515563964844,52.91561508178711,52.91561508178711,0.08843955397605896,0.08843955397605896,0.4319159984588623,0.4319159984588623,0.4796445071697235,0.4796445071697235,0.0,0.0
7,0.029166666666666667,0.3841975369367507,10.041588682294227,-307.1420938165303,0.3841975369367507,10.041588682294227,-307.1420938165303,6.9,-6.900000095367432,0.0,0.0,10.0,0,0.5,0.0,0.0,4.5,4.5,4.5,10.041586875915527,10.04158878326416,10.041587829589844,10.04158878326416,0.40233299136161804,0.4034990966320038,0.735508143901825,1.1293234825134277,0.0,0.0,0.0,0.0,nan,nan,9.592203140258789,9.592203140258789,19.184406280517578,0.0,-0.9918467402458191,1.5748419761657715,0.0,0.0,0.0,1.5748419761657715,0.0,-0.9918467402458191,0.0,0.0,0.0,1.7155787944793701,-0.2908168435096741,-0.6603801846504211,0.0,0.0,0.0,0.0,-0.9918467402458191,1.5748419761657715,0.0,0.0,0.0,1.5748419761657715,0.0,-0.9918467402458191,-0.0,-0.0,-0.0,1.7155787944793701,0.2908170819282532,-0.6603801250457764,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.043081283569336e-07,0.05600002408027649,0.6000000238418579,-8.940696716308594e-08,-0.055999934673309326,0.6000000238418579,3.4311575889587402,2.384185791015625e-07,-1.3207602500915527,0.0,0.0,0.0,-5.960464477539063e-08,-3.3243853181375016e-07,-1.4156103134155273e-07,30.73418426513672,30.73418426513672,50.13929748535156,50.13929748535156,0.10318942368030548,0.10318942368030548,0.4879586398601532,0.4879586398601532,0.4088520109653473,0.4088520109653473,0.0,0.0
8,0.03333333333333333,0.4232776914569725,8.695184523413463,-338.384252685421,0.4232776914569725,8.695184523413463,-338.384252685421,6.9,-6.900000095367432,0.0,0.0,10.0,0,0.5,0.0,0.0,4.5,4.5,4.5,8.695181846618652,8.695180892944336,8.695185661315918,8.695185661315918,0.4358730614185333,0.43699929118156433,-0.3734016418457031,0.0015058517456054688,0.0,0.0,0.0,0.0,nan,nan,3.4020497798919678,3.4020497798919678,6.8040995597839355,0.0,0.3491276502609253,1.1481353044509888,0.0,0.0,0.0,1.1481353044509888,0.0,0.3491276502609253,0.0,0.0,0.0,1.0734707117080688,0.11532968282699585,0.5238935351371765,0.0,0.0,0.0,0.0,0.3491276502609253,1.1481353044509888,0.0,0.0,0.0,1.1481353044509888,0.0,0.3491276502609253,-0.0,-0.0,-0.0,1.0734708309173584,-0.11532975733280182,0.523893415927887,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.4156103134155273e-07,0.0559999942779541,0.6000000238418579,-1.6391277313232422e-07,-0.055999964475631714,0.6000000238418579,2.146941661834717,-7.450580596923828e-08,1.0477869510650635,0.0,0.0,0.0,2.2351741790771484e-08,3.206804422006826e-08,-2.2351741790771484e-08,28.42574691772461,28.425743103027344,46.618709564208984,46.61870574951172,0.11794667690992355,0.11794667690992355,0.557930588722229,0.557930588722229,0.32412275671958923,0.32412275671958923,0.0,0.0
9,0.0375,0.4564899109004874,7.228238272914901,-364.9353615277835,0.4564899109004874,7.228238272914901,-364.9353615277835,6.9,-6.900000095367432,0.0,0.0,10.0,0,0.5,0.0,0.0,4.5,4.5,4.5,7.228238105773926,7.228238105773926,7.228238582611084,7.228238582611084,0.46335527300834656,0.4644261598587036,-1.4795969724655151,-1.128839135169983,0.0,0.0,0.0,0.0,nan,nan,-1.320044994354248,-1.320044994354248,-2.640089988708496,0.0,1.7137701511383057,0.7566590309143066,0.0,0.0,0.0,0.7566590309143066,0.0,1.7137701511383057,0.0,0.0,0.0,0.4676966071128845,0.619522213935852,1.7049906253814697,0.0,0.0,0.0,0.0,1.7137701511383057,0.7566590309143066,0.0,0.0,0.0,0.7566590309143066,0.0,1.7137701511383057,-0.0,-0.0,-0.0,0.4676966965198517,-0.6195226907730103,1.7049905061721802,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-9.685754776000977e-08,0.0559999942779541,0.6000000238418579,-8.195638656616211e-08,-0.055999934673309326,0.6000000238418579,0.9353933334350586,-4.76837158203125e-07,3.4099812507629395,0.0,0.0,0.0,1.1175870895385742e-07,2.4912230855989037e-07,-3.166496753692627e-08,25.730567932128906,25.730566024780273,42.1955680847168,42.1955680847168,0.14744269847869873,0.14744269847869873,0.6648513078689575,0.6648513078689575,0.18770600855350494,0.18770600855350494,0.0,0.0
