seed,imu_source,run_dir,final_progress_ratio,mean_abs_lateral_error_post_warmup_m,p95_abs_lateral_error_post_warmup_m,mean_abs_height_error_post_warmup_m,p95_abs_height_error_post_warmup_m,mean_speed_post_warmup_mps,steps_completed,completed_path,max_abs_lateral_error_m,frac_abs_lateral_gt_1p5,mean_est_pos_xy_err_m,mean_est_vel_xyz_err_mps,mean_est_yaw_err_deg,mean_sensor_att_corr_gain,mean_wind_y_est_mps
25,isaacsim,/home/zn/IsaacLab/logs/flapping_px4/path_tracking/random_seed_000025/20260415_113402,0.8743506775101769,1.413648250327673,6.91648530960083,0.6210651600802386,1.142112374305725,8.282478763144693,3600,False,7.4011311531066895,0.2388888888888889,1.24498989512523,1.6869687262950983,1.2181412142206762,0.0011393477589849161,2.0664480061001247
25,synthetic,/home/zn/IsaacLab/logs/flapping_px4/path_tracking/random_seed_000025/20260415_102236,0.879983793789447,1.2672572256776704,4.377231121063232,0.5911460482043984,1.2254785299301147,8.238834899590339,3600,False,4.992355346679688,0.28555555555555556,1.2091699858547913,1.6257002074157612,1.069570051727567,0.0011483137037996314,2.0384492983751827
30,isaacsim,/home/zn/IsaacLab/logs/flapping_px4/path_tracking/random_seed_000030/20260415_112253,0.6465346737237901,0.4743574840283987,1.3374261856079102,0.5760479023427139,1.196494221687317,8.707935391973566,3600,False,2.421882152557373,0.035277777777777776,1.3154884097766546,1.592432390788777,1.1727215457330324,0.0011974818425046056,1.8485069243527121
30,synthetic,/home/zn/IsaacLab/logs/flapping_px4/path_tracking/random_seed_000030/20260415_102931,0.613568204496395,1.0541782075792474,2.7674620151519775,0.6040341960059272,1.2825629711151123,8.45665162757591,3600,False,3.2587666511535645,0.21972222222222224,1.2567212473823586,1.6495621899712003,1.1757689509003668,0.0009689290834163922,1.8479517449697274
33,isaacsim,/home/zn/IsaacLab/logs/flapping_px4/path_tracking/random_seed_000033/20260415_113536,0.9950630682206357,1.575488775214342,4.783851623535156,0.6497038579918328,1.3488929271697998,8.224794542131702,3586,True,4.983917713165283,0.33602900167317346,1.2134954245440035,1.6497746406302762,1.7976411263909289,0.0011646773193827028,1.814324611229422
33,synthetic,/home/zn/IsaacLab/logs/flapping_px4/path_tracking/random_seed_000033/20260415_103245,0.9832993757982206,2.13567029094348,13.757133483886719,0.66322547797721,1.4408714771270752,8.854839540509957,3249,False,14.98885726928711,0.1538935056940597,1.3618712876632433,1.6105525483119008,1.1867254399192688,0.001117663466159187,1.8607389812434258
