stall,f_hz,pitch_deg,airspeed,mean_Fx,mean_Fz,mean_Pin,mean_sep_ratio,abs_Fx,csv
22.5,4.000000000000001,10.0,5.0,-0.00025257673542247895,3.415976681328512,32.55120270411502,0.1725835402327004,0.00025257673542247895,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_22p5/f4p000_pitch10p000_U5p000/windtunnel_v50.csv
27.5,3.0,11.0,6.0,0.0007868767842371088,5.37744114555745,22.155118882780528,0.024768441647440888,0.0007868767842371088,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p000_pitch11p000_U6p000/windtunnel_v50.csv
27.5,3.4000000000000004,12.0,5.0,-0.0016596642393805494,4.3590724571162704,24.004874412460318,0.08033928415438626,0.0016596642393805494,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p400_pitch12p000_U5p000/windtunnel_v50.csv
25,3.0,11.0,5.0,-0.003223670658214081,3.6503528014665343,18.149117056537015,0.0772448167399774,0.003223670658214081,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f3p000_pitch11p000_U5p000/windtunnel_v50.csv
27.5,3.0,12.0,5.0,-0.005024463947403436,4.071419515718937,18.571134611497573,0.05711101681345958,0.005024463947403436,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p000_pitch12p000_U5p000/windtunnel_v50.csv
22.5,3.2,10.0,5.0,0.0068588931276805055,3.1493556556721587,19.696446442933812,0.11238501642345551,0.0068588931276805055,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_22p5/f3p200_pitch10p000_U5p000/windtunnel_v50.csv
27.5,3.8000000000000007,12.0,5.0,0.007401169637424223,4.398102902441771,30.57019722744792,0.10321842505434221,0.007401169637424223,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p800_pitch12p000_U5p000/windtunnel_v50.csv
27.5,3.8000000000000007,10.0,8.0,0.007529667165472611,8.881677094069236,45.844226348997424,0.012540685220977314,0.007529667165472611,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p800_pitch10p000_U8p000/windtunnel_v50.csv
25,3.8000000000000007,11.0,5.0,-0.008816426720991245,3.963176695439413,30.055002610033867,0.12935868527782518,0.008816426720991245,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f3p800_pitch11p000_U5p000/windtunnel_v50.csv
22.5,4.000000000000001,10.0,6.0,-0.011116667594254722,4.739018356765861,36.85982655234524,0.11581333107383039,0.011116667594254722,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_22p5/f4p000_pitch10p000_U6p000/windtunnel_v50.csv
25,3.4000000000000004,11.0,5.0,-0.012532301763333115,3.9304810970368376,23.49666403324223,0.10406733274538586,0.012532301763333115,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f3p400_pitch11p000_U5p000/windtunnel_v50.csv
22.5,3.0,10.0,5.0,-0.012704345127392654,3.2352568927320156,17.676572952862827,0.10321447000491744,0.012704345127392654,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_22p5/f3p000_pitch10p000_U5p000/windtunnel_v50.csv
22.5,3.6000000000000005,10.0,6.0,0.01282314538186723,4.432149169340511,29.67729285210061,0.09165875993655423,0.01282314538186723,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_22p5/f3p600_pitch10p000_U6p000/windtunnel_v50.csv
27.5,3.6000000000000005,12.0,6.0,0.013102394382864058,5.633242907379763,31.090822380868286,0.04879851917841226,0.013102394382864058,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p600_pitch12p000_U6p000/windtunnel_v50.csv
27.5,3.8000000000000007,11.0,7.0,0.014989487714297502,7.481547091941734,40.62601114230888,0.02992531819143168,0.014989487714297502,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p800_pitch11p000_U7p000/windtunnel_v50.csv
27.5,4.000000000000001,12.0,6.0,0.01503250581486541,5.9605198877091725,38.53291153011836,0.06695256730549358,0.01503250581486541,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f4p000_pitch12p000_U6p000/windtunnel_v50.csv
25,3.2,11.0,5.0,0.017878530869777705,3.5592807933283708,20.15101638818957,0.08578223080567762,0.017878530869777705,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f3p200_pitch11p000_U5p000/windtunnel_v50.csv
27.5,3.6000000000000005,11.0,7.0,0.018559908406859543,7.054372209192318,35.80427627100577,0.023060105522411112,0.018559908406859543,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p600_pitch11p000_U7p000/windtunnel_v50.csv
25,3.6000000000000005,11.0,6.0,0.022086713655554372,5.029096167114624,30.43113098058669,0.06736369419134258,0.022086713655554372,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f3p600_pitch11p000_U6p000/windtunnel_v50.csv
27.5,3.2,12.0,5.0,0.02289900302960851,3.975262976389587,20.575858503393437,0.0642593258893163,0.02289900302960851,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p200_pitch12p000_U5p000/windtunnel_v50.csv
27.5,3.2,10.0,7.0,0.02473590621775261,6.454208979558094,28.24882907316181,0.011128742431313777,0.02473590621775261,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p200_pitch10p000_U7p000/windtunnel_v50.csv
27.5,3.6000000000000005,10.0,8.0,-0.02664478852934673,8.435417993161405,40.42298795634366,0.008511620988930319,0.02664478852934673,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p600_pitch10p000_U8p000/windtunnel_v50.csv
25,4.000000000000001,11.0,5.0,0.03057053734962581,3.841745373717114,33.093016068472515,0.139288726998668,0.03057053734962581,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f4p000_pitch11p000_U5p000/windtunnel_v50.csv
22.5,3.4000000000000004,10.0,5.0,-0.030590262673289768,3.508032559711754,22.95373144944926,0.1335786024045582,0.030590262673289768,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_22p5/f3p400_pitch10p000_U5p000/windtunnel_v50.csv
22.5,3.8000000000000007,10.0,5.0,-0.032523662789038454,3.533652772306464,29.499277821475623,0.16182321113571213,0.032523662789038454,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_22p5/f3p800_pitch10p000_U5p000/windtunnel_v50.csv
25,3.8000000000000007,11.0,6.0,-0.033705105176798214,5.446355833172306,34.576705776948266,0.08025390536381928,0.033705105176798214,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f3p800_pitch11p000_U6p000/windtunnel_v50.csv
25,3.4000000000000004,10.0,7.0,-0.03614097072048765,6.77788468865223,32.081992813527954,0.030147349969984586,0.03614097072048765,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f3p400_pitch10p000_U7p000/windtunnel_v50.csv
25,3.0,10.0,6.0,0.03655727582522872,4.779277414207913,21.683794850907397,0.0374403551647669,0.03655727582522872,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f3p000_pitch10p000_U6p000/windtunnel_v50.csv
22.5,3.6000000000000005,10.0,5.0,0.03828011320550035,3.1330876580841953,25.770294573025815,0.14308801876907945,0.03828011320550035,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_22p5/f3p600_pitch10p000_U5p000/windtunnel_v50.csv
27.5,3.8000000000000007,12.0,6.0,-0.038420091212060165,6.062956085735795,35.352220385675636,0.059950401093290716,0.038420091212060165,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p800_pitch12p000_U6p000/windtunnel_v50.csv
