stall,mean_sep_ratio,f_hz,pitch_deg,airspeed,mean_Fx,mean_Fz,mean_Pin,abs_Fx,csv
27.5,0.012540685220977314,3.8000000000000007,10.0,8.0,0.007529667165472611,8.881677094069236,45.844226348997424,0.007529667165472611,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p800_pitch10p000_U8p000/windtunnel_v50.csv
27.5,0.02992531819143168,3.8000000000000007,11.0,7.0,0.014989487714297502,7.481547091941734,40.62601114230888,0.014989487714297502,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p800_pitch11p000_U7p000/windtunnel_v50.csv
27.5,0.023060105522411112,3.6000000000000005,11.0,7.0,0.018559908406859543,7.054372209192318,35.80427627100577,0.018559908406859543,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p600_pitch11p000_U7p000/windtunnel_v50.csv
27.5,0.011128742431313777,3.2,10.0,7.0,0.02473590621775261,6.454208979558094,28.24882907316181,0.02473590621775261,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p200_pitch10p000_U7p000/windtunnel_v50.csv
27.5,0.008511620988930319,3.6000000000000005,10.0,8.0,-0.02664478852934673,8.435417993161405,40.42298795634366,0.02664478852934673,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p600_pitch10p000_U8p000/windtunnel_v50.csv
25,0.030147349969984586,3.4000000000000004,10.0,7.0,-0.03614097072048765,6.77788468865223,32.081992813527954,0.03614097072048765,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f3p400_pitch10p000_U7p000/windtunnel_v50.csv
27.5,0.059950401093290716,3.8000000000000007,12.0,6.0,-0.038420091212060165,6.062956085735795,35.352220385675636,0.038420091212060165,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p800_pitch12p000_U6p000/windtunnel_v50.csv
25,0.028100209106984738,4.000000000000001,10.0,8.0,-0.04426689100663657,8.576442030625945,48.52210934923689,0.04426689100663657,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f4p000_pitch10p000_U8p000/windtunnel_v50.csv
27.5,0.008050825249497035,3.0,10.0,7.0,-0.05068931124700008,6.69130442862346,25.721062066721785,0.05068931124700008,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p000_pitch10p000_U7p000/windtunnel_v50.csv
25,0.04394908091950179,3.8000000000000007,10.0,7.0,0.052276434423499225,6.66198045640624,39.727395697463805,0.052276434423499225,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f3p800_pitch10p000_U7p000/windtunnel_v50.csv
25,0.022044980316422894,3.2,10.0,7.0,-0.06649413058584824,6.304299037273587,27.57933549150545,0.06649413058584824,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f3p200_pitch10p000_U7p000/windtunnel_v50.csv
25,0.034913472982662064,3.6000000000000005,10.0,7.0,0.07178327694753016,6.243323203012939,35.13955169088656,0.07178327694753016,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f3p600_pitch10p000_U7p000/windtunnel_v50.csv
22.5,0.07491975210000432,4.000000000000001,10.0,7.0,-0.07256585325353529,6.36801054532444,41.8062591288931,0.07256585325353529,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_22p5/f4p000_pitch10p000_U7p000/windtunnel_v50.csv
27.5,0.01681931566270573,3.4000000000000004,10.0,7.0,0.07737983713638116,6.9544486922322735,32.89103856135261,0.07737983713638116,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p400_pitch10p000_U7p000/windtunnel_v50.csv
25,0.05404042061671051,4.000000000000001,11.0,7.0,-0.0863549255907904,7.182634150061081,42.938944708081465,0.0863549255907904,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_25/f4p000_pitch11p000_U7p000/windtunnel_v50.csv
27.5,0.04358199896414361,3.4000000000000004,12.0,6.0,-0.09037038879294049,6.090373031717249,28.284291693322423,0.09037038879294049,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f3p400_pitch12p000_U6p000/windtunnel_v50.csv
27.5,0.034451096262277256,4.000000000000001,11.0,7.0,0.09068971142826145,7.386825291747083,44.12204800269299,0.09068971142826145,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_27p5/f4p000_pitch11p000_U7p000/windtunnel_v50.csv
