modulation_profile,modulation_ff_amp,modulation_ff_shift_deg,amp,delta,f_eff_hz,f_down_hz,f_up_hz,mean_thrust_N,mean_lift_N,mean_pin_W,mean_eta,sep_ratio,peak_power_W,peak_normal_N,mean_Nc_N,mean_Na_N,mean_Fx_suction_N,mean_Fx_camber_N,mean_Fx_friction_N,mean_Fx_total_N,mean_k,mean_alpha_prime,mean_alpha_le,share_Na,share_Fx_suction,share_Fx_camber,share_Fx_friction,csv
phase_warp,0.000000,180.000000,0.000000,0.500000,3.800000,3.800000,3.800000,0.095287,9.208761,42.555387,0.015674,0.000000,127.914017,26.502411,9.619335,-0.004440,2.472361,0.000000,-0.307999,2.164362,0.466539,-0.095322,0.131474,-0.000462,0.889223,0.000000,0.110777,outputs_DeLaurier/modulation_scan_trim_f3p8_U7_pitch13_steps1200/amp_0p0/delta_0p5000000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.520000,3.800000,3.653846,3.958333,0.105561,9.158722,42.437385,0.017412,0.000000,119.190025,25.664480,9.629821,-0.067984,2.471107,0.000000,-0.307990,2.163117,0.466507,-0.094267,0.132529,-0.007110,0.889176,0.000000,0.110824,outputs_DeLaurier/modulation_scan_trim_f3p8_U7_pitch13_steps1200/amp_0p0/delta_0p5200000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.540000,3.800000,3.518519,4.130435,0.113603,9.161431,42.312585,0.018794,0.000000,111.415771,24.905596,9.575987,-0.015624,2.479597,0.000000,-0.308035,2.171562,0.466474,-0.094141,0.132653,-0.001634,0.889499,0.000000,0.110501,outputs_DeLaurier/modulation_scan_trim_f3p8_U7_pitch13_steps1200/amp_0p0/delta_0p5400000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.560000,3.800000,3.392857,4.318182,0.135382,9.130975,42.482190,0.022308,0.000000,104.453094,24.214941,9.531328,-0.008802,2.494035,0.000000,-0.308103,2.185932,0.466439,-0.093900,0.132892,-0.000924,0.890047,0.000000,0.109953,outputs_DeLaurier/modulation_scan_trim_f3p8_U7_pitch13_steps1200/amp_0p0/delta_0p5600000000000002/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.580000,3.800000,3.275862,4.523810,0.166488,9.090531,42.869044,0.027186,0.000000,98.189194,23.583523,9.482973,-0.010969,2.515351,0.000000,-0.308209,2.207143,0.466401,-0.093706,0.133083,-0.001158,0.890844,0.000000,0.109156,outputs_DeLaurier/modulation_scan_trim_f3p8_U7_pitch13_steps1200/amp_0p0/delta_0p5800000000000002/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.600000,3.800000,3.166667,4.750000,0.206841,9.045342,43.465103,0.033311,0.000000,92.530594,23.003792,9.430922,-0.017283,2.544648,0.000000,-0.308352,2.236296,0.466523,-0.093541,0.133159,-0.001836,0.891920,0.000000,0.108080,outputs_DeLaurier/modulation_scan_trim_f3p8_U7_pitch13_steps1200/amp_0p0/delta_0p6000000000000002/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.620000,3.800000,3.064516,5.000000,0.257174,8.992873,44.295309,0.040641,0.000000,104.888390,22.469572,9.371485,-0.026358,2.582069,0.000000,-0.308533,2.273536,0.466515,-0.093448,0.133226,-0.002821,0.893263,0.000000,0.106737,outputs_DeLaurier/modulation_scan_trim_f3p8_U7_pitch13_steps1200/amp_0p0/delta_0p6200000000000002/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.640000,3.800000,2.968750,5.277778,0.317850,8.936367,45.374416,0.049035,0.000000,122.621124,21.975449,9.299701,-0.030279,2.628696,0.000000,-0.308750,2.319946,0.466270,-0.093481,0.133290,-0.003267,0.894892,0.000000,0.105108,outputs_DeLaurier/modulation_scan_trim_f3p8_U7_pitch13_steps1200/amp_0p0/delta_0p6400000000000002/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.660000,3.800000,2.878788,5.588235,0.391396,8.876328,46.731239,0.058628,0.000000,144.306946,21.517046,9.222208,-0.036434,2.687103,0.000000,-0.309003,2.378100,0.466217,-0.093518,0.133243,-0.003966,0.896865,0.000000,0.103135,outputs_DeLaurier/modulation_scan_trim_f3p8_U7_pitch13_steps1200/amp_0p0/delta_0p6600000000000003/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.680000,3.800000,2.794118,5.937500,0.481440,8.807723,48.421496,0.069599,0.000000,171.169159,21.090401,9.142225,-0.053870,2.759696,0.000000,-0.309292,2.450404,0.466481,-0.093487,0.133079,-0.005927,0.899220,0.000000,0.100780,outputs_DeLaurier/modulation_scan_trim_f3p8_U7_pitch13_steps1200/amp_0p0/delta_0p6800000000000003/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.700000,3.800000,2.714286,6.333333,0.587591,8.736392,50.501717,0.081445,0.000000,204.921814,21.670937,9.036489,-0.052991,2.847404,0.000000,-0.309616,2.537789,0.466094,-0.093708,0.133027,-0.005899,0.901928,0.000000,0.098072,outputs_DeLaurier/modulation_scan_trim_f3p8_U7_pitch13_steps1200/amp_0p0/delta_0p7000000000000003/windtunnel_v50.csv
