amp,delta,rel_Tbar,rel_Lbar,rel_Pinbar,rel_eta,rel_sep_ratio,rel_peak_power,rel_peak_normal,rel_share_suction,rel_share_Na
0.000000,0.300000,5.870627,0.099560,0.307332,4.255457,nan,1.829108,0.726162,0.026670,11.211524
0.000000,0.320000,4.679260,0.082043,0.241989,3.572712,nan,1.463534,0.596960,0.022384,7.823962
0.000000,0.340000,3.671554,0.066867,0.187383,2.934329,nan,1.166294,0.487216,0.018429,7.750460
0.000000,0.360000,2.832974,0.053461,0.141878,2.356727,nan,0.921213,0.392869,0.014837,6.405425
0.000000,0.380000,2.145933,0.041433,0.103942,1.849727,nan,0.716665,0.310895,0.011627,3.392187
0.000000,0.400000,1.563450,0.030967,0.072676,1.389771,nan,0.544063,0.238997,0.008731,2.604276
0.000000,0.420000,1.073259,0.021964,0.047580,0.979094,nan,0.396986,0.175387,0.006162,1.981477
0.000000,0.440000,0.677130,0.014191,0.027918,0.631580,nan,0.270569,0.118695,0.003959,0.898179
0.000000,0.460000,0.333145,0.008146,0.013701,0.315127,nan,0.161072,0.067818,0.002052,2.797197
0.000000,0.480000,-0.063558,0.005703,0.006470,-0.069578,nan,0.076929,0.035110,0.000233,14.226525
0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000
0.000000,0.520000,0.107827,-0.005434,-0.002773,0.110908,nan,-0.068202,-0.031617,-0.000053,-14.395643
0.000000,0.540000,0.192219,-0.005140,-0.005706,0.199061,nan,-0.128979,-0.060252,0.000311,-2.538797
0.000000,0.560000,0.420788,-0.008447,-0.001720,0.423236,nan,-0.183412,-0.086312,0.000927,-1.001506
0.000000,0.580000,0.747233,-0.012839,0.007371,0.734450,nan,-0.232381,-0.110137,0.001823,-1.507474
0.000000,0.600000,1.170717,-0.017746,0.021377,1.125285,nan,-0.276619,-0.132011,0.003033,-2.975597
0.000000,0.620000,1.698944,-0.023444,0.040886,1.592930,nan,-0.180009,-0.152169,0.004544,-5.107418
0.000000,0.640000,2.335723,-0.029580,0.066244,2.128480,nan,-0.041379,-0.170813,0.006375,-6.073186
0.000000,0.660000,3.107552,-0.036100,0.098127,2.740506,nan,0.128156,-0.188110,0.008594,-7.588539
0.000000,0.680000,4.052536,-0.043550,0.137846,3.440437,nan,0.338158,-0.204208,0.011243,-11.834873
0.000000,0.700000,5.166549,-0.051296,0.186729,4.196256,nan,0.602028,-0.182303,0.014287,-11.772934
