modulation_profile,modulation_ff_amp,modulation_ff_shift_deg,amp,delta,f_eff_hz,f_down_hz,f_up_hz,mean_thrust_N,mean_lift_N,mean_pin_W,mean_eta,sep_ratio,peak_power_W,peak_normal_N,mean_Nc_N,mean_Na_N,mean_Fx_suction_N,mean_Fx_camber_N,mean_Fx_friction_N,mean_Fx_total_N,mean_k,mean_alpha_prime,mean_alpha_le,share_Na,share_Fx_suction,share_Fx_camber,share_Fx_friction,csv
phase_ff,0.200000,180.000000,0.200000,0.300000,4.000000,6.666667,2.857143,0.713316,10.970298,54.666339,0.090035,0.000000,105.867264,27.105843,10.805514,0.215715,3.799744,0.000000,-0.271415,3.528329,0.485708,-0.102732,0.159068,0.019573,0.933332,0.000000,0.066668,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p3/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.320000,4.000000,6.250000,2.941176,0.718049,10.971124,54.760800,0.090476,0.000000,106.550385,27.173790,10.807760,0.214249,3.804529,0.000000,-0.271415,3.533114,0.485839,-0.102709,0.159090,0.019438,0.933410,0.000000,0.066590,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p32/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.340000,4.000000,5.882353,3.030303,0.723041,10.971139,54.856769,0.090946,0.000000,107.230782,27.243759,10.809766,0.212107,3.809356,0.000000,-0.271415,3.537940,0.485962,-0.102690,0.159109,0.019244,0.933489,0.000000,0.066511,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p34/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.360000,4.000000,5.555556,3.125000,0.727935,10.971401,54.951398,0.091404,0.000000,107.954224,27.312803,10.811967,0.210042,3.814151,0.000000,-0.271415,3.542735,0.486077,-0.102669,0.159131,0.019057,0.933567,0.000000,0.066433,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p36000000000000004/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.380000,4.000000,5.263158,3.225806,0.732757,10.971716,55.046275,0.091850,0.000000,108.661148,27.381865,10.813868,0.208331,3.818889,0.000000,-0.271415,3.547474,0.486186,-0.102651,0.159148,0.018901,0.933644,0.000000,0.066356,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p38000000000000006/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.400000,4.000000,5.000000,3.333333,0.737597,10.971860,55.141369,0.092298,0.000000,109.370773,27.451031,10.815597,0.206597,3.823602,0.000000,-0.271415,3.552187,0.486287,-0.102636,0.159163,0.018744,0.933721,0.000000,0.066279,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p4000000000000001/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.420000,4.000000,4.761905,3.448276,0.742379,10.972089,55.236788,0.092736,0.000000,110.080399,27.520264,10.817101,0.205180,3.828281,0.000000,-0.271415,3.556865,0.486381,-0.102625,0.159174,0.018615,0.933796,0.000000,0.066204,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p4200000000000001/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.440000,4.000000,4.545455,3.571429,0.747173,10.972210,55.332492,0.093173,0.000000,110.793648,27.589500,10.818453,0.203790,3.832942,0.000000,-0.271415,3.561527,0.486468,-0.102616,0.159184,0.018489,0.933871,0.000000,0.066129,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p4400000000000001/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.460000,4.000000,4.347826,3.703704,0.751939,10.972351,55.428536,0.093605,0.000000,111.485863,27.658316,10.819626,0.202600,3.837582,0.000000,-0.271415,3.566167,0.486548,-0.102609,0.159190,0.018381,0.933946,0.000000,0.066054,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p46000000000000013/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.480000,4.000000,4.166667,3.846154,0.756683,10.972508,55.524941,0.094032,0.000000,112.203857,27.728313,10.820640,0.201586,3.842206,0.000000,-0.271415,3.570790,0.486621,-0.102605,0.159194,0.018289,0.934020,0.000000,0.065980,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p48000000000000015/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.500000,4.000000,4.000000,4.000000,0.761410,10.972676,55.621721,0.094455,0.000000,112.941574,27.798103,10.821497,0.200738,3.846815,0.000000,-0.271415,3.575400,0.486687,-0.102603,0.159196,0.018212,0.934094,0.000000,0.065906,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p5000000000000001/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.520000,4.000000,3.846154,4.166667,0.766127,10.972842,55.718881,0.094874,0.000000,113.673019,27.867764,10.822216,0.200023,3.851414,0.000000,-0.271415,3.579999,0.486746,-0.102604,0.159196,0.018147,0.934168,0.000000,0.065832,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p5200000000000001/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.540000,4.000000,3.703704,4.347826,0.770828,10.973028,55.816438,0.095289,0.000000,114.400887,27.937496,10.822795,0.199468,3.856003,0.000000,-0.271415,3.584588,0.486799,-0.102606,0.159193,0.018097,0.934241,0.000000,0.065759,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p5400000000000001/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.560000,4.000000,3.571429,4.545455,0.775517,10.973240,55.914404,0.095701,0.000000,115.127045,28.007248,10.823247,0.199066,3.860587,0.000000,-0.271415,3.589171,0.486844,-0.102610,0.159189,0.018060,0.934314,0.000000,0.065686,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p5600000000000002/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.580000,4.000000,3.448276,4.761905,0.780195,10.973468,56.012783,0.096109,0.000000,115.854004,28.077213,10.823571,0.198807,3.865164,0.000000,-0.271415,3.593749,0.486883,-0.102616,0.159183,0.018037,0.934387,0.000000,0.065613,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p5800000000000002/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.600000,4.000000,3.333333,5.000000,0.784863,10.973717,56.111585,0.096514,0.000000,116.590912,28.147297,10.823776,0.198689,3.869738,0.000000,-0.271415,3.598322,0.486916,-0.102624,0.159175,0.018026,0.934459,0.000000,0.065541,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p6000000000000002/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.620000,4.000000,3.225806,5.263158,0.789523,10.973986,56.210817,0.096916,0.000000,117.330780,28.217377,10.823864,0.198707,3.874309,0.000000,-0.271415,3.602893,0.486942,-0.102634,0.159165,0.018027,0.934531,0.000000,0.065469,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p6200000000000002/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.640000,4.000000,3.125000,5.555556,0.794176,10.974272,56.310485,0.097314,0.000000,118.073082,28.287523,10.823840,0.198855,3.878878,0.000000,-0.271415,3.607462,0.486961,-0.102645,0.159154,0.018041,0.934603,0.000000,0.065397,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p6400000000000002/windtunnel_v50.csv
phase_ff,0.200000,180.000000,0.200000,0.660000,4.000000,3.030303,5.882353,0.798825,10.974573,56.410596,0.097710,0.000000,118.817825,28.357773,10.823706,0.199126,3.883446,0.000000,-0.271415,3.612031,0.486975,-0.102658,0.159141,0.018065,0.934675,0.000000,0.065325,outputs_DeLaurier/modulation_scan_run0013/amp_0p2/delta_0p6600000000000003/windtunnel_v50.csv
