amp,delta,rel_Tbar,rel_Lbar,rel_Pinbar,rel_eta,rel_sep_ratio,rel_peak_power,rel_peak_normal,rel_share_suction,rel_share_Na
0.200000,0.300000,-0.063165,-0.000217,-0.017176,-0.046792,nan,-0.062637,-0.024903,-0.000816,0.074708
0.200000,0.320000,-0.056949,-0.000141,-0.015478,-0.042123,nan,-0.056588,-0.022459,-0.000732,0.067329
0.200000,0.340000,-0.050392,-0.000140,-0.013753,-0.037150,nan,-0.050564,-0.019942,-0.000648,0.056673
0.200000,0.360000,-0.043964,-0.000116,-0.012051,-0.032302,nan,-0.044159,-0.017458,-0.000564,0.046374
0.200000,0.380000,-0.037632,-0.000088,-0.010346,-0.027571,nan,-0.037899,-0.014974,-0.000482,0.037832
0.200000,0.400000,-0.031275,-0.000074,-0.008636,-0.022837,nan,-0.031616,-0.012485,-0.000400,0.029193
0.200000,0.420000,-0.024994,-0.000054,-0.006921,-0.018200,nan,-0.025333,-0.009995,-0.000319,0.022127
0.200000,0.440000,-0.018699,-0.000042,-0.005200,-0.013569,nan,-0.019018,-0.007504,-0.000238,0.015205
0.200000,0.460000,-0.012440,-0.000030,-0.003473,-0.008998,nan,-0.012889,-0.005029,-0.000159,0.009279
0.200000,0.480000,-0.006208,-0.000015,-0.001740,-0.004476,nan,-0.006532,-0.002511,-0.000079,0.004227
0.200000,0.500000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000
0.200000,0.520000,0.006195,0.000015,0.001747,0.004440,nan,0.006476,0.002506,0.000079,-0.003560
0.200000,0.540000,0.012369,0.000032,0.003501,0.008838,nan,0.012921,0.005014,0.000157,-0.006329
0.200000,0.560000,0.018527,0.000051,0.005262,0.013195,nan,0.019350,0.007524,0.000235,-0.008335
0.200000,0.580000,0.024671,0.000072,0.007031,0.017517,nan,0.025787,0.010041,0.000313,-0.009632
0.200000,0.600000,0.030801,0.000095,0.008807,0.021802,nan,0.032312,0.012562,0.000391,-0.010226
0.200000,0.620000,0.036922,0.000119,0.010591,0.026055,nan,0.038863,0.015083,0.000468,-0.010144
0.200000,0.640000,0.043033,0.000145,0.012383,0.030275,nan,0.045435,0.017606,0.000545,-0.009419
0.200000,0.660000,0.049139,0.000173,0.014183,0.034467,nan,0.052029,0.020133,0.000622,-0.008082
0.200000,0.680000,0.055241,0.000201,0.015991,0.038632,nan,0.058645,0.022665,0.000699,-0.006169
0.200000,0.700000,0.061341,0.000230,0.017807,0.042772,nan,0.065281,0.025201,0.000775,-0.003712
