modulation_profile,modulation_ff_amp,modulation_ff_shift_deg,amp,delta,f_eff_hz,f_down_hz,f_up_hz,mean_thrust_N,mean_lift_N,mean_pin_W,mean_eta,sep_ratio,peak_power_W,peak_normal_N,mean_Nc_N,mean_Na_N,mean_Fx_suction_N,mean_Fx_camber_N,mean_Fx_friction_N,mean_Fx_total_N,mean_k,mean_alpha_prime,mean_alpha_le,share_Na,share_Fx_suction,share_Fx_camber,share_Fx_friction,csv
phase_warp,0.000000,180.000000,0.000000,0.300000,4.000000,6.666667,2.857143,-2.045544,9.043369,55.067833,-0.256307,0.254841,379.854919,41.313423,11.698292,-0.000221,3.835895,0.000000,-0.295729,0.364750,0.504947,-0.110924,0.151045,-0.000019,0.928423,0.000000,0.071577,outputs_DeLaurier/modulation_scan_sep_on_twist_on/amp_0p0/delta_0p3/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.320000,4.000000,6.250000,2.941176,-1.996692,8.879043,51.264523,-0.268747,0.270697,323.688782,37.599991,11.560756,0.091232,3.653914,0.000000,-0.295958,0.369406,0.503563,-0.111086,0.150358,0.007830,0.925072,0.000000,0.074928,outputs_DeLaurier/modulation_scan_sep_on_twist_on/amp_0p0/delta_0p32/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.340000,4.000000,5.882353,3.030303,-1.949225,8.636316,47.717360,-0.281861,0.289463,275.466400,34.447521,11.466367,0.064653,3.514555,0.000000,-0.296143,0.352433,0.501652,-0.110937,0.150461,0.005607,0.922286,0.000000,0.077714,outputs_DeLaurier/modulation_scan_sep_on_twist_on/amp_0p0/delta_0p34/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.360000,4.000000,5.555556,3.125000,-1.878500,8.318079,44.184231,-0.293355,0.309834,239.885452,31.721941,11.281670,0.004466,3.386753,0.000000,-0.296348,0.338383,0.500145,-0.112175,0.152209,0.000396,0.919538,0.000000,0.080462,outputs_DeLaurier/modulation_scan_sep_on_twist_on/amp_0p0/delta_0p36000000000000004/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.380000,4.000000,5.263158,3.225806,-1.843304,8.181942,42.072245,-0.302308,0.325501,209.250519,29.452724,11.190427,0.050647,3.275616,0.000000,-0.296534,0.337145,0.498995,-0.112116,0.151724,0.004505,0.916987,0.000000,0.083013,outputs_DeLaurier/modulation_scan_sep_on_twist_on/amp_0p0/delta_0p38000000000000006/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.400000,4.000000,5.000000,3.333333,-1.802895,8.031624,40.273063,-0.308891,0.341778,184.530350,27.522068,11.151422,0.017532,3.185229,0.000000,-0.296745,0.337272,0.500335,-0.111351,0.150850,0.001570,0.914777,0.000000,0.085223,outputs_DeLaurier/modulation_scan_sep_on_twist_on/amp_0p0/delta_0p4000000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.420000,4.000000,4.761905,3.448276,-1.760306,7.860732,38.638244,-0.314355,0.355463,163.844467,25.824003,11.132429,-0.062775,3.122640,0.000000,-0.296935,0.334179,0.500370,-0.110490,0.150949,-0.005671,0.913166,0.000000,0.086834,outputs_DeLaurier/modulation_scan_sep_on_twist_on/amp_0p0/delta_0p4200000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.440000,4.000000,4.545455,3.571429,-1.720055,7.691481,37.181910,-0.319198,0.371530,146.074905,24.274090,11.015135,-0.056827,3.050077,0.000000,-0.297111,0.329253,0.499412,-0.111009,0.151710,-0.005186,0.911236,0.000000,0.088764,outputs_DeLaurier/modulation_scan_sep_on_twist_on/amp_0p0/delta_0p4400000000000001/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.460000,4.000000,4.347826,3.703704,-1.693160,7.586312,36.268758,-0.322118,0.384163,131.786163,22.967373,10.970729,-0.064799,2.998409,0.000000,-0.297271,0.328012,0.498740,-0.110550,0.151795,-0.005942,0.909800,0.000000,0.090200,outputs_DeLaurier/modulation_scan_sep_on_twist_on/amp_0p0/delta_0p46000000000000013/windtunnel_v50.csv
phase_warp,0.000000,180.000000,0.000000,0.480000,4.000000,4.166667,3.846154,-1.666594,7.480229,35.577388,-0.323225,0.397613,118.739807,21.843987,10.939255,-0.090323,2.959433,0.000000,-0.297414,0.326217,0.498343,-0.109925,0.152033,-0.008326,0.908680,0.000000,0.091320,outputs_DeLaurier/modulation_scan_sep_on_twist_on/amp_0p0/delta_0p48000000000000015/windtunnel_v50.csv
