f_hz,pitch_deg,airspeed,mean_Fx,mean_Fz,mean_Pin,mean_sep_ratio,abs_Fx,Fz_target,abs_Fz_err,score,csv
3.0,10.0,8.0,-0.9412530141732881,6.93869284825062,21.565423883451032,0.17678737921746251,0.9412530141732881,6.376500000000001,0.5621928482506187,1.5034458624239067,outputs_DeLaurier/trim_scan/f3p000_pitch10p000_U8p000/windtunnel_v50.csv
3.5,10.0,8.0,-0.9275772392376467,6.957254630340932,29.414849349252865,0.2077579676711473,0.9275772392376467,6.376500000000001,0.5807546303409312,1.508331869578578,outputs_DeLaurier/trim_scan/f3p500_pitch10p000_U8p000/windtunnel_v50.csv
4.0,10.0,8.0,-0.918999652275213,7.019087354176224,38.88635675294918,0.23955671390370772,0.918999652275213,6.376500000000001,0.6425873541762233,1.561587006451436,outputs_DeLaurier/trim_scan/f4p000_pitch10p000_U8p000/windtunnel_v50.csv
2.5,10.0,8.0,-0.969757483076374,7.015709077725512,15.1329047256198,0.14372803554405994,0.969757483076374,6.376500000000001,0.6392090777255115,1.6089665608018855,outputs_DeLaurier/trim_scan/f2p500_pitch10p000_U8p000/windtunnel_v50.csv
4.0,10.0,7.0,-0.7104098256171867,5.430011147497088,35.859202103724364,0.2911367899687701,0.7104098256171867,6.376500000000001,0.9464888525029131,1.6568986781200998,outputs_DeLaurier/trim_scan/f4p000_pitch10p000_U7p000/windtunnel_v50.csv
3.5,10.0,7.0,-0.7093252462756844,5.3457448144457,26.847923870033163,0.251369693090615,0.7093252462756844,6.376500000000001,1.030755185554301,1.7400804318299854,outputs_DeLaurier/trim_scan/f3p500_pitch10p000_U7p000/windtunnel_v50.csv
2.0,10.0,7.0,-0.7492999814505179,5.378734688980343,8.817380657275676,0.13755595437076035,0.7492999814505179,6.376500000000001,0.9977653110196583,1.7470652924701762,outputs_DeLaurier/trim_scan/f2p000_pitch10p000_U7p000/windtunnel_v50.csv
3.0,10.0,7.0,-0.7095815206883722,5.275943455560465,19.46703765070014,0.21607608529389088,0.7095815206883722,6.376500000000001,1.1005565444395362,1.8101380651279084,outputs_DeLaurier/trim_scan/f3p000_pitch10p000_U7p000/windtunnel_v50.csv
2.0,5.0,9.0,-0.4211853122521418,4.971797070541811,12.80494840894212,0.028280917479265824,0.4211853122521418,6.376500000000001,1.4047029294581899,1.8258882417103317,outputs_DeLaurier/trim_scan/f2p000_pitch5p000_U9p000/windtunnel_v50.csv
4.0,15.0,6.0,-1.3040632121498255,5.831544300708488,32.993262207333906,0.44986485582163926,1.3040632121498255,6.376500000000001,0.5449556992915126,1.849018911441338,outputs_DeLaurier/trim_scan/f4p000_pitch15p000_U6p000/windtunnel_v50.csv
2.0,10.0,8.0,-1.0240316650283865,7.255389511709668,9.82594282766473,0.11006480901616796,1.0240316650283865,6.376500000000001,0.8788895117096667,1.9029211767380532,outputs_DeLaurier/trim_scan/f2p000_pitch10p000_U8p000/windtunnel_v50.csv
3.5,15.0,6.0,-1.2692952481854798,5.654838791618707,24.173171608084683,0.4040336789004792,1.2692952481854798,6.376500000000001,0.7216612083812937,1.9909564565667734,outputs_DeLaurier/trim_scan/f3p500_pitch15p000_U6p000/windtunnel_v50.csv
2.5,5.0,9.0,-0.3299314585846846,4.7089361743787626,18.738666556137858,0.059565443144809854,0.3299314585846846,6.376500000000001,1.6675638256212384,1.997495284205923,outputs_DeLaurier/trim_scan/f2p500_pitch5p000_U9p000/windtunnel_v50.csv
4.0,5.0,9.0,-0.2086536050278352,4.5268624665095105,43.256226578933465,0.16175325876704594,0.2086536050278352,6.376500000000001,1.8496375334904904,2.058291138518326,outputs_DeLaurier/trim_scan/f4p000_pitch5p000_U9p000/windtunnel_v50.csv
3.0,15.0,6.0,-1.2373474142543333,5.551691173107243,17.028753028408726,0.34334741747940045,1.2373474142543333,6.376500000000001,0.8248088268927578,2.062156241147091,outputs_DeLaurier/trim_scan/f3p000_pitch15p000_U6p000/windtunnel_v50.csv
3.0,5.0,9.0,-0.2757298766648967,4.57825946926075,25.522476770621456,0.09559699297554024,0.2757298766648967,6.376500000000001,1.7982405307392506,2.0739704074041474,outputs_DeLaurier/trim_scan/f3p000_pitch5p000_U9p000/windtunnel_v50.csv
3.5,5.0,9.0,-0.23926225279376223,4.529750691274019,33.61021396987496,0.13005744992468063,0.23926225279376223,6.376500000000001,1.8467493087259816,2.0860115615197437,outputs_DeLaurier/trim_scan/f3p500_pitch5p000_U9p000/windtunnel_v50.csv
2.0,15.0,6.0,-1.202337448335484,5.485054064829819,7.009602535865995,0.25766610449699145,1.202337448335484,6.376500000000001,0.8914459351701822,2.0937833835056665,outputs_DeLaurier/trim_scan/f2p000_pitch15p000_U6p000/windtunnel_v50.csv
2.5,15.0,6.0,-1.2110243882417469,5.482427940589216,11.399520797308899,0.29645401140891764,1.2110243882417469,6.376500000000001,0.8940720594107852,2.105096447652532,outputs_DeLaurier/trim_scan/f2p500_pitch15p000_U6p000/windtunnel_v50.csv
2.5,15.0,7.0,-1.6403946294468714,7.5093664808163965,12.485759232138793,0.2608425331933644,1.6403946294468714,6.376500000000001,1.1328664808163955,2.7732611102632667,outputs_DeLaurier/trim_scan/f2p500_pitch15p000_U7p000/windtunnel_v50.csv
