f_hz,pitch_deg,airspeed,mean_Fx,mean_Fz,mean_Pin,mean_sep_ratio,csv
2.0,0.0,5.0,nan,nan,nan,nan,
2.0,0.0,6.0,0.041460135691101165,0.008300238337546442,8.378694284777305,0.11079735318509892,outputs_DeLaurier/trim_scan/f2p000_pitch0p000_U6p000/windtunnel_v50.csv
2.0,0.0,7.0,0.02538738684390431,0.0032014631528200816,10.14161632056027,0.06095364736101459,outputs_DeLaurier/trim_scan/f2p000_pitch0p000_U7p000/windtunnel_v50.csv
2.0,0.0,8.0,-0.016631754305765873,-0.0011360313051184733,11.983609075430545,0.026240309988127142,outputs_DeLaurier/trim_scan/f2p000_pitch0p000_U8p000/windtunnel_v50.csv
2.0,0.0,9.0,-0.09713828009903228,-0.005216574370239234,13.632879650107506,0.0070793643955429,outputs_DeLaurier/trim_scan/f2p000_pitch0p000_U9p000/windtunnel_v50.csv
2.0,5.0,5.0,-0.06113249848991436,1.357684478070394,6.756906996409183,0.1889753380735911,outputs_DeLaurier/trim_scan/f2p000_pitch5p000_U5p000/windtunnel_v50.csv
2.0,5.0,6.0,-0.10393656066196941,1.9768054237694221,8.195866208982372,0.12753583301667573,outputs_DeLaurier/trim_scan/f2p000_pitch5p000_U6p000/windtunnel_v50.csv
2.0,5.0,7.0,-0.1724064703894651,2.7751798581230873,9.78791562954668,0.0805502194485439,outputs_DeLaurier/trim_scan/f2p000_pitch5p000_U7p000/windtunnel_v50.csv
2.0,5.0,8.0,-0.27789190570223055,3.772294200599069,11.36085563655438,0.048838490881764646,outputs_DeLaurier/trim_scan/f2p000_pitch5p000_U8p000/windtunnel_v50.csv
2.0,5.0,9.0,-0.4211853122521418,4.971797070541811,12.80494840894212,0.028280917479265824,outputs_DeLaurier/trim_scan/f2p000_pitch5p000_U9p000/windtunnel_v50.csv
2.0,10.0,5.0,-0.3595089823909741,2.636645749989034,6.5446086733102256,0.22755621372827067,outputs_DeLaurier/trim_scan/f2p000_pitch10p000_U5p000/windtunnel_v50.csv
2.0,10.0,6.0,-0.5280513902017863,3.843594107846877,7.69725798540176,0.17560340366462368,outputs_DeLaurier/trim_scan/f2p000_pitch10p000_U6p000/windtunnel_v50.csv
2.0,10.0,7.0,-0.7492999814505179,5.378734688980343,8.817380657275676,0.13755595437076035,outputs_DeLaurier/trim_scan/f2p000_pitch10p000_U7p000/windtunnel_v50.csv
2.0,10.0,8.0,-1.0240316650283865,7.255389511709668,9.82594282766473,0.11006480901616796,outputs_DeLaurier/trim_scan/f2p000_pitch10p000_U8p000/windtunnel_v50.csv
2.0,10.0,9.0,-1.3366346566749274,9.448023275443054,10.874770024126418,0.08565067045443098,outputs_DeLaurier/trim_scan/f2p000_pitch10p000_U9p000/windtunnel_v50.csv
2.0,15.0,5.0,-0.8377863896567374,3.7766437657714067,6.245251676857101,0.29567452094474883,outputs_DeLaurier/trim_scan/f2p000_pitch15p000_U5p000/windtunnel_v50.csv
2.0,15.0,6.0,-1.202337448335484,5.485054064829819,7.009602535865995,0.25766610449699145,outputs_DeLaurier/trim_scan/f2p000_pitch15p000_U6p000/windtunnel_v50.csv
2.0,15.0,7.0,-1.6524135943867702,7.6233421442155365,7.56753049041135,0.23031116943876395,outputs_DeLaurier/trim_scan/f2p000_pitch15p000_U7p000/windtunnel_v50.csv
2.0,15.0,8.0,-2.1721551149523584,10.173633110050366,8.024101469113576,0.2059967740125845,outputs_DeLaurier/trim_scan/f2p000_pitch15p000_U8p000/windtunnel_v50.csv
2.0,15.0,9.0,-2.759460346310524,13.147552240367713,8.42931537264822,0.18269333189318362,outputs_DeLaurier/trim_scan/f2p000_pitch15p000_U9p000/windtunnel_v50.csv
