step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.0,14.483508232795442,-0.0,0.0,14.483508232795442,-0.0,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.5200000000000001,2.0,0.0,4.0,3.8461538461538454,4.166666666666668,14.483509063720703,14.483505249023438,14.483508110046387,14.483508110046387,0.04304707795381546,0.04403272643685341,6.900130271911621,7.254028797149658,0.0,0.0,0.0,0.0,nan,nan,42.884830474853516,42.884830474853516,85.76966094970703,0.0,-5.54929256439209,2.2103829383850098,0.0,0.0,0.0,2.2103829383850098,0.0,-5.54929256439209,0.0,0.0,0.0,3.5659425258636475,0.48006343841552734,-4.768022060394287,0.0,0.0,0.0,0.0,-5.54929256439209,2.2103829383850098,0.0,0.0,0.0,2.2103829383850098,0.0,-5.54929256439209,-0.0,-0.0,-0.0,3.5659425258636475,-0.48006221652030945,-4.768022060394287,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,0.0,0.05600005388259888,0.6000000238418579,-5.960464477539063e-08,-0.055999934673309326,0.6000000238418579,7.131885051727295,1.2218952178955078e-06,-9.536044120788574,0.0,0.0,0.0,-5.662441253662109e-07,-7.104906671884237e-07,-4.023313522338867e-07,40.72993850708008,40.72993850708008,60.65579605102539,60.65579605102539,0.0,0.0,0.3360842764377594,0.3360842764377594,0.663915753364563,0.663915753364563,0.0,0.0,-5.54929256439209,-5.54929256439209,0.0,0.0,2.3262248039245605,2.3262248039245605,-0.05091218650341034,-0.05091218650341034,-0.0649295300245285,-0.0649295300245285,2.2103829383850098,2.2103829383850098,0.5487563610076904,0.5487563610076904,-0.43279585242271423,-0.43279585242271423,-0.17099645733833313,-0.17099645733833313,-83.66088104248047,-83.66088104248047,-54.97290802001953,-54.97290802001953,-39.97290802001953,-39.97290802001953,15.000000953674316,15.000000953674316,1.0,0.1,180.0
1,0.004166666666666667,0.0602142261680507,14.378242488286512,-50.4109275288426,0.0602142261680507,14.378242488286512,-50.4109275288426,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.5200000000000001,2.0,0.0,4.0,3.8461538461538454,4.166666666666668,14.378240585327148,14.378239631652832,14.378242492675781,14.378242492675781,0.10107098519802094,0.10212542116641998,6.208710670471191,6.583163261413574,0.0,0.0,0.0,0.0,nan,nan,39.62352752685547,39.62352752685547,79.24705505371094,0.0,-5.013052940368652,2.2855019569396973,0.0,0.0,0.0,2.2855019569396973,0.0,-5.013052940368652,0.0,0.0,0.0,3.504645347595215,0.13234440982341766,-4.249019145965576,0.0,0.0,0.0,0.0,-5.013052940368652,2.2855019569396973,0.0,0.0,0.0,2.2855019569396973,0.0,-5.013052940368652,-0.0,-0.0,-0.0,3.5046451091766357,-0.1323433220386505,-4.249019622802734,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-7.450580596923828e-09,0.05600002408027649,0.6000000238418579,0.0,-0.055999964475631714,0.6000000238418579,7.00929069519043,1.087784767150879e-06,-8.498039245605469,0.0,0.0,0.0,-2.2351741790771484e-07,-4.115495926271251e-07,-2.2351741790771484e-07,40.62261962890625,40.62261962890625,60.51466369628906,60.51465606689453,0.0,0.0,0.3360842764377594,0.3360842764377594,0.663915753364563,0.663915753364563,0.0,0.0,-5.689046859741211,-5.689046859741211,0.6759940385818481,0.6759940385818481,2.4025659561157227,2.4025659561157227,-0.05213432013988495,-0.05213432013988495,-0.0649295300245285,-0.0649295300245285,2.2855019569396973,2.2855019569396973,0.5484120845794678,0.5484120845794678,-0.4366357922554016,-0.4366357922554016,-0.1748363971710205,-0.1748363971710205,-83.05284118652344,-83.05284118652344,-54.69740676879883,-54.69740676879883,-39.69740295410156,-39.69740295410156,15.000000953674316,15.000000953674316,1.0,0.1,180.0
2,0.008333333333333333,0.11955458048243192,14.065084690764326,-99.56096549786427,0.11955458048243192,14.065084690764326,-99.56096549786427,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.5200000000000001,2.0,0.0,4.0,3.8461538461538454,4.166666666666668,14.065083503723145,14.065079689025879,14.065084457397461,14.065084457397461,0.1575772613286972,0.15868571400642395,5.419038772583008,5.808467864990234,0.0,0.0,0.0,0.0,nan,nan,34.901981353759766,34.901981353759766,69.80396270751953,0.0,-4.321336269378662,2.261234760284424,0.0,0.0,0.0,2.261234760284424,0.0,-4.321336269378662,0.0,0.0,0.0,3.3020215034484863,-0.14230604469776154,-3.5865769386291504,0.0,0.0,0.0,0.0,-4.321336269378662,2.261234760284424,0.0,0.0,0.0,2.261234760284424,0.0,-4.321336269378662,-0.0,-0.0,-0.0,3.3020212650299072,0.14230698347091675,-3.5865769386291504,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.4901161193847656e-08,0.05600005388259888,0.5999999642372131,-1.564621925354004e-07,-0.05599990487098694,0.5999999642372131,6.604043006896973,9.387731552124023e-07,-7.173153877258301,0.0,0.0,0.0,-5.364418029785156e-07,-1.3289044318298693e-06,-5.21540641784668e-07,40.248130798339844,40.248130798339844,60.05392074584961,60.05391311645508,0.0,0.0,0.3360842764377594,0.3360842764377594,0.663915753364563,0.663915753364563,0.0,0.0,-5.656415939331055,-5.656415939331055,1.3350800275802612,1.3350800275802612,2.3780131340026855,2.3780131340026855,-0.051848843693733215,-0.051848843693733215,-0.0649295300245285,-0.0649295300245285,2.261234760284424,2.261234760284424,0.5473854541778564,0.5473854541778564,-0.43582358956336975,-0.43582358956336975,-0.17402416467666626,-0.17402416467666626,-81.24394989013672,-81.24394989013672,-53.72453689575195,-53.72453689575195,-38.72453689575195,-38.72453689575195,15.000000953674316,15.000000953674316,1.0,0.1,180.0
3,0.0125,0.1771689594330136,13.551819794363404,-146.25296802278712,0.1771689594330136,13.551819794363404,-146.25296802278712,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.5200000000000001,2.0,0.0,4.0,3.8461538461538454,4.166666666666668,13.551817893981934,13.551815032958984,13.551820755004883,13.551819801330566,0.21176907420158386,0.2129160612821579,4.544792652130127,4.943493366241455,0.0,0.0,0.0,0.0,nan,nan,29.073015213012695,29.073015213012695,58.14603042602539,0.0,-3.492403268814087,2.140422821044922,0.0,0.0,0.0,2.140422821044922,0.0,-3.492403268814087,0.0,0.0,0.0,2.967686176300049,-0.3158106505870819,-2.80560040473938,0.0,0.0,0.0,0.0,-3.492403268814087,2.140422821044922,0.0,0.0,0.0,2.140422821044922,0.0,-3.492403268814087,-0.0,-0.0,-0.0,2.9676859378814697,0.3158113956451416,-2.805600643157959,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-6.705522537231445e-08,0.05600005388259888,0.6000000238418579,-1.341104507446289e-07,-0.05599990487098694,0.5999999642372131,5.935372352600098,7.450580596923828e-07,-5.611201286315918,0.0,0.0,0.0,-3.8743019104003906e-07,-9.921186574501917e-07,-4.76837158203125e-07,39.60456466674805,39.604557037353516,59.259010314941406,59.259010314941406,0.0,0.0,0.35034558176994324,0.35034558176994324,0.6496544480323792,0.6496544480323792,0.0,0.0,-5.453607559204102,-5.453607559204102,1.9612045288085938,1.9612045288085938,2.255427360534668,2.255427360534668,-0.05007508397102356,-0.05007508397102356,-0.0649295300245285,-0.0649295300245285,2.140422821044922,2.140422821044922,0.5456953048706055,0.5456953048706055,-0.43039873242378235,-0.43039873242378235,-0.16859933733940125,-0.16859933733940125,-78.27919006347656,-78.27919006347656,-52.07851791381836,-52.07851791381836,-37.07851791381836,-37.07851791381836,15.000000953674316,15.000000953674316,1.0,0.1,180.0
4,0.016666666666666666,0.23224783149798778,12.85098803838762,-189.4118344406685,0.23224783149798778,12.85098803838762,-189.4118344406685,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.5200000000000001,2.0,0.0,4.0,3.8461538461538454,4.166666666666668,12.85098648071289,12.850987434387207,12.850988388061523,12.850988388061523,0.26290732622146606,0.2640771269798279,3.6018331050872803,4.004117012023926,0.0,0.0,0.0,0.0,nan,nan,22.58314323425293,22.58314323425293,45.16628646850586,0.0,-2.5495762825012207,1.9357187747955322,0.0,0.0,0.0,1.9357187747955322,0.0,-2.5495762825012207,0.0,0.0,0.0,2.5226540565490723,-0.3699839115142822,-1.9356329441070557,0.0,0.0,0.0,0.0,-2.5495762825012207,1.9357187747955322,0.0,0.0,0.0,1.9357187747955322,0.0,-2.5495762825012207,-0.0,-0.0,-0.0,2.522653818130493,0.3699844479560852,-1.9356329441070557,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-2.9802322387695312e-08,0.05600002408027649,0.5999999642372131,-3.725290298461914e-08,-0.055999964475631714,0.6000000238418579,5.0453081130981445,5.364418029785156e-07,-3.8712658882141113,0.0,0.0,0.0,-1.4156103134155273e-07,-4.5321525021790876e-07,-1.6391277313232422e-07,38.68896484375,38.68896484375,58.104705810546875,58.104698181152344,0.0,0.0,0.3787931799888611,0.3787931799888611,0.6212068796157837,0.6212068796157837,0.0,0.0,-5.089527130126953,-5.089527130126953,2.5399508476257324,2.5399508476257324,2.047539234161377,2.047539234161377,-0.046891070902347565,-0.046891070902347565,-0.0649295300245285,-0.0649295300245285,1.9357187747955322,1.9357187747955322,0.5433717370033264,0.5433717370033264,-0.4205106198787689,-0.4205106198787689,-0.1587112694978714,-0.1587112694978714,-74.23098754882812,-74.23098754882812,-49.79965591430664,-49.79965591430664,-34.79965591430664,-34.79965591430664,15.000000953674316,15.000000953674316,1.0,0.1,180.0
5,0.020833333333333332,0.2840428642056366,11.979271698397957,-228.1323626118878,0.2840428642056366,11.979271698397957,-228.1323626118878,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.5200000000000001,2.0,0.0,4.0,3.8461538461538454,4.166666666666668,11.97927188873291,11.979269981384277,11.979272842407227,11.97927188873291,0.31032609939575195,0.31150323152542114,2.6076059341430664,3.0079472064971924,0.0,0.0,0.0,0.0,nan,nan,15.922351837158203,15.922351837158203,31.844703674316406,0.0,-1.5196175575256348,1.6677379608154297,0.0,0.0,0.0,1.6677379608154297,0.0,-1.5196175575256348,0.0,0.0,0.0,1.9965769052505493,-0.29806578159332275,-1.0076831579208374,0.0,0.0,0.0,0.0,-1.5196175575256348,1.6677379608154297,0.0,0.0,0.0,1.6677379608154297,0.0,-1.5196175575256348,-0.0,-0.0,-0.0,1.9965766668319702,0.29806604981422424,-1.0076831579208374,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-9.685754776000977e-08,0.05600005388259888,0.5999999642372131,-5.21540641784668e-08,-0.0559999942779541,0.5999999642372131,3.9931535720825195,2.682209014892578e-07,-2.015366315841675,0.0,0.0,0.0,-5.960464477539063e-08,-4.782608584719128e-07,-1.1175870895385742e-07,37.497798919677734,37.49779510498047,56.554325103759766,56.554325103759766,0.0,0.0,0.40716320276260376,0.40716320276260376,0.592836856842041,0.592836856842041,0.0,0.0,-4.578797817230225,-4.578797817230225,3.059180498123169,3.059180498123169,1.7750924825668335,1.7750924825668335,-0.042424969375133514,-0.042424969375133514,-0.0649295300245285,-0.0649295300245285,1.6677379608154297,1.6677379608154297,0.5404558181762695,0.5404558181762695,-0.40641018748283386,-0.40641018748283386,-0.14461079239845276,-0.14461079239845276,-69.1957015991211,-69.1957015991211,-46.942352294921875,-46.942352294921875,-31.942350387573242,-31.942350387573242,15.000000953674316,15.000000953674316,1.0,0.1,180.0
6,0.025,0.3318826112798791,10.956710302871663,-261.7132022452952,0.3318826112798791,10.956710302871663,-261.7132022452952,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.5200000000000001,2.0,0.0,4.0,3.8461538461538454,4.166666666666668,10.956707000732422,10.956707954406738,10.956709861755371,10.956709861755371,0.3534444570541382,0.3546138405799866,1.5804073810577393,1.97353196144104,0.0,0.0,0.0,0.0,nan,nan,9.570411682128906,9.570411682128906,19.140823364257812,0.0,-0.43074625730514526,1.3622627258300781,0.0,0.0,0.0,1.3622627258300781,0.0,-0.43074625730514526,0.0,0.0,0.0,1.423993706703186,-0.10459106415510178,-0.051038213074207306,0.0,0.0,0.0,0.0,-0.43074625730514526,1.3622627258300781,0.0,0.0,0.0,1.3622627258300781,0.0,-0.43074625730514526,-0.0,-0.0,-0.0,1.423993706703186,0.10459112375974655,-0.051038119941949844,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.862645149230957e-07,0.05600002408027649,0.5999999642372131,-4.470348358154297e-08,-0.055999964475631714,0.6000000238418579,2.847987413406372,5.960464477539063e-08,-0.10207633674144745,0.0,0.0,0.0,-1.4668330550193787e-08,-1.0122799665168714e-07,-7.450580596923828e-08,36.02756881713867,36.02756881713867,54.55899429321289,54.55900192260742,0.0,0.0,0.43548205494880676,0.43548205494880676,0.5645179748535156,0.5645179748535156,0.0,0.0,-3.940234422683716,-3.940234422683716,3.509488105773926,3.509488105773926,1.4640339612960815,1.4640339612960815,-0.03684172034263611,-0.03684172034263611,-0.0649295300245285,-0.0649295300245285,1.3622627258300781,1.3622627258300781,0.5369977355003357,0.5369977355003357,-0.3884371221065521,-0.3884371221065521,-0.12663769721984863,-0.12663769721984863,-63.289093017578125,-63.289093017578125,-43.572574615478516,-43.572574615478516,-28.572572708129883,-28.572572708129883,15.000000953674316,15.000000953674316,1.0,0.1,180.0
7,0.029166666666666667,0.375184671595229,9.805806755184646,-289.67508961740305,0.375184671595229,9.805806755184646,-289.67508961740305,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.5200000000000001,2.0,0.0,4.0,3.8461538461538454,4.166666666666668,9.805806159973145,9.805804252624512,9.805807113647461,9.805807113647461,0.39177435636520386,0.3929215669631958,0.5386677980422974,0.9196610450744629,0.0,0.0,0.0,0.0,nan,nan,3.9488472938537598,3.9488472938537598,7.8976945877075195,0.0,0.6894500255584717,1.0470688343048096,0.0,0.0,0.0,1.0470688343048096,0.0,0.6894500255584717,0.0,0.0,0.0,0.8403264284133911,0.19620291888713837,0.9094230532646179,0.0,0.0,0.0,0.0,0.6894500255584717,1.0470688343048096,0.0,0.0,0.0,1.0470688343048096,0.0,0.6894500255584717,-0.0,-0.0,-0.0,0.8403264880180359,-0.19620297849178314,0.9094229936599731,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,7.450580596923828e-09,0.05600005388259888,0.6000000238418579,-1.2665987014770508e-07,-0.055999934673309326,0.5999999642372131,1.6806528568267822,-5.960464477539063e-08,1.8188459873199463,0.0,0.0,0.0,1.0058283805847168e-07,1.39633058893196e-07,-7.078051567077637e-08,34.275962829589844,34.27595901489258,52.0573616027832,52.05735778808594,0.0,0.0,0.4920608103275299,0.4920608103275299,0.5079392194747925,0.5079392194747925,0.0,0.0,-3.194997787475586,-3.194997787475586,3.8844480514526367,3.8844480514526367,1.1423251628875732,1.1423251628875732,-0.030326850712299347,-0.030326850712299347,-0.0649295300245285,-0.0649295300245285,1.0470688343048096,1.0470688343048096,0.5330554246902466,0.5330554246902466,-0.3670040965080261,-0.3670040965080261,-0.10520467907190323,-0.10520467907190323,-56.64114761352539,-56.64114761352539,-39.76484298706055,-39.76484298706055,-24.764842987060547,-24.764842987060547,15.000000953674316,15.000000953674316,1.0,0.1,180.0
8,0.03333333333333333,0.41346400351111795,8.550590672412255,-311.7633114563506,0.41346400351111795,8.550590672412255,-311.7633114563506,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.5200000000000001,2.0,0.0,4.0,3.8461538461538454,4.166666666666668,8.550590515136719,8.550590515136719,8.550591468811035,8.550591468811035,0.4249250292778015,0.4260367751121521,-0.4997584819793701,-0.13538223505020142,0.0,0.0,0.0,0.0,nan,nan,-0.614043116569519,-0.614043116569519,-1.228086233139038,0.0,1.8159433603286743,0.7489506006240845,0.0,0.0,0.0,0.7489506006240845,0.0,1.8159433603286743,0.0,0.0,0.0,0.2783127427101135,0.5830233097076416,1.8550479412078857,0.0,0.0,0.0,0.0,1.8159433603286743,0.7489506006240845,0.0,0.0,0.0,0.7489506006240845,0.0,1.8159433603286743,-0.0,-0.0,-0.0,0.27831271290779114,-0.583023726940155,1.8550478219985962,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-2.2351741790771484e-08,0.05600002408027649,0.6000000238418579,3.725290298461914e-08,-0.055999964475631714,0.6000000238418579,0.556625485420227,-4.172325134277344e-07,3.7100958824157715,0.0,0.0,0.0,1.1920928955078125e-07,1.3821183131312864e-07,-5.3085386753082275e-08,32.24346160888672,32.243465423583984,48.97674560546875,48.976749420166016,0.0,0.0,0.5628252625465393,0.5628252625465393,0.43717479705810547,0.43717479705810547,0.0,0.0,-2.3647003173828125,-2.3647003173828125,4.1806440353393555,4.1806440353393555,0.8369500637054443,0.8369500637054443,-0.023069899529218674,-0.023069899529218674,-0.0649295300245285,-0.0649295300245285,0.7489506006240845,0.7489506006240845,0.5286925435066223,0.5286925435066223,-0.3425784409046173,-0.3425784409046173,-0.08077903091907501,-0.08077903091907501,-49.39065933227539,-49.39065933227539,-35.599143981933594,-35.599143981933594,-20.599143981933594,-20.599143981933594,15.000000953674316,15.000000953674316,1.0,0.1,180.0
9,0.0375,0.446337351016385,7.215702054864915,-327.93592396666185,0.446337351016385,7.215702054864915,-327.93592396666185,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.5200000000000001,2.0,0.0,4.0,3.8461538461538454,4.166666666666668,7.215702056884766,7.215700626373291,7.215702056884766,7.215702056884766,0.4526040256023407,0.45366790890693665,-1.5181810855865479,-1.1744356155395508,0.0,0.0,0.0,0.0,nan,nan,-3.900890350341797,-3.900890350341797,-7.801780700683594,0.0,2.9277687072753906,0.49142131209373474,0.0,0.0,0.0,0.49142131209373474,0.0,2.9277687072753906,0.0,0.0,0.0,-0.23458443582057953,1.0306103229522705,2.77419114112854,0.0,0.0,0.0,0.0,2.9277687072753906,0.49142131209373474,0.0,0.0,0.0,0.49142131209373474,0.0,2.9277687072753906,-0.0,-0.0,-0.0,-0.2345842868089676,-1.0306107997894287,2.77419114112854,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,0.0,0.05600005388259888,0.6000000238418579,-9.685754776000977e-08,-0.055999964475631714,0.6000000238418579,-0.4691687226295471,-4.76837158203125e-07,5.54838228225708,0.0,0.0,0.0,2.5331974029541016e-07,5.167333938516094e-07,1.2945383787155151e-07,29.935819625854492,29.935819625854492,45.23776626586914,45.23776626586914,0.0,0.0,0.6758773326873779,0.6758773326873779,0.32412275671958923,0.32412275671958923,0.0,0.0,-1.4697446823120117,-1.4697446823120117,4.397513389587402,4.397513389587402,0.5716007351875305,0.5716007351875305,-0.015249849297106266,-0.015249849297106266,-0.0649295300245285,-0.0649295300245285,0.49142131209373474,0.49142131209373474,0.5239769220352173,0.5239769220352173,-0.3156633973121643,-0.3156633973121643,-0.0538640096783638,-0.0538640096783638,-41.67995834350586,-41.67995834350586,-31.1578311920166,-31.1578311920166,-16.1578311920166,-16.1578311920166,15.000000953674316,15.000000953674316,1.0,0.1,180.0
