horizon_s,method,window_count,diverged_count,pos_rmse_m_valid_count,pos_rmse_m_median,pos_rmse_m_iqr,vel_rmse_mps_valid_count,vel_rmse_mps_median,vel_rmse_mps_iqr,att_rmse_deg_valid_count,att_rmse_deg_median,att_rmse_deg_iqr,omega_rmse_radps_valid_count,omega_rmse_radps_median,omega_rmse_radps_iqr,final_pos_err_m_valid_count,final_pos_err_m_median,final_pos_err_m_iqr,final_vel_err_mps_valid_count,final_vel_err_mps_median,final_vel_err_mps_iqr,final_att_err_deg_valid_count,final_att_err_deg_median,final_att_err_deg_iqr,final_omega_err_radps_valid_count,final_omega_err_radps_median,final_omega_err_radps_iqr
0.5,delaurier_gain_calibrated,40,0,40,0.2562204168716288,0.14921638109057436,40,1.4338521891097877,0.5112960663968114,40,14.794583692759375,9.574421524529136,40,1.166374876522644,0.5530382419311127,40,0.5413143216802728,0.31561758968001496,40,2.3184638079992155,0.6915970062618766,40,24.5836518134579,18.113179761597586,40,0.9879735703422619,0.9163259797956556
0.5,delaurier_physically_calibrated,40,40,40,0.011206968372790728,0.01297498836724488,40,0.3425895669557473,0.2493104992839532,40,89.68595673058493,9.10423777513401,40,100.10971476306915,17.450305255723976,0,,,0,,,0,,,0,,
0.5,delaurier_uncalibrated,40,40,40,0.0041122681729909,0.006719117927863123,40,0.20259035620073007,0.22912399699134858,40,59.762580129008285,22.011755572754367,40,99.25946158039912,30.56392238123445,0,,,0,,,0,,,0,,
0.5,label_oracle,40,0,40,0.07033706114011846,0.051371132031188066,40,0.23915975965519778,0.1215833682305981,40,6.2109267611956165,4.169274432764544,40,0.5897716766482879,0.1820621768164199,40,0.13828094731588045,0.08240816597819718,40,0.436441818551334,0.35322942926848805,40,11.281908839529134,7.922333763446118,40,0.6047658712196704,0.4495745652104193
0.5,nn_effective_wrench,40,0,40,0.08007863920307282,0.054185783302494156,40,0.3789789160999849,0.19725352261951073,40,11.625400120671152,6.508579786042333,40,1.0442057732571994,0.4611605080574981,40,0.16917018990052057,0.091110982798599,40,0.7227839468023887,0.4510058588970245,40,21.52280094193678,12.826970911436842,40,1.47312766318355,0.9855360689506547
1.0,delaurier_gain_calibrated,40,0,40,0.9789075160320346,0.4478915575240504,40,3.093794793247999,1.2604363196313608,40,28.746948491797973,25.290892002022396,40,1.2928860633954051,0.730031416669291,40,2.463001667654743,0.9118579369781359,40,5.722588334156116,2.3577301046211216,40,50.29265386169736,43.11034296925869,40,1.5085752967298767,1.7435538903147565
1.0,delaurier_physically_calibrated,40,40,40,0.010447361869513241,0.008027592294709823,40,0.30729703003433884,0.23733931824593602,40,88.55681220574442,6.147182687857082,40,104.16661658624649,13.695978289276198,0,,,0,,,0,,,0,,
1.0,delaurier_uncalibrated,40,40,40,0.004009185876773251,0.005350922971063969,40,0.18980861779564923,0.1936614265212218,40,55.42511333460655,36.94493448393113,40,96.50010490172451,18.139285780242076,0,,,0,,,0,,,0,,
1.0,label_oracle,40,0,40,0.2432840668705527,0.16548485472419366,40,0.8238226268163543,0.6312136912510862,40,12.843654027525048,9.874783176077507,40,0.5929481545730987,0.26038527844822945,40,0.5745369322349375,0.4634271616178719,40,1.862129549836495,1.402884228026926,40,23.204998361727906,18.478214780901094,40,0.5634676290907408,0.39776081795078166
1.0,nn_effective_wrench,40,0,40,0.41909638021688106,0.24240837880910954,40,1.7209914017763344,0.9128039677510915,40,36.611115420498024,23.40336166949822,40,1.6395087105789108,0.9289826369355283,40,1.103086285253318,0.7050544633342283,40,4.311259035225478,2.5041783583368398,40,77.28256529749405,43.935757377762776,40,2.6122459505332833,1.595126217108656
