step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.0,11.834505189778897,-0.0,0.0,11.834505189778897,-0.0,6.0,-6.0,0.0,0.0,13.0,0,0.5,0.0,0.0,3.6000000000000005,3.6000000000000005,3.6000000000000005,11.834504127502441,11.834502220153809,11.834504127502441,11.834504127502441,0.034044016152620316,0.034857992082834244,5.45700740814209,5.742566108703613,0.15707963705062866,0.15707963705062866,0.0,0.0,nan,nan,19.520902633666992,19.520902633666992,39.041805267333984,0.0,-2.7847681045532227,0.48479974269866943,0.0,0.0,0.0,0.48479974269866943,0.0,-2.7847681045532227,0.0,0.0,0.0,1.0964614152908325,0.24090734124183655,-2.5941665172576904,0.0,0.0,0.0,0.0,-2.7847681045532227,0.48479974269866943,0.0,0.0,0.0,0.48479974269866943,0.0,-2.7847681045532227,-0.0,-0.0,-0.0,1.096461534500122,-0.2409067451953888,-2.5941665172576904,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-5.960464477539063e-08,0.05600002408027649,0.6000000238418579,-5.960464477539063e-08,-0.055999964475631714,0.6000000238418579,2.192923069000244,5.960464477539062e-07,-5.188333034515381,0.0,0.0,0.0,-1.4901161193847656e-07,-4.6387310703721596e-07,-5.960464477539063e-08,29.281692504882812,29.28169059753418,49.600975036621094,49.600975036621094,0.17686083912849426,0.17686083912849426,0.4284450113773346,0.4284450113773346,0.3946942090988159,0.3946942090988159,0.029628142714500427,0.029628142714500427,-2.402986526489258,-2.402986526489258,-0.5282148122787476,-0.5282148122787476,0.736640214920044,0.736640214920044,0.0,0.0,-0.1152237057685852,-0.1152237057685852,0.48479974269866943,0.48479974269866943,0.5156484842300415,0.5156484842300415,-0.30740272998809814,-0.30740272998809814,-0.08050993084907532,-0.08050993084907532,-68.64555358886719,-68.64555358886719,-45.225833892822266,-45.225833892822266,-32.22583770751953,-32.22583770751953,22.0,22.0,0.0,0.0,180.0
1,0.004166666666666667,0.049237469528246695,11.781983236841624,-25.1918732942806,0.049237469528246695,11.781983236841624,-25.1918732942806,6.0,-6.0,0.0,0.0,13.0,0,0.5,0.0,0.0,3.6000000000000005,3.6000000000000005,3.6000000000000005,11.781982421875,11.781981468200684,11.781983375549316,11.781983375549316,0.08183278888463974,0.08270347118377686,4.946501731872559,5.250470161437988,0.1563825011253357,0.1563825011253357,0.0,0.0,nan,nan,18.90557289123535,18.90557289123535,37.8111457824707,0.0,-2.7186050415039062,0.47830161452293396,0.0,0.0,0.0,0.47830161452293396,0.0,-2.7186050415039062,0.0,0.0,0.0,1.0771677494049072,0.10159844905138016,-2.539482831954956,0.0,0.0,0.0,0.0,-2.7186050415039062,0.47830161452293396,0.0,0.0,0.0,0.47830161452293396,0.0,-2.7186050415039062,-0.0,-0.0,-0.0,1.0771677494049072,-0.10159788280725479,-2.539482831954956,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-1.1920928955078125e-07,0.05600005388259888,0.6000000238418579,-9.685754776000977e-08,-0.055999934673309326,0.5999999642372131,2.1543354988098145,5.662441253662109e-07,-5.078965663909912,0.0,0.0,0.0,-2.980232238769531e-07,-7.642672130714345e-07,-1.30385160446167e-07,29.251136779785156,29.251136779785156,49.552310943603516,49.552310943603516,0.17686083912849426,0.17686083912849426,0.4284450113773346,0.4284450113773346,0.3946942090988159,0.3946942090988159,0.036845918744802475,0.036845918744802475,-2.6012563705444336,-2.6012563705444336,-0.2944679260253906,-0.2944679260253906,0.7578794360160828,0.7578794360160828,0.0,0.0,-0.11508822441101074,-0.11508822441101074,0.47830161452293396,0.47830161452293396,0.5156484842300415,0.5156484842300415,-0.3151402771472931,-0.3151402771472931,-0.07681359350681305,-0.07681359350681305,-68.37496185302734,-68.37496185302734,-45.11212158203125,-45.11212158203125,-32.086578369140625,-32.086578369140625,21.960058212280273,21.960058212280273,0.0,0.0,180.0
2,0.008333333333333333,0.09803790379125113,11.62488356660231,-50.16014173777172,0.09803790379125113,11.62488356660231,-50.16014173777172,6.0,-6.0,0.0,0.0,13.0,0,0.5,0.0,0.0,3.6000000000000005,3.6000000000000005,3.6000000000000005,11.62488079071045,11.624878883361816,11.624883651733398,11.624883651733398,0.12890984117984772,0.12982939183712006,4.394439697265625,4.7141618728637695,0.15429732203483582,0.15429732203483582,0.0,0.0,nan,nan,18.165409088134766,18.165409088134766,36.33081817626953,0.0,-2.6472320556640625,0.5093244910240173,0.0,0.0,0.0,0.5093244910240173,0.0,-2.6472320556640625,0.0,0.0,0.0,1.0917285680770874,-0.030232179909944534,-2.4646427631378174,0.0,0.0,0.0,0.0,-2.6472320556640625,0.5093244910240173,0.0,0.0,0.0,0.5093244910240173,0.0,-2.6472320556640625,-0.0,-0.0,-0.0,1.0917284488677979,0.0302327498793602,-2.4646427631378174,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-1.564621925354004e-07,0.05600005388259888,0.5999999642372131,-1.4901161193847656e-08,-0.055999964475631714,0.5999999642372131,2.1834568977355957,5.699694156646729e-07,-4.929285526275635,0.0,0.0,0.0,-2.2351741790771484e-07,-6.993977876845747e-07,-9.685754776000977e-08,29.140283584594727,29.14027976989746,49.37900924682617,49.37900924682617,0.17686083912849426,0.17686083912849426,0.4284450113773346,0.4284450113773346,0.3946942090988159,0.3946942090988159,0.029628142714500427,0.029628142714500427,-2.7384073734283447,-2.7384073734283447,-0.05745813250541687,-0.05745813250541687,0.7607207298278809,0.7607207298278809,0.0,0.0,-0.11468823254108429,-0.11468823254108429,0.5093244910240173,0.5093244910240173,0.5156484842300415,0.5156484842300415,-0.3209986388683319,-0.3209986388683319,-0.07133959978818893,-0.07133959978818893,-67.5138168334961,-67.5138168334961,-44.65607833862305,-44.65607833862305,-31.6052188873291,-31.6052188873291,21.840585708618164,21.840585708618164,0.0,0.0,180.0
3,0.0125,0.1459681466797248,11.364600606855687,-74.68318521216935,0.1459681466797248,11.364600606855687,-74.68318521216935,6.0,-6.0,0.0,0.0,13.0,0,0.5,0.0,0.0,3.6000000000000005,3.6000000000000005,3.6000000000000005,11.36460018157959,11.36459732055664,11.36460018157959,11.36460018157959,0.17479899525642395,0.17575956881046295,3.79636287689209,4.128864288330078,0.1508425772190094,0.1508425772190094,0.0,0.0,nan,nan,16.798049926757812,16.798049926757812,33.596099853515625,0.0,-2.4850425720214844,0.49949315190315247,0.0,0.0,0.0,0.49949315190315247,0.0,-2.4850425720214844,0.0,0.0,0.0,1.0447189807891846,-0.14740251004695892,-2.3047266006469727,0.0,0.0,0.0,0.0,-2.4850425720214844,0.49949315190315247,0.0,0.0,0.0,0.49949315190315247,0.0,-2.4850425720214844,-0.0,-0.0,-0.0,1.0447189807891846,0.1474030315876007,-2.3047266006469727,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-4.470348358154297e-08,0.0559999942779541,0.5999999642372131,-6.705522537231445e-08,-0.055999964475631714,0.6000000238418579,2.089437961578369,5.21540641784668e-07,-4.609453201293945,0.0,0.0,0.0,-7.450580596923828e-08,-4.572157763504947e-07,-3.3527612686157227e-08,28.94563102722168,28.94563102722168,49.072731018066406,49.072731018066406,0.17686083912849426,0.17686083912849426,0.442595511674881,0.442595511674881,0.38054367899894714,0.38054367899894714,0.029628142714500427,0.029628142714500427,-2.813417673110962,-2.813417673110962,0.18130901455879211,0.18130901455879211,0.744949460029602,0.744949460029602,0.0,0.0,-0.11404265463352203,-0.11404265463352203,0.49949315190315247,0.49949315190315247,0.5156484842300415,0.5156484842300415,-0.32492595911026,-0.32492595911026,-0.06413660943508148,-0.06413660943508148,-66.06781005859375,-66.06781005859375,-43.86069869995117,-43.86069869995117,-30.784976959228516,-30.784976959228516,21.642642974853516,21.642642974853516,0.0,0.0,180.0
4,0.016666666666666666,0.19260276596462353,11.003444647578895,-98.54333544751427,0.19260276596462353,11.003444647578895,-98.54333544751427,6.0,-6.0,0.0,0.0,13.0,0,0.5,0.0,0.0,3.6000000000000005,3.6000000000000005,3.6000000000000005,11.003443717956543,11.003440856933594,11.00344467163086,11.00344467163086,0.21913138031959534,0.2201245278120041,3.1637587547302246,3.5060698986053467,0.14604894816875458,0.14604894816875458,0.0,0.0,nan,nan,15.204578399658203,15.204578399658203,30.409156799316406,0.0,-2.2902727127075195,0.49867016077041626,0.0,0.0,0.0,0.49867016077041626,0.0,-2.2902727127075195,0.0,0.0,0.0,0.9981968998908997,-0.24228113889694214,-2.106875419616699,0.0,0.0,0.0,0.0,-2.2902727127075195,0.49867016077041626,0.0,0.0,0.0,0.49867016077041626,0.0,-2.2902727127075195,-0.0,-0.0,-0.0,0.9981968998908997,0.24228160083293915,-2.106875419616699,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-2.9802322387695312e-08,0.05600005388259888,0.5999999642372131,-7.450580596923828e-08,-0.055999934673309326,0.6000000238418579,1.9963937997817993,4.6193599700927734e-07,-4.213750839233398,0.0,0.0,0.0,-2.682209014892578e-07,-4.0484096075488196e-07,-1.30385160446167e-07,28.66114616394043,28.66114616394043,48.61906051635742,48.61906051635742,0.17686083912849426,0.17686083912849426,0.442595511674881,0.442595511674881,0.38054367899894714,0.38054367899894714,0.023084618151187897,0.023084618151187897,-2.8266754150390625,-2.8266754150390625,0.4202137589454651,0.4202137589454651,0.7114524245262146,0.7114524245262146,0.0,0.0,-0.11318182945251465,-0.11318182945251465,0.49867016077041626,0.49867016077041626,0.5156484842300415,0.5156484842300415,-0.3268817961215973,-0.3268817961215973,-0.05526300519704819,-0.05526300519704819,-64.04666137695312,-64.04666137695312,-42.731319427490234,-42.731319427490234,-29.631406784057617,-29.631406784057617,21.36798667907715,21.36798667907715,0.0,0.0,180.0
5,0.020833333333333332,0.23752782946373088,10.544621334634096,-121.52880806116593,0.23752782946373088,10.544621334634096,-121.52880806116593,6.0,-6.0,0.0,0.0,13.0,0,0.5,0.0,0.0,3.6000000000000005,3.6000000000000005,3.6000000000000005,10.544621467590332,10.544620513916016,10.544621467590332,10.544621467590332,0.26149415969848633,0.2625112235546112,2.499129056930542,2.848132371902466,0.13995897769927979,0.13995897769927979,0.0,0.0,nan,nan,13.273612976074219,13.273612976074219,26.547225952148438,0.0,-2.0359086990356445,0.4800618588924408,0.0,0.0,0.0,0.4800618588924408,0.0,-2.0359086990356445,0.0,0.0,0.0,0.9205321073532104,-0.3060748279094696,-1.8531925678253174,0.0,0.0,0.0,0.0,-2.0359086990356445,0.4800618588924408,0.0,0.0,0.0,0.4800618588924408,0.0,-2.0359086990356445,-0.0,-0.0,-0.0,0.9205319881439209,0.30607524514198303,-1.8531925678253174,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-5.21540641784668e-08,0.05600002408027649,0.6000000238418579,-1.4901161193847656e-08,-0.0559999942779541,0.5999999642372131,1.8410640954971313,4.172325134277344e-07,-3.7063851356506348,0.0,0.0,0.0,-3.725290298461914e-08,-2.8959311748621985e-07,-2.2351741790771484e-08,28.278514862060547,28.27851104736328,47.99705505371094,47.99705505371094,0.17686083912849426,0.17686083912849426,0.4708550274372101,0.4708550274372101,0.35228419303894043,0.35228419303894043,0.017258400097489357,0.017258400097489357,-2.779898166656494,-2.779898166656494,0.6574975252151489,0.6574975252151489,0.6621389389038086,0.6621389389038086,0.0,0.0,-0.1121460571885109,-0.1121460571885109,0.4800618588924408,0.4800618588924408,0.5156484842300415,0.5156484842300415,-0.326837956905365,-0.326837956905365,-0.044786758720874786,-0.044786758720874786,-61.46430587768555,-61.46430587768555,-41.27570724487305,-41.27570724487305,-28.152488708496094,-28.152488708496094,21.019058227539062,21.019058227539062,0.0,0.0,180.0
6,0.025,0.2803445791330111,9.992203216228846,-143.43558237097574,0.2803445791330111,9.992203216228846,-143.43558237097574,6.0,-6.0,0.0,0.0,13.0,0,0.5,0.0,0.0,3.6000000000000005,3.6000000000000005,3.6000000000000005,9.992202758789062,9.992201805114746,9.992202758789062,9.992202758789062,0.30152544379234314,0.30255746841430664,1.810633897781372,2.163200616836548,0.1326267272233963,0.1326267272233963,0.0,0.0,nan,nan,11.205519676208496,11.205519676208496,22.411039352416992,0.0,-1.7449731826782227,0.45902037620544434,0.0,0.0,0.0,0.45902037620544434,0.0,-1.7449731826782227,0.0,0.0,0.0,0.8324458599090576,-0.3359379470348358,-1.5651870965957642,0.0,0.0,0.0,0.0,-1.7449731826782227,0.45902037620544434,0.0,0.0,0.0,0.45902037620544434,0.0,-1.7449731826782227,-0.0,-0.0,-0.0,0.8324458003044128,0.33593833446502686,-1.5651869773864746,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-7.450580596923828e-09,0.05600005388259888,0.6000000238418579,7.450580596923828e-09,-0.0559999942779541,0.6000000238418579,1.6648917198181152,3.8743019104003906e-07,-3.130373954772949,0.0,0.0,0.0,-9.685754776000977e-08,-9.329241379418818e-08,-4.842877388000488e-08,27.78738784790039,27.78738784790039,47.178531646728516,47.178531646728516,0.17686083912849426,0.17686083912849426,0.4849516749382019,0.4849516749382019,0.3381875455379486,0.3381875455379486,0.00794259924441576,0.00794259924441576,-2.6759769916534424,-2.6759769916534424,0.891248881816864,0.891248881816864,0.5997959971427917,0.5997959971427917,0.0,0.0,-0.11098349094390869,-0.11098349094390869,0.45902037620544434,0.45902037620544434,0.5156484842300415,0.5156484842300415,-0.3247797191143036,-0.3247797191143036,-0.03278565779328346,-0.03278565779328346,-58.33905792236328,-58.33905792236328,-39.5041389465332,-39.5041389465332,-26.358707427978516,-26.358707427978516,20.598953247070312,20.598953247070312,0.0,0.0,180.0
7,0.029166666666666667,0.32067297047123733,9.351093594689916,-164.06921229730506,0.32067297047123733,9.351093594689916,-164.06921229730506,6.0,-6.0,0.0,0.0,13.0,0,0.5,0.0,0.0,3.6000000000000005,3.6000000000000005,3.6000000000000005,9.351090431213379,9.351091384887695,9.351093292236328,9.351093292236328,0.33885589241981506,0.33989396691322327,1.1021602153778076,1.4550807476043701,0.12411726266145706,0.12411726266145706,0.0,0.0,nan,nan,8.962176322937012,8.962176322937012,17.924352645874023,0.0,-1.3993492126464844,0.4181465208530426,0.0,0.0,0.0,0.4181465208530426,0.0,-1.3993492126464844,0.0,0.0,0.0,0.7136311531066895,-0.32454320788383484,-1.2322447299957275,0.0,0.0,0.0,0.0,-1.3993492126464844,0.4181465208530426,0.0,0.0,0.0,0.4181465208530426,0.0,-1.3993492126464844,-0.0,-0.0,-0.0,0.7136310935020447,0.3245435655117035,-1.232244610786438,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-1.341104507446289e-07,0.05600002408027649,0.5999999642372131,7.450580596923828e-09,-0.055999964475631714,0.6000000238418579,1.427262306213379,3.5762786865234375e-07,-2.464489459991455,0.0,0.0,0.0,-1.043081283569336e-07,-2.7205922492612444e-07,0.0,27.175762176513672,27.175762176513672,46.12731170654297,46.12731170654297,0.1915258765220642,0.1915258765220642,0.49837568402290344,0.49837568402290344,0.31009846925735474,0.31009846925735474,0.0,0.0,-2.5187556743621826,-2.5187556743621826,1.1194064617156982,1.1194064617156982,0.5278942584991455,0.5278942584991455,0.0,0.0,-0.1097477599978447,-0.1097477599978447,0.4181465208530426,0.4181465208530426,0.5156484842300415,0.5156484842300415,-0.3207070827484131,-0.3207070827484131,-0.019348034635186195,-0.019348034635186195,-54.69389724731445,-54.69389724731445,-37.42958068847656,-37.42958068847656,-24.263229370117188,-24.263229370117188,20.11139488220215,20.11139488220215,0.0,0.0,180.0
8,0.03333333333333333,0.35815504582188995,8.626983004404694,-183.24655228019395,0.35815504582188995,8.626983004404694,-183.24655228019395,6.0,-6.0,0.0,0.0,13.0,0,0.5,0.0,0.0,3.6000000000000005,3.6000000000000005,3.6000000000000005,8.626981735229492,8.62697982788086,8.626982688903809,8.626982688903809,0.37313467264175415,0.3741699159145355,0.37684887647628784,0.7268508672714233,0.11450612545013428,0.11450612545013428,0.0,0.0,nan,nan,6.472969055175781,6.472969055175781,12.945938110351562,0.0,-0.9729616045951843,0.3418624997138977,0.0,0.0,0.0,0.3418624997138977,0.0,-0.9729616045951843,0.0,0.0,0.0,0.5439496040344238,-0.26096105575561523,-0.8363865613937378,0.0,0.0,0.0,0.0,-0.9729616045951843,0.3418624997138977,0.0,0.0,0.0,0.3418624997138977,0.0,-0.9729616045951843,-0.0,-0.0,-0.0,0.5439496040344238,0.26096126437187195,-0.836386501789093,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-5.960464477539063e-08,0.05600002408027649,0.5999999642372131,-1.2665987014770508e-07,-0.05599990487098694,0.6000000238418579,1.0878992080688477,2.086162567138672e-07,-1.6727731227874756,0.0,0.0,0.0,-1.1920928955078125e-07,-2.3806357773992204e-07,-8.009374141693115e-08,26.430278778076172,26.430278778076172,44.798274993896484,44.798274993896484,0.1915258765220642,0.1915258765220642,0.5401012301445007,0.5401012301445007,0.26837289333343506,0.26837289333343506,0.0,0.0,-2.312734842300415,-2.312734842300415,1.339773178100586,1.339773178100586,0.450358122587204,0.450358122587204,0.0,0.0,-0.10849564522504807,-0.10849564522504807,0.3418624997138977,0.3418624997138977,0.5156484842300415,0.5156484842300415,-0.31463611125946045,-0.31463611125946045,-0.004573004320263863,-0.004573004320263863,-50.55650329589844,-50.55650329589844,-35.06771469116211,-35.06771469116211,-21.881919860839844,-21.881919860839844,19.560718536376953,19.560718536376953,0.0,0.0,180.0
9,0.0375,0.39245811163065647,7.82629870223512,-200.79738289231673,0.39245811163065647,7.82629870223512,-200.79738289231673,6.0,-6.0,0.0,0.0,13.0,0,0.5,0.0,0.0,3.6000000000000005,3.6000000000000005,3.6000000000000005,7.826296806335449,7.826296806335449,7.826298236846924,7.826298236846924,0.404086709022522,0.4051099419593811,-0.35417401790618896,-0.010245859622955322,0.10387862473726273,0.10387862473726273,0.0,0.0,nan,nan,4.094338417053223,4.094338417053223,8.188676834106445,0.0,-0.5127009153366089,0.26404497027397156,0.0,0.0,0.0,0.26404497027397156,0.0,-0.5127009153366089,0.0,0.0,0.0,0.36725786328315735,-0.15437179803848267,-0.4169808030128479,0.0,0.0,0.0,0.0,-0.5127009153366089,0.26404497027397156,0.0,0.0,0.0,0.26404497027397156,0.0,-0.5127009153366089,-0.0,-0.0,-0.0,0.36725786328315735,0.15437191724777222,-0.4169807434082031,0.0,0.0,0.0,2.9802322387695312e-08,-5.820766091346741e-11,0.6000000238418579,-1.1920928955078125e-07,0.0559999942779541,0.5999999642372131,-7.450580596923828e-08,-0.055999934673309326,0.6000000238418579,0.7345157265663147,1.1920928955078125e-07,-0.833961546421051,0.0,0.0,0.0,-3.725290298461914e-08,-1.2751974054481252e-07,-1.4901161193847656e-08,25.536794662475586,25.536794662475586,43.1367301940918,43.1367301940918,0.1915258765220642,0.1915258765220642,0.5944413542747498,0.5944413542747498,0.21403278410434723,0.21403278410434723,0.0,0.0,-2.0627529621124268,-2.0627529621124268,1.5500520467758179,1.5500520467758179,0.3713294565677643,0.3713294565677643,0.0,0.0,-0.10728450119495392,-0.10728450119495392,0.26404497027397156,0.26404497027397156,0.5156484842300415,0.5156484842300415,-0.30660051107406616,-0.30660051107406616,0.011428387835621834,0.011428387835621834,-45.95952224731445,-45.95952224731445,-32.437095642089844,-32.437095642089844,-19.233503341674805,-19.233503341674805,18.951807022094727,18.951807022094727,0.0,0.0,180.0
