amp,delta,rel_Tbar,rel_Lbar,rel_Pinbar,rel_eta,rel_sep_ratio,rel_peak_power,rel_peak_normal,rel_share_suction,rel_share_Na
0.040000,0.520000,0.000751,0.000212,0.000490,0.001241,-0.000475,0.001336,0.000657,0.000009,-0.000440
0.040000,0.540000,0.001667,0.000363,0.000950,0.002614,-0.000959,0.002674,0.001314,0.000017,-0.000643
0.040000,0.560000,0.002124,0.000493,0.001423,0.003541,-0.001084,0.004013,0.001971,0.000026,-0.000597
0.040000,0.580000,0.002822,0.000610,0.001874,0.004688,-0.001357,0.005353,0.002628,0.000034,-0.000305
0.040000,0.600000,0.003277,0.000741,0.002343,0.005607,-0.001483,0.006694,0.003286,0.000043,0.000242
0.040000,0.620000,0.003711,0.000808,0.002787,0.006481,-0.001483,0.008036,0.003943,0.000051,0.001012
0.040000,0.640000,0.004331,0.000956,0.003249,0.007556,-0.001758,0.009379,0.004601,0.000060,0.002055
0.040000,0.660000,0.004813,0.001078,0.003709,0.008491,-0.001890,0.010724,0.005259,0.000068,0.003329
0.040000,0.680000,0.005323,0.001218,0.004174,0.009458,-0.002073,0.012069,0.005918,0.000077,0.004860
0.040000,0.700000,0.005960,0.001435,0.004653,0.010564,-0.002483,0.013416,0.006576,0.000085,0.006632
0.060000,0.300000,-0.010517,-0.001935,-0.007033,-0.017674,0.004176,-0.019387,-0.009955,-0.000132,-0.007365
0.060000,0.320000,-0.009460,-0.001736,-0.006311,-0.015871,0.003751,-0.018099,-0.008964,-0.000119,-0.008649
0.060000,0.340000,-0.008603,-0.001626,-0.005619,-0.014302,0.003617,-0.016085,-0.007972,-0.000105,-0.009467
0.060000,0.360000,-0.007549,-0.001489,-0.004943,-0.012554,0.003292,-0.014069,-0.006977,-0.000092,-0.019061
0.060000,0.380000,-0.006593,-0.001363,-0.004253,-0.010892,0.003059,-0.012051,-0.005983,-0.000079,-0.017507
0.060000,0.400000,-0.005476,-0.001197,-0.003560,-0.009069,0.002647,-0.010103,-0.004989,-0.000066,-0.015569
0.060000,0.420000,-0.004204,-0.000869,-0.002823,-0.007047,0.001848,-0.008091,-0.003993,-0.000052,-0.013238
0.060000,0.440000,-0.003154,-0.000681,-0.002127,-0.005292,0.001441,-0.006074,-0.002996,-0.000039,-0.010520
0.060000,0.460000,-0.001641,-0.000454,-0.001436,-0.003082,0.000650,-0.004054,-0.001999,-0.000026,-0.007411
0.060000,0.480000,-0.000852,-0.000250,-0.000723,-0.001577,0.000387,-0.002029,-0.001000,-0.000013,-0.003897
0.060000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060000,0.520000,0.000692,0.000086,0.000669,0.001360,0.000003,0.002033,0.001001,0.000013,0.004317
0.060000,0.540000,0.001562,0.000260,0.001354,0.002913,-0.000267,0.004071,0.002003,0.000026,0.009031
0.060000,0.560000,0.002527,0.000516,0.002067,0.004584,-0.000745,0.006113,0.003006,0.000039,0.014162
0.060000,0.580000,0.003335,0.000719,0.002758,0.006076,-0.001029,0.008160,0.004011,0.000051,0.019699
0.060000,0.600000,0.004165,0.000890,0.003438,0.007578,-0.001273,0.010211,0.005016,0.000064,0.025662
0.060000,0.620000,0.004973,0.001153,0.004151,0.009087,-0.001661,0.012267,0.006023,0.000077,0.032037
0.060000,0.640000,0.005771,0.001268,0.004804,0.010525,-0.001791,0.014327,0.007031,0.000090,0.038852
0.060000,0.660000,0.006462,0.001426,0.005476,0.011872,-0.001924,0.016392,0.007378,0.000102,0.046087
0.060000,0.680000,0.007421,0.001635,0.006150,0.013488,-0.002326,0.018461,0.008374,0.000115,0.053766
0.060000,0.700000,0.008192,0.001839,0.006824,0.014915,-0.002596,0.020535,0.009371,0.000127,0.061875
0.080000,0.300000,-0.013701,-0.002399,-0.009412,-0.023332,0.004826,-0.027310,-0.013397,-0.000178,-0.012010
0.080000,0.320000,-0.011788,-0.002142,-0.008460,-0.020421,0.003975,-0.024603,-0.012063,-0.000160,-0.013185
0.080000,0.340000,-0.010794,-0.002055,-0.007530,-0.018464,0.004004,-0.021891,-0.010727,-0.000142,-0.013865
0.080000,0.360000,-0.009486,-0.001846,-0.006583,-0.016176,0.003620,-0.019173,-0.009390,-0.000124,-0.014017
0.080000,0.380000,-0.008185,-0.001599,-0.005628,-0.013891,0.003175,-0.016451,-0.008052,-0.000106,-0.013649
0.080000,0.400000,-0.007002,-0.001415,-0.004696,-0.011753,0.002910,-0.013723,-0.006713,-0.000088,-0.012751
