amp,delta,rel_Tbar,rel_Lbar,rel_Pinbar,rel_eta,rel_sep_ratio,rel_peak_power,rel_peak_normal,rel_share_suction,rel_share_Na
0.200000,0.300000,0.000173,-0.002052,-0.025476,-0.025965,0.010371,-0.070497,-0.035264,-0.000749,0.030982
0.200000,0.320000,0.000282,-0.001825,-0.022802,-0.023045,0.008930,-0.063424,-0.031771,-0.000675,0.026863
0.200000,0.340000,0.000042,-0.001696,-0.020392,-0.020774,0.008538,-0.056318,-0.028271,-0.000599,0.021424
0.200000,0.360000,0.000211,-0.001557,-0.017718,-0.017823,0.007215,-0.049122,-0.024769,-0.000525,0.015488
0.200000,0.380000,0.000302,-0.001365,-0.015197,-0.015125,0.005954,-0.041694,-0.021255,-0.000450,0.010442
0.200000,0.400000,0.000526,-0.001290,-0.012594,-0.012222,0.004703,-0.034926,-0.017733,-0.000376,0.006312
0.200000,0.420000,0.000600,-0.001131,-0.010123,-0.009620,0.003583,-0.027715,-0.014203,-0.000301,0.003121
0.200000,0.440000,0.000746,-0.000680,-0.007462,-0.006766,0.001646,-0.020471,-0.010664,-0.000226,0.000956
0.200000,0.460000,0.000337,-0.000410,-0.004996,-0.004682,0.001317,-0.013195,-0.007118,-0.000151,-0.000229
0.200000,0.480000,0.000309,-0.000204,-0.002460,-0.002156,0.000351,-0.005884,-0.003563,-0.000075,-0.000553
0.200000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.520000,0.000035,0.000046,0.002573,0.002602,-0.000688,0.007471,0.003572,0.000076,0.001448
0.200000,0.540000,-0.000193,0.000229,0.005029,0.004811,-0.001133,0.014957,0.007151,0.000151,0.003801
0.200000,0.560000,-0.000279,0.000420,0.007467,0.007135,-0.001883,0.022459,0.010740,0.000227,0.007071
0.200000,0.580000,-0.000384,0.000776,0.009988,0.009509,-0.002976,0.029978,0.014337,0.000303,0.011263
0.200000,0.600000,-0.000521,0.001158,0.012493,0.011824,-0.004049,0.037513,0.017943,0.000379,0.016382
0.200000,0.620000,-0.001061,0.001834,0.014933,0.013669,-0.004959,0.043467,0.021557,0.000456,0.022431
0.200000,0.640000,-0.001319,0.002037,0.017371,0.015777,-0.005316,0.051051,0.025181,0.000532,0.029414
0.200000,0.660000,-0.001547,0.002865,0.019859,0.017955,-0.007217,0.058672,0.028812,0.000609,0.037332
0.200000,0.680000,-0.001874,0.003278,0.022339,0.020017,-0.007899,0.066329,0.032452,0.000685,0.046185
0.200000,0.700000,-0.002103,0.003800,0.024872,0.022216,-0.009037,0.074022,0.036100,0.000762,0.055975
