step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.0,13.149450210865442,-0.0,0.0,13.149450210865442,-0.0,8.0,-8.0,0.0,0.0,12.0,0,0.5,0.0,0.0,4.000000000000001,4.000000000000001,4.000000000000001,13.149445533752441,13.149450302124023,13.149450302124023,13.149450302124023,0.037361133843660355,0.038269076496362686,5.988718509674072,6.304514408111572,0.1745329201221466,0.1745329201221466,0.0,0.0,nan,nan,26.359615325927734,26.359615325927734,52.71923065185547,0.0,-2.450812339782715,0.6137973666191101,0.0,0.0,0.0,0.6137973666191101,0.0,-2.450812339782715,0.0,0.0,0.0,1.1080257892608643,0.21201716363430023,-2.2606537342071533,0.0,0.0,0.0,0.0,-2.450812339782715,0.6137973666191101,0.0,0.0,0.0,0.6137973666191101,0.0,-2.450812339782715,-0.0,-0.0,-0.0,1.1080259084701538,-0.21201667189598083,-2.2606537342071533,0.0,0.0,0.0,2.9802322387695312e-08,5.820766091346741e-11,0.6000000238418579,-8.940696716308594e-08,0.05600005388259888,0.6000000238418579,4.470348358154297e-08,-0.055999964475631714,0.6000000238418579,2.2160515785217285,4.917383193969727e-07,-4.521307468414307,0.0,0.0,0.0,-2.086162567138672e-07,-2.3580456343097467e-07,-1.2293457984924316e-07,24.465784072875977,24.465787887573242,44.08852767944336,44.08852767944336,0.2498149424791336,0.2498149424791336,0.5227511525154114,0.5227511525154114,0.2274339199066162,0.2274339199066162,0.0,0.0,-2.450812339782715,-2.450812339782715,0.0,0.0,0.8157186508178711,0.8157186508178711,0.0,0.0,-0.20192131400108337,-0.20192131400108337,0.6137973666191101,0.6137973666191101,0.4297071099281311,0.4297071099281311,-0.25458988547325134,-0.25458988547325134,-0.045150332152843475,-0.045150332152843475,-54.51591873168945,-54.51591873168945,-36.62788772583008,-36.62788772583008,-24.627885818481445,-24.627885818481445,22.0,22.0,0.0,0.0,180.0
1,0.004166666666666667,0.0546892919816363,13.07741614676064,-34.54474731740281,0.0546892919816363,13.07741614676064,-34.54474731740281,8.0,-8.0,0.0,0.0,12.0,0,0.5,0.0,0.0,4.000000000000001,4.000000000000001,4.000000000000001,13.077417373657227,13.077414512634277,13.07741641998291,13.077417373657227,0.09071526676416397,0.09168288856744766,5.4655985832214355,5.802516937255859,0.17357681691646576,0.17357681691646576,0.0,0.0,nan,nan,27.179542541503906,27.179542541503906,54.35908508300781,0.0,-2.836887836456299,0.61986243724823,0.0,0.0,0.0,0.61986243724823,0.0,-2.836887836456299,0.0,0.0,0.0,1.1958378553390503,0.0905604287981987,-2.6446046829223633,0.0,0.0,0.0,0.0,-2.836887836456299,0.61986243724823,0.0,0.0,0.0,0.61986243724823,0.0,-2.836887836456299,-0.0,-0.0,-0.0,1.1958376169204712,-0.09055983275175095,-2.6446046829223633,0.0,0.0,0.0,2.9802322387695312e-08,5.820766091346741e-11,0.6000000238418579,-5.21540641784668e-08,0.05600002408027649,0.6000000238418579,0.0,-0.0559999942779541,0.6000000834465027,2.3916754722595215,5.960464477539062e-07,-5.289209365844727,0.0,0.0,0.0,-7.450580596923828e-08,-2.2428014290198917e-07,-5.960464477539063e-08,24.43185043334961,24.431852340698242,44.027366638183594,44.02736282348633,0.2498149424791336,0.2498149424791336,0.5227511525154114,0.5227511525154114,0.2274339199066162,0.2274339199066162,0.0,0.0,-2.386690139770508,-2.386690139770508,-0.45019784569740295,-0.45019784569740295,0.8215358853340149,0.8215358853340149,0.0,0.0,-0.20167341828346252,-0.20167341828346252,0.61986243724823,0.61986243724823,0.4297071099281311,0.4297071099281311,-0.25333109498023987,-0.25333109498023987,-0.03213244304060936,-0.03213244304060936,-54.25432586669922,-54.25432586669922,-36.506282806396484,-36.506282806396484,-24.480012893676758,-24.480012893676758,21.945220947265625,21.945220947265625,0.0,0.0,180.0
2,0.008333333333333333,0.1087793966358517,12.862103174726666,-68.71101515424304,0.1087793966358517,12.862103174726666,-68.71101515424304,8.0,-8.0,0.0,0.0,12.0,0,0.5,0.0,0.0,4.000000000000001,4.000000000000001,4.000000000000001,12.862103462219238,12.862101554870605,12.862103462219238,12.862103462219238,0.1428101658821106,0.1438288688659668,4.8400678634643555,5.193560600280762,0.1707189679145813,0.1707189679145813,0.0,0.0,nan,nan,26.050474166870117,26.050474166870117,52.100948333740234,0.0,-2.7962961196899414,0.6176028847694397,0.0,0.0,0.0,0.6176028847694397,0.0,-2.7962961196899414,0.0,0.0,0.0,1.1853457689285278,-0.06196695193648338,-2.606112241744995,0.0,0.0,0.0,0.0,-2.7962961196899414,0.6176028847694397,0.0,0.0,0.0,0.6176028847694397,0.0,-2.7962961196899414,-0.0,-0.0,-0.0,1.1853457689285278,0.06196753308176994,-2.606112241744995,0.0,0.0,0.0,2.9802322387695312e-08,5.820766091346741e-11,0.6000000238418579,-8.195638656616211e-08,0.05600002408027649,0.6000000238418579,1.4901161193847656e-08,-0.055999934673309326,0.6000000238418579,2.3706915378570557,5.811452865600586e-07,-5.21222448348999,0.0,0.0,0.0,-2.2351741790771484e-07,-3.3008981858984043e-07,-9.685754776000977e-08,24.32258415222168,24.322580337524414,43.80912399291992,43.80912399291992,0.2498149424791336,0.2498149424791336,0.5227511525154114,0.5227511525154114,0.2274339199066162,0.2274339199066162,0.0,0.0,-2.626756191253662,-2.626756191253662,-0.16953998804092407,-0.16953998804092407,0.8185473680496216,0.8185473680496216,0.0,0.0,-0.20094451308250427,-0.20094451308250427,0.6176028847694397,0.6176028847694397,0.4297071099281311,0.4297071099281311,-0.2591167688369751,-0.2591167688369751,-0.02628776989877224,-0.02628776989877224,-53.418846130371094,-53.418846130371094,-36.053436279296875,-36.053436279296875,-24.001188278198242,-24.001188278198242,21.781476974487305,21.781476974487305,0.0,0.0,180.0
3,0.0125,0.16167769145697253,12.50587030874226,-102.12447073034909,0.16167769145697253,12.50587030874226,-102.12447073034909,8.0,-8.0,0.0,0.0,12.0,0,0.5,0.0,0.0,4.000000000000001,4.000000000000001,4.000000000000001,12.505866050720215,12.505867958068848,12.505870819091797,12.505870819091797,0.19329485297203064,0.19435380399227142,4.154204368591309,4.520254611968994,0.1659906804561615,0.1659906804561615,0.0,0.0,nan,nan,24.102602005004883,24.102602005004883,48.205204010009766,0.0,-2.654278516769409,0.5932309627532959,0.0,0.0,0.0,0.5932309627532959,0.0,-2.654278516769409,0.0,0.0,0.0,1.1305681467056274,-0.19904503226280212,-2.4656264781951904,0.0,0.0,0.0,0.0,-2.654278516769409,0.5932309627532959,0.0,0.0,0.0,0.5932309627532959,0.0,-2.654278516769409,-0.0,-0.0,-0.0,1.130568265914917,0.19904553890228271,-2.4656264781951904,0.0,0.0,0.0,2.9802322387695312e-08,5.820766091346741e-11,0.6000000238418579,-1.1920928955078125e-07,0.05600002408027649,0.6000000238418579,-4.470348358154297e-08,-0.055999934673309326,0.6000000238418579,2.261136531829834,5.066394805908203e-07,-4.931252956390381,0.0,0.0,0.0,-2.2351741790771484e-07,-5.511104745892226e-07,-8.195638656616211e-08,24.132831573486328,24.13283348083496,43.422203063964844,43.422203063964844,0.2498149424791336,0.2498149424791336,0.5361523628234863,0.5361523628234863,0.21403278410434723,0.21403278410434723,0.0,0.0,-2.7698206901550293,-2.7698206901550293,0.11554210633039474,0.11554210633039474,0.7930088043212891,0.7930088043212891,0.0,0.0,-0.19977791607379913,-0.19977791607379913,0.5932309627532959,0.5932309627532959,0.4297071099281311,0.4297071099281311,-0.26311931014060974,-0.26311931014060974,-0.018916284665465355,-0.018916284665465355,-52.01555252075195,-52.01555252075195,-35.27119445800781,-35.27119445800781,-23.19353675842285,-23.19353675842285,21.51056671142578,21.51056671142578,0.0,0.0,180.0
4,0.016666666666666666,0.2128046116572587,12.012620510633665,-134.41902923421398,0.2128046116572587,12.012620510633665,-134.41902923421398,8.0,-8.0,0.0,0.0,12.0,0,0.5,0.0,0.0,4.000000000000001,4.000000000000001,4.000000000000001,12.012619972229004,12.012619018554688,12.01262092590332,12.01262092590332,0.24161680042743683,0.24270473420619965,3.4156157970428467,3.790069580078125,0.15944376587867737,0.15944376587867737,0.0,0.0,nan,nan,21.438518524169922,21.438518524169922,42.877037048339844,0.0,-2.4131832122802734,0.5482057332992554,0.0,0.0,0.0,0.5482057332992554,0.0,-2.4131832122802734,0.0,0.0,0.0,1.0339651107788086,-0.30370473861694336,-2.227703332901001,0.0,0.0,0.0,0.0,-2.4131832122802734,0.5482057332992554,0.0,0.0,0.0,0.5482057332992554,0.0,-2.4131832122802734,-0.0,-0.0,-0.0,1.0339651107788086,0.3037053644657135,-2.227703332901001,0.0,0.0,0.0,2.9802322387695312e-08,5.820766091346741e-11,0.6000000238418579,-5.960464477539063e-08,0.05600005388259888,0.6000000238418579,-8.940696716308594e-08,-0.055999934673309326,0.6000000834465027,2.067930221557617,6.258487701416016e-07,-4.455406665802002,0.0,0.0,0.0,-2.8312206268310547e-07,-4.031060143461218e-07,-1.341104507446289e-07,23.853668212890625,23.853668212890625,42.84674835205078,42.84674835205078,0.26428744196891785,0.26428744196891785,0.5349289178848267,0.5349289178848267,0.20078371465206146,0.20078371465206146,0.0,0.0,-2.8160765171051025,-2.8160765171051025,0.4028933048248291,0.4028933048248291,0.7464486956596375,0.7464486956596375,0.0,0.0,-0.1982429325580597,-0.1982429325580597,0.5482057332992554,0.5482057332992554,0.4297071099281311,0.4297071099281311,-0.2652844786643982,-0.2652844786643982,-0.010088278912007809,-0.010088278912007809,-50.055076599121094,-50.055076599121094,-34.16545486450195,-34.16545486450195,-22.063236236572266,-22.063236236572266,21.135456085205078,21.135456085205078,0.0,0.0,180.0
5,0.020833333333333332,0.2616,11.387757928408115,-165.24086472479857,0.2616,11.387757928408115,-165.24086472479857,8.0,-8.0,0.0,0.0,12.0,0,0.5,0.0,0.0,4.000000000000001,4.000000000000001,4.000000000000001,11.38775634765625,11.38775634765625,11.387758255004883,11.387758255004883,0.2872481346130371,0.28835347294807434,2.6326560974121094,3.011270523071289,0.1511499434709549,0.1511499434709549,0.0,0.0,nan,nan,18.206859588623047,18.206859588623047,36.413719177246094,0.0,-2.0779027938842773,0.48544102907180786,0.0,0.0,0.0,0.48544102907180786,0.0,-2.0779027938842773,0.0,0.0,0.0,0.9002554416656494,-0.3617447316646576,-1.9005298614501953,0.0,0.0,0.0,0.0,-2.0779027938842773,0.48544102907180786,0.0,0.0,0.0,0.48544102907180786,0.0,-2.0779027938842773,-0.0,-0.0,-0.0,0.9002553820610046,0.3617452383041382,-1.9005298614501953,0.0,0.0,0.0,2.9802322387695312e-08,5.820766091346741e-11,0.6000000238418579,-1.2665987014770508e-07,0.05600002408027649,0.5999999642372131,7.450580596923828e-09,-0.055999934673309326,0.6000000834465027,1.8005108833312988,5.066394805908203e-07,-3.8010597229003906,0.0,0.0,0.0,-2.1606683731079102e-07,-3.3984119340857433e-07,-3.725290298461914e-08,23.47376251220703,23.4737606048584,42.05424880981445,42.05424880981445,0.26428744196891785,0.26428744196891785,0.5608919858932495,0.5608919858932495,0.17482061684131622,0.17482061684131622,0.0,0.0,-2.7678935527801514,-2.7678935527801514,0.6899906992912292,0.6899906992912292,0.6818712949752808,0.6818712949752808,0.0,0.0,-0.1964302659034729,-0.1964302659034729,0.48544102907180786,0.48544102907180786,0.4297071099281311,0.4297071099281311,-0.26557013392448425,-0.26557013392448425,0.00011791505676228553,0.00011791505676228553,-47.552894592285156,-47.552894592285156,-32.74490737915039,-32.74490737915039,-20.619251251220703,-20.619251251220703,20.660253524780273,20.660253524780273,0.0,0.0,180.0
6,0.025,0.307529243999422,10.638128687277378,-194.25228672258433,0.307529243999422,10.638128687277378,-194.25228672258433,8.0,-8.0,0.0,0.0,12.0,0,0.5,0.0,0.0,4.000000000000001,4.000000000000001,4.000000000000001,10.638128280639648,10.638127326965332,10.638129234313965,10.638129234313965,0.32969146966934204,0.33080247044563293,1.8142919540405273,2.1927967071533203,0.14120009541511536,0.14120009541511536,0.0,0.0,nan,nan,14.593929290771484,14.593929290771484,29.18785858154297,0.0,-1.6555945873260498,0.4090687036514282,0.0,0.0,0.0,0.4090687036514282,0.0,-1.6555945873260498,0.0,0.0,0.0,0.7359814047813416,-0.3627731502056122,-1.4950109720230103,0.0,0.0,0.0,0.0,-1.6555945873260498,0.4090687036514282,0.0,0.0,0.0,0.4090687036514282,0.0,-1.6555945873260498,-0.0,-0.0,-0.0,0.7359814047813416,0.36277347803115845,-1.4950108528137207,0.0,0.0,0.0,2.9802322387695312e-08,5.820766091346741e-11,0.6000000238418579,-7.450580596923828e-09,0.05600005388259888,0.6000000238418579,5.21540641784668e-08,-0.0559999942779541,0.6000000238418579,1.471962809562683,3.2782554626464844e-07,-2.9900217056274414,0.0,0.0,0.0,-8.940696716308594e-08,-2.2277401257042584e-08,-2.2351741790771484e-08,22.980369567871094,22.980369567871094,41.00715637207031,41.00715637207031,0.26428744196891785,0.26428744196891785,0.5981642007827759,0.5981642007827759,0.13754841685295105,0.13754841685295105,0.0,0.0,-2.629502773284912,-2.629502773284912,0.9739083051681519,0.9739083051681519,0.6035155653953552,0.6035155653953552,0.0,0.0,-0.194446861743927,-0.194446861743927,0.4090687036514282,0.4090687036514282,0.4297071099281311,0.4297071099281311,-0.2639486789703369,-0.2639486789703369,0.011614971794188023,0.011614971794188023,-44.52973937988281,-44.52973937988281,-31.021268844604492,-31.021268844604492,-18.873552322387695,-18.873552322387695,20.09016990661621,20.09016990661621,0.0,0.0,180.0
7,0.029166666666666667,0.3500891332469547,9.771945882077283,-221.1354400171331,0.3500891332469547,9.771945882077283,-221.1354400171331,8.0,-8.0,0.0,0.0,12.0,0,0.5,0.0,0.0,4.000000000000001,4.000000000000001,4.000000000000001,9.771943092346191,9.771942138671875,9.77194595336914,9.77194595336914,0.3684847950935364,0.36958953738212585,0.9699966907501221,1.3441162109375,0.12970323860645294,0.12970323860645294,0.0,0.0,nan,nan,10.812275886535645,10.812275886535645,21.62455177307129,0.0,-1.1552238464355469,0.3241288959980011,0.0,0.0,0.0,0.3241288959980011,0.0,-1.1552238464355469,0.0,0.0,0.0,0.5489417314529419,-0.3008594512939453,-1.0235956907272339,0.0,0.0,0.0,0.0,-1.1552238464355469,0.3241288959980011,0.0,0.0,0.0,0.3241288959980011,0.0,-1.1552238464355469,-0.0,-0.0,-0.0,0.5489417314529419,0.30085957050323486,-1.0235956907272339,0.0,0.0,0.0,2.9802322387695312e-08,5.820766091346741e-11,0.6000000238418579,-1.2665987014770508e-07,0.05600002408027649,0.6000000238418579,-1.1175870895385742e-07,-0.05599990487098694,0.6000000238418579,1.0978834629058838,1.1920928955078125e-07,-2.0471913814544678,0.0,0.0,0.0,-1.2293457984924316e-07,-3.0505529480251425e-07,-6.332993507385254e-08,22.3599853515625,22.3599853515625,39.65865707397461,39.65865707397461,0.26428744196891785,0.26428744196891785,0.6436589956283569,0.6436589956283569,0.0920536071062088,0.0920536071062088,0.0,0.0,-2.4065513610839844,-2.4065513610839844,1.2513275146484375,1.2513275146484375,0.5165386199951172,0.5165386199951172,0.0,0.0,-0.19240976870059967,-0.19240976870059967,0.3241288959980011,0.3241288959980011,0.4297071099281311,0.4297071099281311,-0.26040974259376526,-0.26040974259376526,0.02430502325296402,0.02430502325296402,-41.0120735168457,-41.0120735168457,-29.00954246520996,-29.00954246520996,-16.84138298034668,-16.84138298034668,19.431447982788086,19.431447982788086,0.0,0.0,180.0
8,0.03333333333333333,0.38881337268977273,8.798699592882008,-245.59578715528832,0.38881337268977273,8.798699592882008,-245.59578715528832,8.0,-8.0,0.0,0.0,12.0,0,0.5,0.0,0.0,4.000000000000001,4.000000000000001,4.000000000000001,8.798700332641602,8.798699378967285,8.798699378967285,8.798699378967285,0.40320637822151184,0.4042929708957672,0.10952967405319214,0.47505640983581543,0.11678532510995865,0.11678532510995865,0.0,0.0,nan,nan,7.087110996246338,7.087110996246338,14.174221992492676,0.0,-0.5869356393814087,0.23622019588947296,0.0,0.0,0.0,0.23622019588947296,0.0,-0.5869356393814087,0.0,0.0,0.0,0.3475590646266937,-0.17468230426311493,-0.49898120760917664,0.0,0.0,0.0,0.0,-0.5869356393814087,0.23622019588947296,0.0,0.0,0.0,0.23622019588947296,0.0,-0.5869356393814087,-0.0,-0.0,-0.0,0.34755903482437134,0.1746823936700821,-0.49898117780685425,0.0,0.0,0.0,2.9802322387695312e-08,5.820766091346741e-11,0.6000000238418579,-4.470348358154297e-08,0.0559999942779541,0.6000000238418579,8.195638656616211e-08,-0.0559999942779541,0.6000000834465027,0.6951180696487427,8.940696716308594e-08,-0.9979623556137085,0.0,0.0,0.0,-1.1175870895385742e-08,9.563031255765964e-09,2.0489096641540527e-08,21.599145889282227,21.59914207458496,37.9530029296875,37.9530029296875,0.27872011065483093,0.27872011065483093,0.6765836477279663,0.6765836477279663,0.04469626769423485,0.04469626769423485,0.0,0.0,-2.1055283546447754,-2.1055283546447754,1.5185929536819458,1.5185929536819458,0.4266600012779236,0.4266600012779236,0.0,0.0,-0.19043979048728943,-0.19043979048728943,0.23622019588947296,0.23622019588947296,0.4297071099281311,0.4297071099281311,-0.2549629211425781,-0.2549629211425781,0.03807821869850159,0.03807821869850159,-37.03239059448242,-37.03239059448242,-26.728219985961914,-26.728219985961914,-14.541459083557129,-14.541459083557129,18.691307067871094,18.691307067871094,0.0,0.0,180.0
9,0.0375,0.4232776914569726,7.729052909700856,-267.36533545514766,0.4232776914569726,7.729052909700856,-267.36533545514766,8.0,-8.0,0.0,0.0,12.0,0,0.5,0.0,0.0,4.000000000000001,4.000000000000001,4.000000000000001,7.729052543640137,7.729050636291504,7.729053020477295,7.729053497314453,0.4334788918495178,0.43453577160835266,-0.7571753859519958,-0.4043482542037964,0.10258787870407104,0.10258787870407104,0.0,0.0,nan,nan,3.642062187194824,3.642062187194824,7.284124374389648,0.0,0.03866121917963028,0.1511557251214981,0.0,0.0,0.0,0.1511557251214981,0.0,0.03866121917963028,0.0,0.0,0.0,0.14026574790477753,0.01277122087776661,0.06712047755718231,0.0,0.0,0.0,0.0,0.03866121917963028,0.1511557251214981,0.0,0.0,0.0,0.1511557251214981,0.0,0.03866121917963028,-0.0,-0.0,-0.0,0.14026574790477753,-0.012771232053637505,0.06712047755718231,0.0,0.0,0.0,2.9802322387695312e-08,5.820766091346741e-11,0.6000000238418579,-5.960464477539063e-08,0.0559999942779541,0.6000000238418579,-1.043081283569336e-07,-0.055999934673309326,0.6000000238418579,0.28053149580955505,-1.1175870895385742e-08,0.13424095511436462,0.0,0.0,0.0,3.958120942115784e-09,1.500259649844793e-08,-7.450580596923828e-09,20.685527801513672,20.68552589416504,35.82720947265625,35.82720947265625,0.29311418533325195,0.29311418533325195,0.702339768409729,0.702339768409729,0.004546067211776972,0.004546067211776972,0.0,0.0,-1.7331491708755493,-1.7331491708755493,1.7718102931976318,1.7718102931976318,0.3398113250732422,0.3398113250732422,0.0,0.0,-0.18865559995174408,-0.18865559995174408,0.1511557251214981,0.1511557251214981,0.4297071099281311,0.4297071099281311,-0.2476406991481781,-0.2476406991481781,0.05281085893511772,0.05281085893511772,-32.6295166015625,-32.6295166015625,-24.199443817138672,-24.199443817138672,-11.996129989624023,-11.996129989624023,17.877853393554688,17.877853393554688,0.0,0.0,180.0
